algorithm,matrix_size,tile_size,threads,case,task,PKG1,PKG2,DRAM1,DRAM2,time
dpoinv,8000,500,32,1,potrf,84842618,87210410,10524457,11193541,0.583500
dpoinv,8000,500,32,1,trsm,84842618,87210410,10524457,11193541,0.583500
dpoinv,8000,500,32,1,syrk,84842618,87210410,10524457,11193541,0.583500
dpoinv,8000,500,32,1,gemm,84842618,87210410,10524457,11193541,0.583500
dpoinv,8000,500,32,1,trtri,84842618,87210410,10524457,11193541,0.583500
dpoinv,8000,500,32,1,lauum,84842618,87210410,10524457,11193541,0.583500
dpoinv,8000,500,32,1,trmm,84842618,87210410,10524457,11193541,0.583500
dpoinv,8000,500,32,2,potrf,87640401,89788955,10679140,11532819,0.608300
dpoinv,8000,500,32,2,trsm,87640401,89788955,10679140,11532819,0.608300
dpoinv,8000,500,32,2,syrk,87640401,89788955,10679140,11532819,0.608300
dpoinv,8000,500,32,2,gemm,87640401,89788955,10679140,11532819,0.608300
dpoinv,8000,500,32,2,trtri,87640401,89788955,10679140,11532819,0.608300
dpoinv,8000,500,32,2,lauum,87640401,89788955,10679140,11532819,0.608300
dpoinv,8000,500,32,2,trmm,87640401,89788955,10679140,11532819,0.608300
dpoinv,8000,500,32,3,potrf,87252523,88512712,11457053,12499549,0.701200
dpoinv,8000,500,32,3,trsm,87252523,88512712,11457053,12499549,0.701200
dpoinv,8000,500,32,3,syrk,87252523,88512712,11457053,12499549,0.701200
dpoinv,8000,500,32,3,gemm,87252523,88512712,11457053,12499549,0.701200
dpoinv,8000,500,32,3,trtri,87252523,88512712,11457053,12499549,0.701200
dpoinv,8000,500,32,3,lauum,87252523,88512712,11457053,12499549,0.701200
dpoinv,8000,500,32,3,trmm,87252523,88512712,11457053,12499549,0.701200
dpoinv,8000,500,32,4,potrf,88704851,91706735,11365207,12994749,0.722500
dpoinv,8000,500,32,4,trsm,88704851,91706735,11365207,12994749,0.722500
dpoinv,8000,500,32,4,syrk,88704851,91706735,11365207,12994749,0.722500
dpoinv,8000,500,32,4,gemm,88704851,91706735,11365207,12994749,0.722500
dpoinv,8000,500,32,4,trtri,88704851,91706735,11365207,12994749,0.722500
dpoinv,8000,500,32,4,lauum,88704851,91706735,11365207,12994749,0.722500
dpoinv,8000,500,32,4,trmm,88704851,91706735,11365207,12994749,0.722500
dpoinv,8000,500,32,5,potrf,90968457,94590517,10240030,13630066,0.683900
