algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_RES_STL,PAPI_TOT_CYC,PAPI_BR_MSP,
dpotrf,potrf,8192,320,23068672,1200000,26,165641,136575725,3677591,55760933,42470,
dpotrf,trsm,8192,320,23068672,1200000,325,5463556,4273361746,600369483,2187680284,1179769,
dpotrf,syrk,8192,320,23068672,1200000,325,3629316,1443994411,103602022,481247217,237111,
dpotrf,gemm,8192,320,23068672,1200000,2600,56291541,19423633254,1105047108,6098293058,2035837,
dpotrf,potrf,8192,320,23068672,2801000,26,164348,136575371,5617222,57923847,41320,
dpotrf,trsm,8192,320,23068672,2801000,325,5433888,4273361485,680234082,2265976319,1183881,
dpotrf,syrk,8192,320,23068672,2801000,325,3612250,1443992583,141715899,519598154,240046,
dpotrf,gemm,8192,320,23068672,2801000,2600,56294953,19423632163,1418862123,6412904478,2044809,
dpotrf,potrf,8192,640,23068672,1200000,13,151102,346079695,21485588,143964069,92075,
dpotrf,trsm,8192,640,23068672,1200000,78,9715112,5223695832,648435531,2456611382,1111545,
dpotrf,syrk,8192,640,23068672,1200000,78,5559536,2467559154,148305762,783856190,311747,
dpotrf,gemm,8192,640,23068672,1200000,286,49366275,16519956695,829324153,5041267245,1459247,
dpotrf,potrf,8192,640,23068672,2801000,13,128118,346078150,24723256,147308400,92935,
dpotrf,trsm,8192,640,23068672,2801000,78,9476430,5223695512,729937683,2537159688,1127667,
dpotrf,syrk,8192,640,23068672,2801000,78,5356543,2467561174,192795353,828773490,315488,
dpotrf,gemm,8192,640,23068672,2801000,286,47317491,16519955945,1059840874,5273093078,1468957,
dpotrf,potrf,8192,960,23068672,1200000,9,142687,619579692,49586196,259188042,142831,
dpotrf,trsm,8192,960,23068672,1200000,36,10428235,6104396675,680718794,2694541537,1069893,
dpotrf,syrk,8192,960,23068672,1200000,36,7906498,3287586039,178987720,1017805403,176577,
dpotrf,gemm,8192,960,23068672,1200000,84,38274458,14326820817,650028963,4275900712,238524,
dpotrf,potrf,8192,960,23068672,2801000,9,131364,619578541,54459691,263931564,141948,
