algorithm,matrix_size,tile_size,threads,case,task,PKG1,PKG2,DRAM1,DRAM2,time
dpotrf,8192,320,32,1,potrf,38379846,38933555,5106451,2963778,0.299700
dpotrf,8192,320,32,1,trsm,38379846,38933555,5106451,2963778,0.299700
dpotrf,8192,320,32,1,syrk,38379846,38933555,5106451,2963778,0.299700
dpotrf,8192,320,32,1,gemm,38379846,38933555,5106451,2963778,0.299700
dpotrf,8192,320,32,1,trsm,38379846,38933555,5106451,2963778,0.299700
dpotrf,8192,320,32,1,gemm,38379846,38933555,5106451,2963778,0.299700
dpotrf,8192,320,32,2,potrf,40711016,41427811,5249766,3183394,0.322200
dpotrf,8192,320,32,2,trsm,40711016,41427811,5249766,3183394,0.322200
dpotrf,8192,320,32,2,syrk,40711016,41427811,5249766,3183394,0.322200
dpotrf,8192,320,32,2,gemm,40711016,41427811,5249766,3183394,0.322200
dpotrf,8192,320,32,2,trsm,40711016,41427811,5249766,3183394,0.322200
dpotrf,8192,320,32,2,gemm,40711016,41427811,5249766,3183394,0.322200
dpotrf,8192,320,32,3,potrf,41468827,41917373,5596051,3502002,0.366400
dpotrf,8192,320,32,3,trsm,41468827,41917373,5596051,3502002,0.366400
dpotrf,8192,320,32,3,syrk,41468827,41917373,5596051,3502002,0.366400
dpotrf,8192,320,32,3,gemm,41468827,41917373,5596051,3502002,0.366400
dpotrf,8192,320,32,3,trsm,41468827,41917373,5596051,3502002,0.366400
dpotrf,8192,320,32,3,gemm,41468827,41917373,5596051,3502002,0.366400
dpotrf,8192,320,32,4,potrf,43345348,43320811,5839260,3415695,0.388700
dpotrf,8192,320,32,4,trsm,43345348,43320811,5839260,3415695,0.388700
dpotrf,8192,320,32,4,syrk,43345348,43320811,5839260,3415695,0.388700
dpotrf,8192,320,32,4,gemm,43345348,43320811,5839260,3415695,0.388700
dpotrf,8192,320,32,4,trsm,43345348,43320811,5839260,3415695,0.388700
dpotrf,8192,320,32,4,gemm,43345348,43320811,5839260,3415695,0.388700
dpotrf,8192,320,32,5,potrf,37695338,39406759,5176403,3124505,0.312700
dpotrf,8192,320,32,5,trsm,37695338,39406759,5176403,3124505,0.312700
dpotrf,8192,320,32,5,syrk,37695338,39406759,5176403,3124505,0.312700
dpotrf,8192,320,32,5,gemm,37695338,39406759,5176403,3124505,0.312700
dpotrf,8192,320,32,5,trsm,37695338,39406759,5176403,3124505,0.312700
dpotrf,8192,320,32,5,gemm,37695338,39406759,5176403,3124505,0.312700
dpotrf,8192,320,32,6,potrf,39958271,40262531,5328149,3128238,0.332500
dpotrf,8192,320,32,6,trsm,39958271,40262531,5328149,3128238,0.332500
dpotrf,8192,320,32,6,syrk,39958271,40262531,5328149,3128238,0.332500
dpotrf,8192,320,32,6,gemm,39958271,40262531,5328149,3128238,0.332500
dpotrf,8192,320,32,6,trsm,39958271,40262531,5328149,3128238,0.332500
dpotrf,8192,320,32,6,gemm,39958271,40262531,5328149,3128238,0.332500
dpotrf,8192,320,32,7,potrf,41269914,40446125,5587790,3439042,0.373700
dpotrf,8192,320,32,7,trsm,41269914,40446125,5587790,3439042,0.373700
dpotrf,8192,320,32,7,syrk,41269914,40446125,5587790,3439042,0.373700
dpotrf,8192,320,32,7,gemm,41269914,40446125,5587790,3439042,0.373700
dpotrf,8192,320,32,7,trsm,41269914,40446125,5587790,3439042,0.373700
dpotrf,8192,320,32,7,gemm,41269914,40446125,5587790,3439042,0.373700
dpotrf,8192,320,32,8,potrf,41899490,40669635,5796772,3268049,0.387500
dpotrf,8192,320,32,8,trsm,41899490,40669635,5796772,3268049,0.387500
dpotrf,8192,320,32,8,syrk,41899490,40669635,5796772,3268049,0.387500
dpotrf,8192,320,32,8,gemm,41899490,40669635,5796772,3268049,0.387500
dpotrf,8192,320,32,8,trsm,41899490,40669635,5796772,3268049,0.387500
dpotrf,8192,320,32,8,gemm,41899490,40669635,5796772,3268049,0.387500
dpotrf,8192,320,32,9,potrf,31067975,30277083,5203194,3096873,0.323300
dpotrf,8192,320,32,9,trsm,31067975,30277083,5203194,3096873,0.323300
dpotrf,8192,320,32,9,syrk,31067975,30277083,5203194,3096873,0.323300
dpotrf,8192,320,32,9,gemm,31067975,30277083,5203194,3096873,0.323300
dpotrf,8192,320,32,9,trsm,31067975,30277083,5203194,3096873,0.323300
dpotrf,8192,320,32,9,gemm,31067975,30277083,5203194,3096873,0.323300
dpotrf,8192,320,32,10,potrf,30780561,29751999,5153667,3008776,0.323800
dpotrf,8192,320,32,10,trsm,30780561,29751999,5153667,3008776,0.323800
dpotrf,8192,320,32,10,syrk,30780561,29751999,5153667,3008776,0.323800
dpotrf,8192,320,32,10,gemm,30780561,29751999,5153667,3008776,0.323800
dpotrf,8192,320,32,10,trsm,30780561,29751999,5153667,3008776,0.323800
dpotrf,8192,320,32,10,gemm,30780561,29751999,5153667,3008776,0.323800
dpotrf,8192,320,32,11,potrf,33833653,31902018,5550656,3303163,0.372900
dpotrf,8192,320,32,11,trsm,33833653,31902018,5550656,3303163,0.372900
dpotrf,8192,320,32,11,syrk,33833653,31902018,5550656,3303163,0.372900
dpotrf,8192,320,32,11,gemm,33833653,31902018,5550656,3303163,0.372900
