algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_RES_STL,PAPI_TOT_CYC,PAPI_BR_MSP,
dpotrs,trsm,8192,320,23068672,1200000,52,336960,13274222,5068537,8911253,4552,
dpotrs,gemm,8192,320,23068672,1200000,650,7762759,19831242,73907307,83762393,29317,
dpotrs,trsm,8192,320,23068672,2801000,52,334596,13274196,11856060,15732658,4710,
dpotrs,gemm,8192,320,23068672,2801000,650,7761642,19834517,177935899,188045260,30317,
dpotrs,trsm,8192,640,23068672,1200000,26,735911,18458624,8698105,14198342,5876,
dpotrs,gemm,8192,640,23068672,1200000,156,8001232,17635837,77979609,86796499,14534,
dpotrs,trsm,8192,640,23068672,2801000,26,705947,18457918,19230785,24762696,5465,
dpotrs,gemm,8192,640,23068672,2801000,156,7989605,17636202,191425472,200481074,14647,
dpotrs,trsm,8192,960,23068672,1200000,18,1113071,23305552,12306722,19354376,6428,
dpotrs,gemm,8192,960,23068672,1200000,72,7571423,16542124,72276296,80524346,9258,
dpotrs,trsm,8192,960,23068672,2801000,18,1054375,23305268,26527405,33624830,6644,
dpotrs,gemm,8192,960,23068672,2801000,72,7553750,16542303,180347447,188904779,9245,
dpotrs,trsm,8192,1280,23068672,1200000,14,1645306,28207804,17260765,25932661,6684,
dpotrs,gemm,8192,1280,23068672,1200000,42,8979167,95181783,84286271,115863154,19558,
dpotrs,trsm,8192,1280,23068672,2801000,14,1586524,28207791,36245482,44891795,7228,
dpotrs,gemm,8192,1280,23068672,2801000,42,8690149,95181852,165812845,197202364,19085,
dpotrs,trsm,12288,320,23068672,1200000,78,564281,19964823,7960714,13702047,5924,
dpotrs,gemm,12288,320,23068672,1200000,1482,18214548,45222904,170445302,192964452,68254,
dpotrs,trsm,12288,320,23068672,2801000,78,551985,19964700,19829587,25648937,6835,
dpotrs,gemm,12288,320,23068672,2801000,1482,18198945,45202264,438193362,461154137,69269,
dpotrs,trsm,12288,640,23068672,1200000,40,1203459,27708187,13364656,21596563,8467,
dpotrs,gemm,12288,640,23068672,1200000,380,18923132,40803814,182573112,203040121,33606,
dpotrs,trsm,12288,640,23068672,2801000,40,1136189,27708184,31748178,40011430,7660,
dpotrs,gemm,12288,640,23068672,2801000,380,18863057,40804476,474196598,495263363,35175,
dpotrs,trsm,12288,960,23068672,1200000,26,1811843,35450298,18773799,29462970,9493,
dpotrs,gemm,12288,960,23068672,1200000,156,18218741,38737736,172685692,191991477,21260,
dpotrs,trsm,12288,960,23068672,2801000,26,1700233,35450242,41530515,52241869,9375,
dpotrs,gemm,12288,960,23068672,2801000,156,18183868,38736783,444254594,464316541,21368,
dpotrs,trsm,12288,1280,23068672,1200000,20,2571618,42803580,25666547,38762647,10876,
dpotrs,gemm,12288,1280,23068672,1200000,90,21589086,228092883,195461616,270697298,44386,
dpotrs,trsm,12288,1280,23068672,2801000,20,2451043,42803615,58100826,71210227,10668,
dpotrs,gemm,12288,1280,23068672,2801000,90,20710566,228092501,404881306,480071586,45916,
dpotrs,trsm,16384,320,23068672,1200000,104,776687,26691953,10773353,18506412,10297,
dpotrs,gemm,16384,320,23068672,1200000,2652,32918294,80917934,307542338,347721507,117399,
dpotrs,trsm,16384,320,23068672,2801000,104,795751,26691780,27669243,35443579,9250,
dpotrs,gemm,16384,320,23068672,2801000,2652,32917761,80925897,797075182,838281127,122892,
dpotrs,trsm,16384,640,23068672,1200000,52,1675135,37059938,18257893,29258352,10124,
dpotrs,gemm,16384,640,23068672,1200000,650,34273256,73487784,331332284,368085583,59692,
dpotrs,trsm,16384,640,23068672,2801000,52,1577103,37059597,43431475,54548819,10609,
dpotrs,gemm,16384,640,23068672,2801000,650,34371002,73484094,868776524,906823164,62392,
dpotrs,trsm,16384,960,23068672,1200000,36,2491046,47383687,25248752,39536706,12485,
dpotrs,gemm,16384,960,23068672,1200000,306,33201703,70303924,314748745,349837105,38347,
dpotrs,trsm,16384,960,23068672,2801000,36,2327477,47383670,57829771,72178595,13469,
dpotrs,gemm,16384,960,23068672,2801000,306,33270794,70304265,816749827,853355479,38458,
dpotrs,trsm,16384,1280,23068672,1200000,26,3449922,57485326,34736879,52331143,13530,
dpotrs,gemm,16384,1280,23068672,1200000,156,40295036,468768313,360357776,513091452,91321,
dpotrs,trsm,16384,1280,23068672,2801000,26,3285468,57485257,78578210,96242148,12767,
dpotrs,gemm,16384,1280,23068672,2801000,156,38465237,468768092,730915938,883323860,90646,
