algorithm,matrix_size,tile_size,threads,case,task,PKG1,PKG2,DRAM1,DRAM2,time
dpotrs,16384,320,32,1,trsm,8481729,8702370,1171551,485882,0.086500
dpotrs,16384,320,32,1,gemm,8481729,8702370,1171551,485882,0.086500
dpotrs,16384,320,32,2,trsm,12523650,12438017,1473390,946167,0.125500
dpotrs,16384,320,32,2,gemm,12523650,12438017,1473390,946167,0.125500
dpotrs,16384,320,32,3,trsm,9256019,8363260,1506270,960381,0.124500
dpotrs,16384,320,32,3,gemm,9256019,8363260,1506270,960381,0.124500
dpotrs,16384,320,32,4,trsm,7360699,6626998,1296170,565059,0.100400
dpotrs,16384,320,32,4,gemm,7360699,6626998,1296170,565059,0.100400
dpotrs,16384,640,32,1,trsm,8448098,8304361,1245726,469404,0.086400
dpotrs,16384,640,32,1,gemm,8448098,8304361,1245726,469404,0.086400
dpotrs,16384,640,32,2,trsm,10344029,9926671,1277244,676230,0.091200
dpotrs,16384,640,32,2,gemm,10344029,9926671,1277244,676230,0.091200
dpotrs,16384,640,32,3,trsm,6882490,6243758,1306299,691606,0.092100
dpotrs,16384,640,32,3,gemm,6882490,6243758,1306299,691606,0.092100
dpotrs,16384,640,32,4,trsm,7234844,6620222,1343371,695186,0.100900
dpotrs,16384,640,32,4,gemm,7234844,6620222,1343371,695186,0.100900
dpotrs,16384,960,32,1,trsm,9717871,9643652,1466276,542660,0.104000
dpotrs,16384,960,32,1,gemm,9717871,9643652,1466276,542660,0.104000
dpotrs,16384,960,32,2,trsm,11972076,11918671,1523191,810180,0.108400
dpotrs,16384,960,32,2,gemm,11972076,11918671,1523191,810180,0.108400
dpotrs,16384,960,32,3,trsm,7643047,6923506,1496998,748675,0.105200
dpotrs,16384,960,32,3,gemm,7643047,6923506,1496998,748675,0.105200
dpotrs,16384,960,32,4,trsm,7466534,6664167,1445009,597680,0.105300
dpotrs,16384,960,32,4,gemm,7466534,6664167,1445009,597680,0.105300
dpotrs,16384,1280,32,1,trsm,9738561,9846838,1752401,773048,0.124800
dpotrs,16384,1280,32,1,gemm,9738561,9846838,1752401,773048,0.124800
dpotrs,16384,1280,32,2,trsm,11825165,10747165,1966417,1051799,0.139300
dpotrs,16384,1280,32,2,gemm,11825165,10747165,1966417,1051799,0.139300
dpotrs,16384,1280,32,3,trsm,10723911,9869176,2022538,1074121,0.146600
dpotrs,16384,1280,32,3,gemm,10723911,9869176,2022538,1074121,0.146600
dpotrs,16384,1280,32,4,trsm,10797885,9814489,2065103,825343,0.151900
dpotrs,16384,1280,32,4,gemm,10797885,9814489,2065103,825343,0.151900
