algorithm,matrix_size,tile_size,threads,case,task,PKG1,PKG2,DRAM1,DRAM2,time
dtrtri,12288,320,32,1,trsm,123036977,121854364,17963179,10424991,0.910000
dtrtri,12288,320,32,1,trtri,123036977,121854364,17963179,10424991,0.910000
dtrtri,12288,320,32,1,gemm,123036977,121854364,17963179,10424991,0.910000
dtrtri,12288,320,32,2,trsm,121116694,116955267,18993283,10723525,0.996100
dtrtri,12288,320,32,2,trtri,121116694,116955267,18993283,10723525,0.996100
dtrtri,12288,320,32,2,gemm,121116694,116955267,18993283,10723525,0.996100
dtrtri,12288,320,32,3,trsm,123851185,123396352,18257613,10263730,0.928500
dtrtri,12288,320,32,3,trtri,123851185,123396352,18257613,10263730,0.928500
dtrtri,12288,320,32,3,gemm,123851185,123396352,18257613,10263730,0.928500
dtrtri,12288,320,32,4,trsm,121525995,118547426,19106212,10761607,1.005400
dtrtri,12288,320,32,4,trtri,121525995,118547426,19106212,10761607,1.005400
dtrtri,12288,320,32,4,gemm,121525995,118547426,19106212,10761607,1.005400
dtrtri,12288,320,32,5,trsm,95573242,91288401,18065689,9592228,0.920400
dtrtri,12288,320,32,5,trtri,95573242,91288401,18065689,9592228,0.920400
dtrtri,12288,320,32,5,gemm,95573242,91288401,18065689,9592228,0.920400
dtrtri,12288,320,32,6,trsm,95930235,91049267,18880888,9728674,1.009400
dtrtri,12288,320,32,6,trtri,95930235,91049267,18880888,9728674,1.009400
dtrtri,12288,320,32,6,gemm,95930235,91049267,18880888,9728674,1.009400
dtrtri,12288,320,32,7,trsm,95643676,92653815,18207290,9322703,0.933600
dtrtri,12288,320,32,7,trtri,95643676,92653815,18207290,9322703,0.933600
dtrtri,12288,320,32,7,gemm,95643676,92653815,18207290,9322703,0.933600
dtrtri,12288,320,32,8,trsm,95615844,90346082,18754831,9986616,1.001300
dtrtri,12288,320,32,8,trtri,95615844,90346082,18754831,9986616,1.001300
dtrtri,12288,320,32,8,gemm,95615844,90346082,18754831,9986616,1.001300
dtrtri,12288,640,32,1,trsm,133043727,126526226,19688820,11137497,1.002900
dtrtri,12288,640,32,1,trtri,133043727,126526226,19688820,11137497,1.002900
dtrtri,12288,640,32,1,gemm,133043727,126526226,19688820,11137497,1.002900
dtrtri,12288,640,32,2,trsm,127804055,119748167,20444564,11627847,1.070300
dtrtri,12288,640,32,2,trtri,127804055,119748167,20444564,11627847,1.070300
dtrtri,12288,640,32,2,gemm,127804055,119748167,20444564,11627847,1.070300
dtrtri,12288,640,32,3,trsm,133061732,127299357,19774424,10989837,1.012200
dtrtri,12288,640,32,3,trtri,133061732,127299357,19774424,10989837,1.012200
dtrtri,12288,640,32,3,gemm,133061732,127299357,19774424,10989837,1.012200
dtrtri,12288,640,32,4,trsm,127426187,119630065,20428928,11511476,1.078600
dtrtri,12288,640,32,4,trtri,127426187,119630065,20428928,11511476,1.078600
dtrtri,12288,640,32,4,gemm,127426187,119630065,20428928,11511476,1.078600
dtrtri,12288,640,32,5,trsm,109965356,100036426,20398955,11624757,1.052500
dtrtri,12288,640,32,5,trtri,109965356,100036426,20398955,11624757,1.052500
dtrtri,12288,640,32,5,gemm,109965356,100036426,20398955,11624757,1.052500
dtrtri,12288,640,32,6,trsm,102794415,94573305,20729205,11685482,1.100900
dtrtri,12288,640,32,6,trtri,102794415,94573305,20729205,11685482,1.100900
dtrtri,12288,640,32,6,gemm,102794415,94573305,20729205,11685482,1.100900
dtrtri,12288,640,32,7,trsm,107461822,101938338,20438307,11472843,1.052500
dtrtri,12288,640,32,7,trtri,107461822,101938338,20438307,11472843,1.052500
dtrtri,12288,640,32,7,gemm,107461822,101938338,20438307,11472843,1.052500
dtrtri,12288,640,32,8,trsm,103698160,95571899,21000459,11882241,1.106500
dtrtri,12288,640,32,8,trtri,103698160,95571899,21000459,11882241,1.106500
dtrtri,12288,640,32,8,gemm,103698160,95571899,21000459,11882241,1.106500
dtrtri,12288,960,32,1,trsm,119380187,115315806,17550063,9783830,0.918900
dtrtri,12288,960,32,1,trtri,119380187,115315806,17550063,9783830,0.918900
dtrtri,12288,960,32,1,gemm,119380187,115315806,17550063,9783830,0.918900
dtrtri,12288,960,32,2,trsm,115594064,106444613,18252655,10221089,0.995700
dtrtri,12288,960,32,2,trtri,115594064,106444613,18252655,10221089,0.995700
dtrtri,12288,960,32,2,gemm,115594064,106444613,18252655,10221089,0.995700
dtrtri,12288,960,32,3,trsm,121293635,115555978,17783466,10099683,0.935500
dtrtri,12288,960,32,3,trtri,121293635,115555978,17783466,10099683,0.935500
dtrtri,12288,960,32,3,gemm,121293635,115555978,17783466,10099683,0.935500
dtrtri,12288,960,32,4,trsm,118660951,108500638,18939289,10608086,1.023800
dtrtri,12288,960,32,4,trtri,118660951,108500638,18939289,10608086,1.023800
dtrtri,12288,960,32,4,gemm,118660951,108500638,18939289,10608086,1.023800
dtrtri,12288,960,32,5,trsm,99420034,94766420,18147008,10271655,0.979500
dtrtri,12288,960,32,5,trtri,99420034,94766420,18147008,10271655,0.979500
dtrtri,12288,960,32,5,gemm,99420034,94766420,18147008,10271655,0.979500
dtrtri,12288,960,32,6,trsm,97486322,89543655,19084333,10711713,1.053600
dtrtri,12288,960,32,6,trtri,97486322,89543655,19084333,10711713,1.053600
dtrtri,12288,960,32,6,gemm,97486322,89543655,19084333,10711713,1.053600
dtrtri,12288,960,32,7,trsm,102172590,97258968,18724323,10381968,0.996700
dtrtri,12288,960,32,7,trtri,102172590,97258968,18724323,10381968,0.996700
dtrtri,12288,960,32,7,gemm,102172590,97258968,18724323,10381968,0.996700
dtrtri,12288,960,32,8,trsm,99134634,92447090,19539676,10976189,1.081400
dtrtri,12288,960,32,8,trtri,99134634,92447090,19539676,10976189,1.081400
dtrtri,12288,960,32,8,gemm,99134634,92447090,19539676,10976189,1.081400
dtrtri,12288,1280,32,1,trsm,114630078,114769298,17807471,8685779,0.970900
dtrtri,12288,1280,32,1,trtri,114630078,114769298,17807471,8685779,0.970900
dtrtri,12288,1280,32,1,gemm,114630078,114769298,17807471,8685779,0.970900
dtrtri,12288,1280,32,2,trsm,114425244,101174302,18691215,9497153,1.052000
dtrtri,12288,1280,32,2,trtri,114425244,101174302,18691215,9497153,1.052000
dtrtri,12288,1280,32,2,gemm,114425244,101174302,18691215,9497153,1.052000
dtrtri,12288,1280,32,3,trsm,111976215,122861868,18271428,9581243,1.013600
dtrtri,12288,1280,32,3,trtri,111976215,122861868,18271428,9581243,1.013600
dtrtri,12288,1280,32,3,gemm,111976215,122861868,18271428,9581243,1.013600
dtrtri,12288,1280,32,4,trsm,114277540,99181081,18283837,10152070,1.042900
dtrtri,12288,1280,32,4,trtri,114277540,99181081,18283837,10152070,1.042900
dtrtri,12288,1280,32,4,gemm,114277540,99181081,18283837,10152070,1.042900
dtrtri,12288,1280,32,5,trsm,109975244,110805502,20410935,11091780,1.235200
dtrtri,12288,1280,32,5,trtri,109975244,110805502,20410935,11091780,1.235200
dtrtri,12288,1280,32,5,gemm,109975244,110805502,20410935,11091780,1.235200
dtrtri,12288,1280,32,6,trsm,108271024,99475819,20985648,11708142,1.289700
dtrtri,12288,1280,32,6,trtri,108271024,99475819,20985648,11708142,1.289700
dtrtri,12288,1280,32,6,gemm,108271024,99475819,20985648,11708142,1.289700
dtrtri,12288,1280,32,7,trsm,113223893,103453776,19841775,11459562,1.204900
dtrtri,12288,1280,32,7,trtri,113223893,103453776,19841775,11459562,1.204900
dtrtri,12288,1280,32,7,gemm,113223893,103453776,19841775,11459562,1.204900
dtrtri,12288,1280,32,8,trsm,108665798,100595995,21255495,11422781,1.318100
dtrtri,12288,1280,32,8,trtri,108665798,100595995,21255495,11422781,1.318100
dtrtri,12288,1280,32,8,gemm,108665798,100595995,21255495,11422781,1.318100
