algorithm,task,matrix_size,tile_size,frequency,papi_l3_tcm,papi_tot_ins,papi_res_stl,papi_tot_cyc,papi_br_msp,weight,l3_cache_size
qr,geqrt,8192,512,2801000,1001016,1573318592,1430017798,2137746754,513983,16,23068672
qr,ormqr,8192,512,2801000,6659339,6103651849,1702762874,3342962949,726186,120,23068672
qr,tsqrt,8192,512,2801000,10731698,15736858016,21031924411,29050092321,2522145,120,23068672
qr,tsmqr,8192,512,2801000,160643156,98589755831,10835673026,36170142462,4018144,1240,23068672
qr,geqrt,8192,512,1200000,1044628,1573319113,918698292,1602332358,546675,16,23068672
qr,ormqr,8192,512,1200000,6453438,6103652127,1119394747,2755363618,749664,120,23068672
qr,tsqrt,8192,512,1200000,10775283,15736859751,11005373244,18565505670,2804025,120,23068672
qr,tsmqr,8192,512,1200000,163675753,98589760447,7693546290,33039542236,4078258,1240,23068672
qr,geqrt,8192,1024,2801000,3189881,5015085377,7377957142,9988245693,1809068,8,23068672
qr,ormqr,8192,1024,2801000,27315736,10659132893,2587199640,5360753732,517851,28,23068672
qr,tsqrt,8192,1024,2801000,39421739,25529104873,43616130685,57859820593,10180717,28,23068672
qr,tsmqr,8192,1024,2801000,187233109,86123236817,8271583232,30307264704,4731140,140,23068672
qr,geqrt,8192,1024,1200000,4728619,5015085704,4318289467,6727659197,1867117,8,23068672
qr,ormqr,8192,1024,1200000,27736063,10659133375,1352235961,4116063074,518555,28,23068672
qr,tsqrt,8192,1024,1200000,38912463,25529108462,22772540205,35675801520,10279170,28,23068672
qr,tsmqr,8192,1024,1200000,195200767,86123240623,5389744946,27326129098,4724635,140,23068672
qr,geqrt,8192,2048,2801000,773663619,17534769732,41212665897,50170241789,5817593,4,23068672
qr,ormqr,8192,2048,2801000,88258336,17701177413,4716407060,9249791939,453357,6,23068672
qr,tsqrt,8192,2048,2801000,4549609914,40520824125,128588967727,148834274262,9323333,6,23068672
qr,tsmqr,8192,2048,2801000,260880304,67861059430,5132688657,22335401663,1092653,14,23068672
qr,geqrt,8192,2048,1200000,772635003,17534772397,20270054276,29060091613,5540328,4,23068672
qr,ormqr,8192,2048,1200000,89359081,17701178196,2090258393,6607148379,462289,6,23068672
qr,tsqrt,8192,2048,1200000,4546093305,40520829323,52566017374,72632849419,9762256,6,23068672
qr,tsmqr,8192,2048,1200000,263783195,67861062409,3758075657,20933813204,1062379,14,23068672
qr,geqrt,12288,512,2801000,1594194,2359701924,2174056219,3240299823,774802,24,23068672
qr,ormqr,12288,512,2801000,14455047,14038388353,3886617361,7657443235,1611894,276,23068672
qr,tsqrt,12288,512,2801000,25195774,36194781762,49115278255,67592443241,5705860,276,23068672
qr,tsmqr,12288,512,2801000,573495212,343792004942,36243191786,124439580205,14142213,4324,23068672
qr,geqrt,12288,512,1200000,1629465,2359701804,1386253107,2413147131,899183,24,23068672
qr,ormqr,12288,512,1200000,13447101,14038388938,2523473022,6279278227,1518433,276,23068672
qr,tsqrt,12288,512,1200000,25535787,36194786304,25495750229,42991172803,7719062,276,23068672
qr,tsmqr,12288,512,1200000,596202720,343792018103,26853414670,115209167641,13980267,4324,23068672
qr,geqrt,12288,1024,2801000,4991554,7522351459,11160996936,15083240067,2702329,12,23068672
qr,ormqr,12288,1024,2801000,65706300,25125086764,6446639962,12969654100,1213195,66,23068672
qr,tsqrt,12288,1024,2801000,83965010,60175755729,102738993355,136339242878,23999355,66,23068672
qr,tsmqr,12288,1024,2801000,678488362,311273965774,27779689140,107149714896,17035902,506,23068672
qr,geqrt,12288,1024,1200000,6907586,7522353139,6482263257,10096302904,2654756,12,23068672
qr,ormqr,12288,1024,1200000,70253106,25125088098,3389447946,9909920936,1219238,66,23068672
qr,tsqrt,12288,1024,1200000,94898872,60175763687,53670159565,84082814192,23773286,66,23068672
qr,tsmqr,12288,1024,1200000,724887205,311273979446,19371879141,98651174236,17092537,506,23068672
qr,geqrt,12288,2048,2801000,1309059033,26301878307,64022909518,77360293754,8223203,6,23068672
qr,ormqr,12288,2048,2801000,237209634,44252929284,13474429606,24797436231,1225052,15,23068672
qr,tsqrt,12288,2048,2801000,11237915653,101302070324,318927756068,369754956581,23207244,15,23068672
qr,tsmqr,12288,2048,2801000,1025307892,266596998548,21076471736,88756175197,4418050,55,23068672
qr,geqrt,12288,2048,1200000,1338283198,26301882205,30926249527,44081568460,7822266,6,23068672
qr,ormqr,12288,2048,1200000,241442607,44252931324,5699715852,17007315207,1232215,15,23068672
qr,tsqrt,12288,2048,1200000,11313944592,101302083496,131211706491,181532463508,23121566,15,23068672
qr,tsmqr,12288,2048,1200000,1041067167,266597009785,14804640722,82305942723,4091623,55,23068672
qr,geqrt,16384,512,2801000,2179547,3146084378,2921266001,4342879438,1188055,32,23068672
qr,ormqr,16384,512,2801000,22167690,25228400765,6678106597,13446231289,2893936,496,23068672
qr,tsqrt,16384,512,2801000,45905513,65045700962,88857269028,122173982287,13266466,496,23068672
qr,tsmqr,16384,512,2801000,1339408234,828153867581,91303484058,304081357074,34112163,10416,23068672
qr,geqrt,16384,512,1200000,2126659,3146084574,1847909244,3215544229,1058502,32,23068672
qr,ormqr,16384,512,1200000,22104650,25228402751,4521517592,11275860025,3040456,496,23068672
qr,tsqrt,16384,512,1200000,46219840,65045710017,46008184395,77434203244,11217625,496,23068672
qr,tsmqr,16384,512,1200000,1372785316,828153934580,60601975857,273001562859,34114599,10416,23068672
qr,geqrt,16384,1024,2801000,13304607,10029618453,15240221068,20480217539,3737003,16,23068672
qr,ormqr,16384,1024,2801000,121482148,45681968890,11370380228,23214402381,2235323,120,23068672
qr,tsqrt,16384,1024,2801000,165792953,109410472841,186947638556,248032633098,43723891,120,23068672
qr,tsmqr,16384,1024,2801000,1670874217,762805755596,67019807638,261443959238,42078852,1240,23068672
