algorithm,matrix_size,tile_size,case,PKG1,PKG2,DRAM1,DRAM2,time
qr,8192,512,1,300523339,312138300,39679648,30774940,2.237640
qr,8192,512,2,296516697,307815741,39621278,30830815,2.253490
qr,8192,512,3,331389472,340997357,47541078,35007058,2.828040
qr,8192,512,4,324388757,335548823,47645470,35123812,2.879100
qr,8192,512,5,226443817,233911205,38762749,31012717,2.149240
qr,8192,512,6,236514104,238778259,41679862,32484960,2.330070
qr,8192,512,7,243891465,241495232,44145886,34006009,2.610400
qr,8192,512,8,252180751,246057049,46450616,34867384,2.802850
qr,8192,512,9,315988083,314189320,33810568,38329943,2.307650
qr,8192,512,10,307302253,312619134,41618188,31122495,2.371960
qr,8192,512,11,329753612,333132326,46845142,35093732,2.827670
qr,8192,512,12,329191235,340616132,48815783,35891275,2.953620
qr,8192,512,13,234430247,239953792,40427053,31909557,2.231440
qr,8192,512,14,235279305,231127766,40882181,31789988,2.285490
qr,8192,512,15,246558573,245572247,45050820,34210862,2.665580
qr,8192,512,16,254786518,249319186,47187250,35150251,2.845760
qr,8192,1024,1,978443174,1033735269,102367695,112506408,7.363330
qr,8192,1024,2,932556024,908297845,122480937,70582373,7.389740
qr,8192,1024,3,1244509815,1210538772,164609196,93930204,10.237400
qr,8192,1024,4,1221389513,1129975012,165490140,97742888,10.541500
qr,8192,1024,5,767629932,765372369,122113094,76335357,7.522590
qr,8192,1024,6,664873542,687531321,119555745,72009404,7.318900
qr,8192,1024,7,899775712,865968364,160366888,86006319,10.241500
qr,8192,1024,8,789075800,735755929,148779878,82595183,9.513340
qr,8192,1024,9,1080574199,1104942362,139740454,79764102,8.381080
qr,8192,1024,10,921545187,964013646,104626587,104750991,7.718210
qr,8192,1024,11,1235198315,1277966761,166825524,97237023,10.633400
qr,8192,1024,12,1169784176,1251297883,178764466,100300083,11.242400
qr,8192,1024,13,761557743,778438132,125376890,74122288,7.671670
qr,8192,1024,14,746066144,761807071,136018576,82271405,8.359300
qr,8192,1024,15,851218890,838569325,128896410,124338969,9.715330
qr,8192,1024,16,874374715,809408451,166387301,86326960,10.701800
qr,8192,2048,1,4992144813,4925313441,605723848,299095217,36.662800
qr,8192,2048,2,5047767596,5336507945,675787306,340940151,40.906600
qr,8192,2048,3,6433501535,5980043163,782754074,401992874,48.953400
qr,8192,2048,4,5920948282,5726250722,646966069,677959570,47.364600
qr,8192,2048,5,5169630382,4891031120,655114742,326703393,39.859200
qr,8192,2048,6,5098344737,4678588547,675779151,341240934,41.128600
qr,8192,2048,7,5447945953,5467142926,737103127,372500226,45.865800
qr,8192,2048,8,4832232198,4320207629,667172397,343740709,42.671000
qr,8192,2048,9,5476952104,5726845263,706468764,371277832,43.433800
qr,8192,2048,10,4938116204,5192111464,695736242,353258977,42.345300
qr,8192,2048,11,5816348025,5478670545,738381672,390938638,46.451500
qr,8192,2048,12,5127370602,5492510232,731104594,376263215,45.787000
qr,8192,2048,13,4896551979,5150147582,671014028,336848564,41.134900
qr,8192,2048,14,4482147950,4089268951,635826277,310042566,38.276000
qr,8192,2048,15,5332765829,5684747532,751090143,390660148,47.336600
qr,8192,2048,16,5774528369,4940321093,794437078,420206452,50.316000
