algorithm, task, matrix_size, tile_size, mem_boundness, arithm_intensity, bmr, ilp, l3_cache_ratio
qr, geqrt, 16384, 512, 0.639349, 0.000680, 0.003868, 0.707955, 0.090707
qr, ormqr, 16384, 512, 0.507906, 0.000888, 0.006396, 1.841381, 0.962726
qr, tsqrt, 16384, 512, 0.708693, 0.000736, 0.002209, 0.511163, 2.002958
qr, tsmqr, 16384, 512, 0.286662, 0.001603, 0.003298, 2.770663, 57.874482
qr, geqrt, 16384, 1024, 0.717059, 0.000730, 0.004428, 0.472403, 0.305447
qr, ormqr, 16384, 1024, 0.494174, 0.002656, 0.004645, 1.950191, 5.232788
qr, tsqrt, 16384, 1024, 0.736158, 0.001189, 0.005485, 0.422934, 5.397919
qr, tsmqr, 16384, 1024, 0.245405, 0.002212, 0.006776, 2.958456, 73.389016
qr, geqrt, 16384, 2048, 0.809519, 0.055286, 0.004169, 0.320769, 80.103571
qr, ormqr, 16384, 2048, 0.567320, 0.005668, 0.003469, 1.692782, 20.236362
qr, tsqrt, 16384, 2048, 0.849119, 0.116909, 0.003370, 0.261680, 912.078474
qr, tsmqr, 16384, 2048, 0.232450, 0.003796, 0.002149, 3.023578, 111.875321
qr, geqrt, 32768, 512, 0.639214, 0.000679, 0.003784, 0.707816, 0.181060
qr, ormqr, 32768, 512, 0.506597, 0.000872, 0.006416, 1.846314, 3.842460
qr, tsqrt, 32768, 512, 0.708688, 0.000733, 0.002230, 0.510951, 8.110057
qr, tsmqr, 32768, 512, 0.296324, 0.001635, 0.003633, 2.727831, 483.676782
qr, geqrt, 32768, 1024, 0.716788, 0.000726, 0.004590, 0.473007, 0.607670
qr, ormqr, 32768, 1024, 0.498646, 0.002802, 0.004603, 1.932983, 22.818370
qr, tsqrt, 32768, 1024, 0.734383, 0.000820, 0.005554, 0.424875, 15.386158
qr, tsmqr, 32768, 1024, 0.253770, 0.002218, 0.006841, 2.922846, 618.229941
qr, geqrt, 32768, 2048, 0.806963, 0.052697, 0.004243, 0.324369, 152.702991
qr, ormqr, 32768, 2048, 0.575531, 0.005780, 0.003529, 1.659355, 88.448963
qr, tsqrt, 32768, 2048, 0.847849, 0.115114, 0.003364, 0.262994, 3848.870714
qr, tsmqr, 32768, 2048, 0.222809, 0.003763, 0.002193, 3.065714, 982.305164
