algorithm,task,matrix_size,tile_size,frequency,mem_boundness,arithm_intensity,bmr,ilp,l3_cache_ratio,weight
qr,geqrt,16384,512,2801000,0.673696,0.000682,0.003248,0.724118,0.092979,32
qr,ormqr,16384,512,2801000,0.503338,0.000887,0.005073,1.850281,0.970586,496
qr,tsqrt,16384,512,2801000,0.728711,0.000699,0.001643,0.532879,1.971811,496
qr,tsmqr,16384,512,2801000,0.299438,0.001620,0.004395,2.728785,58.164384,10416
qr,geqrt,16384,512,1200000,0.576102,0.000665,0.003143,0.977161,0.090645,32
qr,ormqr,16384,512,1200000,0.400314,0.000856,0.005698,2.242185,0.935595,496
qr,tsqrt,16384,512,1200000,0.596843,0.000698,0.001679,0.839703,1.966755,496
qr,tsmqr,16384,512,1200000,0.221999,0.001598,0.004397,3.036101,57.363019,10416
qr,geqrt,16384,1024,2801000,0.744206,0.000757,0.003761,0.492097,0.329193,16
qr,ormqr,16384,1024,2801000,0.495655,0.002684,0.003783,1.943433,5.315772,120
qr,tsqrt,16384,1024,2801000,0.753342,0.001124,0.004722,0.444982,5.330434,120
qr,tsmqr,16384,1024,2801000,0.246095,0.002084,0.007193,2.964961,68.909104,1240
qr,geqrt,16384,1024,1200000,0.642506,0.000732,0.003856,0.744830,0.318149,16
qr,ormqr,16384,1024,1200000,0.330132,0.002729,0.003808,2.585694,5.404166,120
qr,tsqrt,16384,1024,1200000,0.639580,0.000885,0.004706,0.716477,4.197772,120
qr,tsmqr,16384,1024,1200000,0.196581,0.002203,0.006843,3.156949,72.856034,1240
qr,geqrt,16384,2048,2801000,0.827504,0.051627,0.003556,0.338728,78.483803,8
qr,ormqr,16384,2048,2801000,0.571288,0.005752,0.002937,1.678401,20.598484,28
qr,tsqrt,16384,2048,2801000,0.861029,0.109801,0.002884,0.275954,900.050943,28
qr,tsmqr,16384,2048,2801000,0.233389,0.003802,0.002178,3.024318,111.845700,140
qr,geqrt,16384,2048,1200000,0.702168,0.050767,0.003534,0.596666,77.175892,8
qr,ormqr,16384,2048,1200000,0.347214,0.006056,0.002779,2.557822,21.685410,28
qr,tsqrt,16384,2048,1200000,0.724804,0.110693,0.002914,0.557458,907.368653,28
qr,tsmqr,16384,2048,1200000,0.176905,0.003957,0.002201,3.253748,116.391958,140
qr,geqrt,24576,512,2801000,0.673828,0.000657,0.003048,0.723791,0.134461,48
qr,ormqr,24576,512,2801000,0.502308,0.000861,0.005116,1.853875,2.142580,1128
qr,tsqrt,24576,512,2801000,0.728517,0.000689,0.001639,0.533217,4.420212,1128
