algorithm,matrix_size,tile_size,case,PKG1,PKG2,DRAM1,DRAM2,time
qr,16384,512,1,1783703808,1963782326,292832989,209280759,14.612000
qr,16384,512,2,1732252646,1884985714,288475349,208586629,14.434500
qr,16384,512,3,1657035492,1841585129,300967294,217163702,15.185600
qr,16384,512,4,1607168676,1774142980,293157869,213668157,14.736300
qr,16384,512,5,1354509350,1367620767,274013605,202841066,13.636500
qr,16384,512,6,1379480172,1396396388,283953817,204573868,14.123200
qr,16384,512,7,1378698435,1380206794,290439226,211943632,14.963300
qr,16384,512,8,1308518745,1313305659,278592345,209124592,14.149500
qr,16384,512,9,1706656275,1877875258,280868648,207966520,14.047000
qr,16384,512,10,1697323536,1858031682,279356702,208460924,14.017300
qr,16384,512,11,1697588244,1815075309,312175142,223440726,15.903900
qr,16384,512,12,1677074015,1843770792,305999404,216551564,15.507000
qr,16384,512,13,1243769888,1283752940,244306284,201235606,12.263000
qr,16384,512,14,1382988952,1407823056,282699936,204096078,14.100600
qr,16384,512,15,1349515649,1358058047,287608849,210291661,14.600300
qr,16384,512,16,1301870447,1321745395,278248447,208909076,14.124300
qr,16384,1024,1,5103896480,4806527063,750477898,360649122,39.255800
qr,16384,1024,2,4635414097,4388283932,692749804,351089222,36.249900
qr,16384,1024,3,4820482044,4592164026,771422037,389684803,41.407000
qr,16384,1024,4,4691221999,4509945547,802052240,364396780,42.559600
qr,16384,1024,5,3450969865,3463129989,682328393,359880771,35.918100
qr,16384,1024,6,3483051752,3448288901,729211326,346909768,37.628800
qr,16384,1024,7,3530201351,3303505947,775845742,345401095,40.917600
qr,16384,1024,8,3477169260,3174412406,767434995,377432701,41.207800
qr,16384,1024,9,4863611817,4670732855,736732515,342277264,37.760300
qr,16384,1024,10,4768700927,4575531439,726293708,357694278,37.624300
qr,16384,1024,11,4627734980,4532206903,765555008,386583738,40.634000
qr,16384,1024,12,4735764732,4401571129,790376136,387100282,42.253600
qr,16384,1024,13,3252478002,3499756787,423044709,626299395,35.463600
qr,16384,1024,14,3372427219,3375412074,709167500,361941834,36.938600
qr,16384,1024,15,3350889493,3178595989,742047063,364533822,39.454000
qr,16384,1024,16,3331671281,3084063211,751930403,347661747,40.124500
qr,16384,2048,1,16881245602,16380160520,2402102724,981146589,127.647000
qr,16384,2048,2,15030272252,15106642052,2328389313,964551352,124.644000
qr,16384,2048,3,16262210627,15198407442,2459878583,1020086450,134.531000
qr,16384,2048,4,15160964606,14442926832,2469737108,1019081990,134.492000
qr,16384,2048,5,12865100427,12636974424,2355614546,983843780,127.814000
qr,16384,2048,6,11105132032,10327428518,2198435488,888018533,116.562000
qr,16384,2048,7,12307206408,11154243906,2348458491,909121088,129.415000
qr,16384,2048,8,11068973799,10016458672,2356372507,855872239,129.419000
qr,16384,2048,9,16943071615,16612945813,2448065714,1012561405,133.005000
qr,16384,2048,10,15006930637,14955652082,2381960962,978478804,127.749000
qr,16384,2048,11,13478760538,15188139890,1570827101,1906073235,120.904000
qr,16384,2048,12,14268027378,13887127413,2402037530,1001310611,131.098000
qr,16384,2048,13,12766864777,12295448138,2433548201,992479834,132.318000
qr,16384,2048,14,11728390019,10872369872,2354072274,967205152,128.163000
qr,16384,2048,15,11953718177,11676483048,2489268568,913545176,136.700000
qr,16384,2048,16,10844356821,9943321408,2359491183,886215658,131.244000
