algorithm,matrix_size,tile_size,case,PKG1,PKG2,DRAM1,DRAM2,time
qr,32768,512,1,12971686010.333334,13075901645.0,2354488766.6666665,1549159210.6666667,105.7679
qr,32768,512,2,12845434055.0,13077544483.666666,2355988768.0,1547742619.6666667,105.73599999999999
qr,32768,512,3,12011003512.666666,12324728540.0,2327318266.6666665,1572908778.6666667,104.74166666666667
qr,32768,512,4,12116844001.333334,12422611732.333334,2422194709.3333335,1589699325.0,109.23266666666666
qr,32768,512,5,10098200182.0,9651185152.333334,2278091016.3333335,1518931903.3333333,102.19839999999999
qr,32768,512,6,9861422406.666666,9395451390.666666,2202837497.0,1511853119.0,99.1512
qr,32768,512,7,10043586369.333334,9495169906.333334,2341497638.0,1548823911.3333333,105.19
qr,32768,512,8,9883833625.0,9336882164.0,2267362983.0,1537017737.6666667,102.19566666666667
qr,32768,512,9,12518952855.0,12676495319.0,2243601287.3333335,1538263392.0,100.8488
qr,32768,512,10,12766080966.666666,13027660741.0,2331914922.0,1549664264.0,104.86000000000001
qr,32768,512,11,12298332672.666666,12562590581.666666,2449346292.3333335,1584802621.0,110.23066666666666
qr,32768,512,12,12272893243.666666,12084417143.666666,2219353439.0,1725653334.6666667,107.74533333333333
qr,32768,512,13,10043196132.0,9598381291.666666,2265617069.6666665,1518906576.6666667,101.76913333333334
qr,32768,512,14,10072526338.333334,9687564514.666666,2113909597.6666667,1671074455.6666667,102.58713333333333
qr,32768,512,15,9993396536.333334,9504388713.666666,2325143713.0,1546802475.3333333,104.633
qr,32768,512,16,10067446883.333334,9566796879.666666,2397146038.6666665,1559333328.3333333,108.02933333333334
qr,32768,1024,1,29755008320.333332,27868573960.666668,4559387403.0,2889876964.3333335,249.816
qr,32768,1024,2,30523439763.666668,27502454109.333332,5575550265.0,2072754189.3333333,252.73733333333334
qr,32768,1024,3,26193048281.666668,22560463160.0,5605657156.0,2096843922.0,255.018
qr,32768,1024,4,26239916183.0,22593613607.666668,5622003100.0,2079410877.0,255.80499999999998
qr,32768,1024,5,26165603812.333332,23328701590.0,5575316215.666667,2084027974.0,252.85500000000002
qr,32768,1024,6,24870959808.666668,23407265638.666668,4549736290.666667,2889502293.0,249.26999999999998
qr,32768,1024,7,20177933187.666668,17878813768.0,4759981475.0,2477698911.6666665,234.76733333333334
qr,32768,1024,8,20228188043.333332,19783436476.0,3508444076.0,3725942358.0,254.0523333333333
qr,32768,1024,9,30435096239.333332,26971259444.666668,5542561369.333333,2063686801.6666667,250.96400000000003
qr,32768,1024,10,30301715213.666668,27283587359.666668,5534958156.333333,2066213561.3333333,250.94066666666666
qr,32768,1024,11,26246318002.0,22504625737.333332,5624954352.666667,2067154914.3333333,255.465
qr,32768,1024,12,24920451482.666668,22950749493.666668,4626985644.0,2916767520.0,254.20933333333335
qr,32768,1024,13,25879776480.333332,23034574922.333332,5555887169.0,2063649490.0,251.97966666666665
qr,32768,1024,14,24965833446.666668,23488168263.333332,4573786345.333333,2900005477.6666665,250.83
qr,32768,1024,15,21951800370.666668,18471790216.333332,5586233969.333333,1916642592.6666667,254.367
qr,32768,1024,16,21639711061.333332,17987686882.0,5607552157.666667,1896885095.6666667,255.48566666666667
qr,32768,2048,1,65699049685.0,58390921339.666664,10782249619.333334,3899216459.3333335,497.6483333333333
qr,32768,2048,2,63645177826.666664,56966857888.0,10715669334.0,3873593045.0,494.56033333333335
qr,32768,2048,3,61508510445.333336,51972072700.333336,10926435223.0,3907362787.0,506.3036666666667
qr,32768,2048,4,59963476213.333336,50404159071.666664,10931746975.0,3893674534.6666665,507.78266666666667
qr,32768,2048,5,47063369487.0,44333150260.0,10559525606.666666,3920079152.3333335,489.3923333333334
qr,32768,2048,6,45316983109.0,41739586221.0,10419820312.0,3832277016.6666665,481.68133333333327
qr,32768,2048,7,41711734688.666664,36284070198.333336,10428948445.0,3371229534.6666665,482.87833333333333
qr,32768,2048,8,41446001828.0,35054626121.0,10670208321.0,3321042051.0,496.72133333333335
qr,32768,2048,9,62415475347.666664,56534186042.0,10477744362.666666,3792571043.0,482.44266666666664
qr,32768,2048,10,62335391853.0,55894742631.333336,10642439147.333334,3817245271.3333335,490.6086666666667
qr,32768,2048,11,60373822228.666664,51631253281.0,10888766862.333334,3909718456.3333335,505.54366666666664
qr,32768,2048,12,58068664393.0,49359724143.333336,10769252269.0,3830038550.3333335,498.6453333333333
qr,32768,2048,13,46554615785.0,44311839238.333336,10624209860.0,3959106111.0,492.45133333333337
qr,32768,2048,14,44863116819.333336,41184398922.0,10443860238.666666,3823070461.0,481.96066666666667
qr,32768,2048,15,42507961166.666664,36523555364.0,10748322874.0,3365680806.0,500.5423333333333
qr,32768,2048,16,40894005113.333336,34636454075.0,10715636076.0,3291667566.3333335,498.94599999999997
