algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_RES_STL,PAPI_TOT_CYC,PAPI_BR_MSP,
dtrtri,trsm,8192,320,23068672,1200000,650,13016524,7280717782,1351491239,3787370991,2434999,
dtrtri,trtri,8192,320,23068672,1200000,26,169428,214070134,31027727,100265720,81469,
dtrtri,gemm,8192,320,23068672,1200000,2600,75455066,18919433640,1232054611,6053980843,1992403,
dtrtri,trsm,8192,320,23068672,2801000,650,12891146,7280716198,1550300818,3997361890,2481352,
dtrtri,trtri,8192,320,23068672,2801000,26,148182,214069399,31302256,101250990,118866,
dtrtri,gemm,8192,320,23068672,2801000,2600,74256313,18919431727,1975220519,6805473142,2078989,
dtrtri,trsm,8192,640,23068672,1200000,156,23777583,9245394229,1481343325,4391778909,2271244,
dtrtri,trtri,8192,640,23068672,1200000,13,651961,384195882,67250580,188264987,153161,
dtrtri,gemm,8192,640,23068672,1200000,286,62436391,16298109761,878785042,5014891180,1449099,
dtrtri,trsm,8192,640,23068672,2801000,156,23651889,9245393510,1753966387,4667950011,2280974,
dtrtri,trtri,8192,640,23068672,2801000,13,667062,384195592,75959082,197473898,151573,
dtrtri,gemm,8192,640,23068672,2801000,286,59129019,16298108893,1266783592,5405518580,1476319,
dtrtri,trsm,8192,960,23068672,1200000,72,30386443,10902529992,1497470534,4851266857,3204988,
dtrtri,trtri,8192,960,23068672,1200000,9,1483691,603907313,101843548,289190773,281819,
dtrtri,gemm,8192,960,23068672,1200000,84,54601208,14179598273,687919979,4263524359,216957,
dtrtri,trsm,8192,960,23068672,2801000,72,29016212,10902529041,1790404575,5106820743,2199449,
dtrtri,trtri,8192,960,23068672,2801000,9,1467900,603907106,123555714,308363045,210541,
dtrtri,gemm,8192,960,23068672,2801000,84,51390543,14179597681,985545605,4562506924,218738,
dtrtri,trsm,8192,1280,23068672,1200000,42,36498475,12397844553,1585936622,5259842042,2095511,
dtrtri,trtri,8192,1280,23068672,1200000,7,2345142,889859168,158492255,424549277,279838,
dtrtri,gemm,8192,1280,23068672,1200000,35,51047782,12284087045,603399569,3702887233,158451,
dtrtri,trsm,8192,1280,23068672,2801000,42,37616062,12397843797,1900733327,5571698798,2067856,
dtrtri,trtri,8192,1280,23068672,2801000,7,2399806,889858874,204056272,470370977,301708,
dtrtri,gemm,8192,1280,23068672,2801000,35,48770582,12284086535,822126316,3924607211,154473,
dtrtri,trsm,12288,320,23068672,1200000,1482,28959178,16631662464,3061204069,8647462156,6092524,
dtrtri,trtri,12288,320,23068672,1200000,39,239356,322425151,46876587,151200577,123974,
dtrtri,gemm,12288,320,23068672,1200000,9139,283599157,66520487294,4407555112,21365893295,7011852,
dtrtri,trsm,12288,320,23068672,2801000,1482,30106068,16631658545,3574773055,9160080463,5701096,
dtrtri,trtri,12288,320,23068672,2801000,39,218716,322424890,49177267,154419577,162028,
dtrtri,gemm,12288,320,23068672,2801000,9139,283294800,66520475542,7199876483,24177464939,7543798,
dtrtri,trsm,12288,640,23068672,1200000,380,54220411,21406706553,3375880824,10156015979,6026248,
dtrtri,trtri,12288,640,23068672,1200000,20,1111846,579019155,98817216,283469790,305511,
dtrtri,gemm,12288,640,23068672,1200000,1140,225897175,59963837216,3332311665,18553734433,5425007,
dtrtri,trsm,12288,640,23068672,2801000,380,52509129,21406706906,3589593026,10341741702,5316450,
dtrtri,trtri,12288,640,23068672,2801000,20,1269428,579019181,106165390,289539532,258457,
dtrtri,gemm,12288,640,23068672,2801000,1140,209591703,59963838283,3834666292,19071320939,5586402,
dtrtri,trsm,12288,960,23068672,1200000,156,67918319,25870151978,3721564409,11622216741,7075694,
dtrtri,trtri,12288,960,23068672,1200000,13,2561312,925176175,158990810,443606612,405120,
dtrtri,gemm,12288,960,23068672,1200000,286,202567241,54502960290,3122540497,16878488994,822600,
dtrtri,trsm,12288,960,23068672,2801000,156,70755880,25870151389,3991857376,11840860555,5086646,
dtrtri,trtri,12288,960,23068672,2801000,13,2527779,925175972,164128356,448691324,423714,
dtrtri,gemm,12288,960,23068672,2801000,286,197444008,54502960485,3045611316,16791135476,813292,
dtrtri,trsm,12288,1280,23068672,1200000,90,88288919,29847475278,3959008548,12780991789,4960851,
dtrtri,trtri,12288,1280,23068672,1200000,10,3888563,1354103481,272167122,676075931,397849,
dtrtri,gemm,12288,1280,23068672,1200000,120,194286469,49862259478,2839827378,15425261971,611227,
dtrtri,trsm,12288,1280,23068672,2801000,90,87768233,29847474474,4332193360,13166098907,5245356,
dtrtri,trtri,12288,1280,23068672,2801000,10,3697001,1354103752,240955260,647446311,507878,
dtrtri,gemm,12288,1280,23068672,2801000,120,195046227,49862259766,2754896280,15338755065,619781,
