algorithm,matrix_size,tile_size,threads,case,task,PKG1,PKG2,DRAM1,DRAM2,time
dtrtri,8192,320,32,1,trsm,38934898,38749596,5719645,3189285,0.294900
dtrtri,8192,320,32,1,trtri,38934898,38749596,5719645,3189285,0.294900
dtrtri,8192,320,32,1,gemm,38934898,38749596,5719645,3189285,0.294900
dtrtri,8192,320,32,2,trsm,37208889,36709073,5992183,3396600,0.325300
dtrtri,8192,320,32,2,trtri,37208889,36709073,5992183,3396600,0.325300
dtrtri,8192,320,32,2,gemm,37208889,36709073,5992183,3396600,0.325300
dtrtri,8192,320,32,3,trsm,38730247,38853904,5700627,3150193,0.296400
dtrtri,8192,320,32,3,trtri,38730247,38853904,5700627,3150193,0.296400
dtrtri,8192,320,32,3,gemm,38730247,38853904,5700627,3150193,0.296400
dtrtri,8192,320,32,4,trsm,37433986,36584440,6014368,3382417,0.327200
dtrtri,8192,320,32,4,trtri,37433986,36584440,6014368,3382417,0.327200
dtrtri,8192,320,32,4,gemm,37433986,36584440,6014368,3382417,0.327200
dtrtri,8192,320,32,5,trsm,30992719,29439256,5645180,2949932,0.297800
dtrtri,8192,320,32,5,trtri,30992719,29439256,5645180,2949932,0.297800
dtrtri,8192,320,32,5,gemm,30992719,29439256,5645180,2949932,0.297800
dtrtri,8192,320,32,6,trsm,30693159,28982164,5900781,3105854,0.326500
dtrtri,8192,320,32,6,trtri,30693159,28982164,5900781,3105854,0.326500
dtrtri,8192,320,32,6,gemm,30693159,28982164,5900781,3105854,0.326500
dtrtri,8192,320,32,7,trsm,30600812,29938949,5616814,2923876,0.295000
dtrtri,8192,320,32,7,trtri,30600812,29938949,5616814,2923876,0.295000
dtrtri,8192,320,32,7,gemm,30600812,29938949,5616814,2923876,0.295000
dtrtri,8192,320,32,8,trsm,30773786,28989794,5891372,3191213,0.328800
dtrtri,8192,320,32,8,trtri,30773786,28989794,5891372,3191213,0.328800
dtrtri,8192,320,32,8,gemm,30773786,28989794,5891372,3191213,0.328800
dtrtri,8192,640,32,1,trsm,40075825,38753014,5957468,3338108,0.327100
dtrtri,8192,640,32,1,trtri,40075825,38753014,5957468,3338108,0.327100
dtrtri,8192,640,32,1,gemm,40075825,38753014,5957468,3338108,0.327100
dtrtri,8192,640,32,2,trsm,39715048,36456572,6447237,3608245,0.353800
dtrtri,8192,640,32,2,trtri,39715048,36456572,6447237,3608245,0.353800
dtrtri,8192,640,32,2,gemm,39715048,36456572,6447237,3608245,0.353800
dtrtri,8192,640,32,3,trsm,40636432,39052146,6033418,3465128,0.327800
dtrtri,8192,640,32,3,trtri,40636432,39052146,6033418,3465128,0.327800
dtrtri,8192,640,32,3,gemm,40636432,39052146,6033418,3465128,0.327800
dtrtri,8192,640,32,4,trsm,38246728,35088228,6183021,3477200,0.352100
dtrtri,8192,640,32,4,trtri,38246728,35088228,6183021,3477200,0.352100
dtrtri,8192,640,32,4,gemm,38246728,35088228,6183021,3477200,0.352100
dtrtri,8192,640,32,5,trsm,34583469,33906895,6320033,3648820,0.341300
dtrtri,8192,640,32,5,trtri,34583469,33906895,6320033,3648820,0.341300
dtrtri,8192,640,32,5,gemm,34583469,33906895,6320033,3648820,0.341300
dtrtri,8192,640,32,6,trsm,34498630,32122355,6813396,3871359,0.383600
dtrtri,8192,640,32,6,trtri,34498630,32122355,6813396,3871359,0.383600
dtrtri,8192,640,32,6,gemm,34498630,32122355,6813396,3871359,0.383600
dtrtri,8192,640,32,7,trsm,35580598,34178502,6443503,3676789,0.352900
dtrtri,8192,640,32,7,trtri,35580598,34178502,6443503,3676789,0.352900
dtrtri,8192,640,32,7,gemm,35580598,34178502,6443503,3676789,0.352900
dtrtri,8192,640,32,8,trsm,33855076,31781169,6710366,3841646,0.390900
dtrtri,8192,640,32,8,trtri,33855076,31781169,6710366,3841646,0.390900
dtrtri,8192,640,32,8,gemm,33855076,31781169,6710366,3841646,0.390900
dtrtri,8192,960,32,1,trsm,36203643,36935330,5726698,2960413,0.320600
dtrtri,8192,960,32,1,trtri,36203643,36935330,5726698,2960413,0.320600
dtrtri,8192,960,32,1,gemm,36203643,36935330,5726698,2960413,0.320600
dtrtri,8192,960,32,2,trsm,37701930,34693087,6288576,3204921,0.388100
dtrtri,8192,960,32,2,trtri,37701930,34693087,6288576,3204921,0.388100
dtrtri,8192,960,32,2,gemm,37701930,34693087,6288576,3204921,0.388100
dtrtri,8192,960,32,3,trsm,36934232,37331142,5773868,3058838,0.339700
dtrtri,8192,960,32,3,trtri,36934232,37331142,5773868,3058838,0.339700
dtrtri,8192,960,32,3,gemm,36934232,37331142,5773868,3058838,0.339700
dtrtri,8192,960,32,4,trsm,37615748,35392793,6382043,3306820,0.398500
dtrtri,8192,960,32,4,trtri,37615748,35392793,6382043,3306820,0.398500
dtrtri,8192,960,32,4,gemm,37615748,35392793,6382043,3306820,0.398500
dtrtri,8192,960,32,5,trsm,38267603,38014795,6889024,3781350,0.446300
dtrtri,8192,960,32,5,trtri,38267603,38014795,6889024,3781350,0.446300
dtrtri,8192,960,32,5,gemm,38267603,38014795,6889024,3781350,0.446300
dtrtri,8192,960,32,6,trsm,39218467,36405791,7405215,4305114,0.502100
dtrtri,8192,960,32,6,trtri,39218467,36405791,7405215,4305114,0.502100
dtrtri,8192,960,32,6,gemm,39218467,36405791,7405215,4305114,0.502100
dtrtri,8192,960,32,7,trsm,39659201,37432338,6921521,3715758,0.460900
dtrtri,8192,960,32,7,trtri,39659201,37432338,6921521,3715758,0.460900
dtrtri,8192,960,32,7,gemm,39659201,37432338,6921521,3715758,0.460900
dtrtri,8192,960,32,8,trsm,40931231,36209929,7539396,4114431,0.521500
dtrtri,8192,960,32,8,trtri,40931231,36209929,7539396,4114431,0.521500
dtrtri,8192,960,32,8,gemm,40931231,36209929,7539396,4114431,0.521500
dtrtri,8192,1280,32,1,trsm,42807934,37352383,6430819,2708268,0.424200
dtrtri,8192,1280,32,1,trtri,42807934,37352383,6430819,2708268,0.424200
dtrtri,8192,1280,32,1,gemm,42807934,37352383,6430819,2708268,0.424200
dtrtri,8192,1280,32,2,trsm,45536200,42314955,7648056,4170643,0.574500
dtrtri,8192,1280,32,2,trtri,45536200,42314955,7648056,4170643,0.574500
dtrtri,8192,1280,32,2,gemm,45536200,42314955,7648056,4170643,0.574500
dtrtri,8192,1280,32,3,trsm,40382831,44745124,6782826,3029691,0.465100
dtrtri,8192,1280,32,3,trtri,40382831,44745124,6782826,3029691,0.465100
dtrtri,8192,1280,32,3,gemm,40382831,44745124,6782826,3029691,0.465100
dtrtri,8192,1280,32,4,trsm,51414724,36792935,7590636,4066495,0.595700
dtrtri,8192,1280,32,4,trtri,51414724,36792935,7590636,4066495,0.595700
dtrtri,8192,1280,32,4,gemm,51414724,36792935,7590636,4066495,0.595700
dtrtri,8192,1280,32,5,trsm,54979168,45617681,8828773,3987808,0.697700
dtrtri,8192,1280,32,5,trtri,54979168,45617681,8828773,3987808,0.697700
dtrtri,8192,1280,32,5,gemm,54979168,45617681,8828773,3987808,0.697700
dtrtri,8192,1280,32,6,trsm,58447238,47684937,9816327,5241275,0.833900
dtrtri,8192,1280,32,6,trtri,58447238,47684937,9816327,5241275,0.833900
dtrtri,8192,1280,32,6,gemm,58447238,47684937,9816327,5241275,0.833900
dtrtri,8192,1280,32,7,trsm,54979535,46919618,8889040,4430620,0.731000
dtrtri,8192,1280,32,7,trtri,54979535,46919618,8889040,4430620,0.731000
dtrtri,8192,1280,32,7,gemm,54979535,46919618,8889040,4430620,0.731000
dtrtri,8192,1280,32,8,trsm,60006011,48833798,9969403,5216948,0.863400
dtrtri,8192,1280,32,8,trtri,60006011,48833798,9969403,5216948,0.863400
dtrtri,8192,1280,32,8,gemm,60006011,48833798,9969403,5216948,0.863400
