algorithm, task, matrix_size, tile_size, mem_boundness, arithm_intensity, bmr, ilp, l3_cache_ratio
cholesky, potrf, 16384, 1024, 0.293517, 0.002335, 0.002615, 2.597815, 0.164586
cholesky, trsm, 16384, 1024, 0.313928, 0.001416, 0.002476, 2.527275, 1.777046
cholesky, syrk, 16384, 1024, 0.256329, 0.003805, 0.006856, 2.903211, 2.613387
cholesky, gemm, 16384, 1024, 0.197525, 0.002808, 0.007559, 3.156735, 16.774181
cholesky, potrf, 16384, 2048, 0.308517, 0.001995, 0.002258, 2.569944, 0.405841
cholesky, trsm, 16384, 2048, 0.281060, 0.002185, 0.002343, 2.710239, 3.833278
cholesky, syrk, 16384, 2048, 0.222198, 0.003292, 0.002733, 3.062516, 4.020615
cholesky, gemm, 16384, 2048, 0.181793, 0.003295, 0.001445, 3.234729, 15.509934
cholesky, potrf, 32768, 1024, 0.299117, 0.002433, 0.002631, 2.584429, 0.342987
cholesky, trsm, 32768, 1024, 0.313751, 0.001418, 0.002475, 2.527888, 7.353044
cholesky, syrk, 32768, 1024, 0.254952, 0.003763, 0.007006, 2.908096, 10.682884
cholesky, gemm, 32768, 1024, 0.196736, 0.002792, 0.007650, 3.159935, 147.735996
cholesky, potrf, 32768, 2048, 0.308619, 0.002023, 0.002263, 2.571550, 0.822857
cholesky, trsm, 32768, 2048, 0.280631, 0.002152, 0.002342, 2.711621, 16.184224
cholesky, syrk, 32768, 2048, 0.221424, 0.003227, 0.002697, 3.065896, 16.890390
cholesky, gemm, 32768, 2048, 0.181212, 0.003235, 0.001441, 3.237457, 152.305300
