algorithm, matrix_size, tile_size, case, PKG1, PKG2, DRAM1, DRAM2, time
cholesky, 16384, 1024, 1, 238150452, 216906061, 42534122, 20093245, 1.900360
cholesky, 16384, 1024, 2, 249442232, 223709754, 44777423, 19230248, 2.004280
cholesky, 16384, 1024, 3, 242213003, 218294729, 43559513, 19703401, 1.943900
cholesky, 16384, 1024, 4, 246010784, 219378406, 44164429, 19789969, 1.975140
cholesky, 16384, 1024, 5, 234237255, 214534912, 41769612, 19850618, 1.873140
cholesky, 16384, 1024, 6, 242755299, 218727101, 43231742, 19962522, 1.931240
cholesky, 16384, 1024, 7, 247489296, 220819137, 44134885, 19887919, 1.977160
cholesky, 16384, 1024, 8, 244202744, 218312674, 43644459, 19113709, 1.957220
cholesky, 16384, 1024, 9, 247040688, 221332258, 44317306, 19230050, 1.978410
cholesky, 16384, 1024, 10, 246857156, 222515910, 44210314, 19443286, 1.974010
cholesky, 16384, 1024, 11, 245139631, 219867296, 43861152, 19560530, 1.962020
cholesky, 16384, 1024, 12, 247989721, 222438456, 44144952, 20254201, 1.980810
cholesky, 16384, 1024, 13, 247026101, 221832379, 44019217, 19036857, 1.973690
cholesky, 16384, 1024, 14, 243921068, 217180779, 43469366, 19021755, 1.946900
cholesky, 16384, 1024, 15, 239729733, 219234668, 43188045, 19720185, 1.936030
cholesky, 16384, 1024, 16, 248536168, 220275498, 44102113, 18689180, 1.971920
cholesky, 16384, 2048, 1, 240640253, 223174965, 40688453, 18367283, 1.854120
cholesky, 16384, 2048, 2, 243448352, 224211279, 41393951, 17837214, 1.873560
cholesky, 16384, 2048, 3, 251558377, 232222367, 42756600, 18465983, 1.946090
cholesky, 16384, 2048, 4, 237662661, 223029275, 39961137, 18402595, 1.817370
cholesky, 16384, 2048, 5, 247306190, 227613492, 41944139, 17898506, 1.902920
cholesky, 16384, 2048, 6, 238928161, 222921061, 40276821, 18637970, 1.834270
cholesky, 16384, 2048, 7, 242932728, 225182040, 41461408, 18534558, 1.877620
cholesky, 16384, 2048, 8, 237462954, 222340251, 40127570, 19023576, 1.824240
cholesky, 16384, 2048, 9, 251049589, 232481339, 42293591, 19513497, 1.934760
cholesky, 16384, 2048, 10, 245691387, 225622164, 41681913, 18512954, 1.887170
cholesky, 16384, 2048, 11, 237734437, 221371809, 40131855, 19287088, 1.822110
cholesky, 16384, 2048, 12, 247879858, 227738309, 42298609, 17917846, 1.915030
cholesky, 16384, 2048, 13, 246183269, 228613550, 42183767, 18466732, 1.906800
cholesky, 16384, 2048, 14, 242292532, 224468969, 41034616, 18572701, 1.861970
cholesky, 16384, 2048, 15, 236945560, 220221360, 40057007, 18852293, 1.815840
cholesky, 16384, 2048, 16, 244445358, 225444491, 41101385, 19021266, 1.872340
cholesky, 32768, 1024, 1, 1900932450, 1700918619, 328826606, 152054843, 14.737600
cholesky, 32768, 1024, 2, 1903080455, 1707485131, 330566139, 151282085, 14.792300
cholesky, 32768, 1024, 3, 1895011689, 1703307895, 330839565, 151722695, 14.794100
cholesky, 32768, 1024, 4, 1885237789, 1683033106, 326389836, 153543992, 14.663800
cholesky, 32768, 1024, 5, 1903184032, 1692135439, 328856380, 153941500, 14.767300
cholesky, 32768, 1024, 6, 1910372124, 1711891797, 330928887, 151518623, 14.805600
cholesky, 32768, 1024, 7, 1890286238, 1698160448, 328442820, 152044301, 14.719600
cholesky, 32768, 1024, 8, 1899173971, 1709249164, 331764007, 152552199, 14.845600
cholesky, 32768, 1024, 9, 1904393928, 1710922317, 330370666, 151727316, 14.780300
cholesky, 32768, 1024, 10, 1902315442, 1700913127, 329085145, 151790244, 14.747800
cholesky, 32768, 1024, 11, 1890361616, 1696925709, 328922843, 152074442, 14.729300
cholesky, 32768, 1024, 12, 1900715533, 1701557106, 330946681, 152016930, 14.791700
cholesky, 32768, 1024, 13, 1880301827, 1695916985, 328962883, 150727231, 14.705400
cholesky, 32768, 1024, 14, 1893745884, 1708001425, 330097822, 152170740, 14.744500
cholesky, 32768, 1024, 15, 1881346441, 1693175658, 328686717, 152747121, 14.735600
cholesky, 32768, 1024, 16, 1905041205, 1712001538, 329363605, 152024595, 14.745100
cholesky, 32768, 2048, 1, 1745178882, 1633338958, 305741001, 138478296, 13.674200
cholesky, 32768, 2048, 2, 1807840586, 1667068120, 316093012, 136161784, 14.163400
cholesky, 32768, 2048, 3, 1775180270, 1642459357, 307506514, 141481655, 13.757700
cholesky, 32768, 2048, 4, 1735151930, 1631077367, 305177411, 137916633, 13.630400
cholesky, 32768, 2048, 5, 1895502105, 1698437058, 328913005, 122862396, 14.752500
cholesky, 32768, 2048, 6, 1744949024, 1624821341, 301808259, 142736164, 13.473100
cholesky, 32768, 2048, 7, 1867248638, 1692892273, 326255685, 127260672, 14.600600
cholesky, 32768, 2048, 8, 1814271662, 1658640652, 313138398, 138066450, 14.021500
cholesky, 32768, 2048, 9, 1818125167, 1668979064, 316265489, 135135674, 14.154700
cholesky, 32768, 2048, 10, 1771999614, 1641695870, 307195757, 142252102, 13.743100
cholesky, 32768, 2048, 11, 1749297463, 1639634291, 306092305, 138542602, 13.683700
cholesky, 32768, 2048, 12, 1751357150, 1616244337, 299898620, 148661425, 13.449000
cholesky, 32768, 2048, 13, 1793345385, 1649869250, 312141664, 137083180, 13.966500
cholesky, 32768, 2048, 14, 1772053996, 1635585169, 306605987, 141537531, 13.713900
cholesky, 32768, 2048, 15, 1772027263, 1648132499, 310181750, 137347564, 13.858800
cholesky, 32768, 2048, 16, 1717665585, 1624827078, 299699200, 142199653, 13.392300
