algorithm, matrix_size, tile_size, case, PKG1, PKG2, DRAM1, DRAM2, time
cholesky, 16384, 1024, 1, 242523794, 219525500, 44032604, 19562075, 1.972020
cholesky, 16384, 1024, 2, 239843136, 218317923, 43805461, 19423227, 1.957020
cholesky, 16384, 1024, 3, 241481438, 217608024, 43981717, 19273134, 1.968390
cholesky, 16384, 1024, 4, 239450864, 219346790, 43808337, 19503629, 1.957930
cholesky, 16384, 1024, 5, 224155554, 229711204, 23535439, 35447238, 1.916960
cholesky, 16384, 1024, 6, 239417722, 218021780, 43256007, 19517613, 1.930550
cholesky, 16384, 1024, 7, 243495470, 220569198, 44176930, 19498687, 1.975100
cholesky, 16384, 1024, 8, 223256692, 230671163, 23838456, 36007647, 1.941980
cholesky, 16384, 1024, 9, 245588055, 221706097, 44711465, 19263067, 1.997690
cholesky, 16384, 1024, 10, 237829226, 217615166, 42903525, 19858314, 1.916610
cholesky, 16384, 1024, 11, 244601729, 216901545, 44053107, 19650265, 1.971660
cholesky, 16384, 1024, 12, 238788451, 218792104, 43802431, 19654105, 1.959070
cholesky, 16384, 1024, 13, 241220512, 218445608, 43625319, 19766911, 1.948470
cholesky, 16384, 1024, 14, 237452395, 217222283, 42739326, 19754120, 1.912470
cholesky, 16384, 1024, 15, 234321421, 214530395, 42911191, 19153029, 1.919380
cholesky, 16384, 1024, 16, 243113696, 219049122, 43393997, 20057000, 1.942900
cholesky, 16384, 2048, 1, 243285449, 223383766, 41342207, 18772397, 1.872990
cholesky, 16384, 2048, 2, 240163082, 222839762, 40518668, 19722602, 1.843970
cholesky, 16384, 2048, 3, 240325312, 222022747, 40555970, 18942456, 1.843300
cholesky, 16384, 2048, 4, 252385463, 227477689, 42715902, 18008345, 1.939470
cholesky, 16384, 2048, 5, 234588755, 219083484, 39796126, 19562182, 1.804340
cholesky, 16384, 2048, 6, 253903586, 229308556, 43285306, 17660867, 1.965110
cholesky, 16384, 2048, 7, 239127684, 224547887, 40846303, 19238082, 1.858580
cholesky, 16384, 2048, 8, 233564160, 233079542, 22952096, 34033182, 1.874380
cholesky, 16384, 2048, 9, 244086472, 224373876, 41637175, 18711425, 1.880820
cholesky, 16384, 2048, 10, 245528974, 225387912, 41812468, 18587878, 1.897230
cholesky, 16384, 2048, 11, 244458663, 226252717, 41867501, 18159708, 1.901690
cholesky, 16384, 2048, 12, 244572189, 224051795, 41888004, 18449245, 1.897650
cholesky, 16384, 2048, 13, 236964359, 220923812, 40296559, 18925824, 1.828980
cholesky, 16384, 2048, 14, 236925419, 220815047, 40090774, 19018160, 1.820690
cholesky, 16384, 2048, 15, 228254543, 223069863, 23564387, 32250564, 1.788450
cholesky, 16384, 2048, 16, 242028250, 224415868, 41282812, 18439622, 1.873810
cholesky, 32768, 1024, 1, 1873286464, 1648132682, 329731677, 152215110, 14.728600
cholesky, 32768, 1024, 2, 1879963327, 1665862251, 330421370, 151756554, 14.763300
cholesky, 32768, 1024, 3, 1878180006, 1669310667, 331446210, 151606032, 14.797900
cholesky, 32768, 1024, 4, 1873367945, 1666129463, 331150170, 150731989, 14.767200
cholesky, 32768, 1024, 5, 1882734743, 1665015330, 327946029, 151684429, 14.656700
cholesky, 32768, 1024, 6, 1910658622, 1687496596, 332604619, 153808069, 14.868900
cholesky, 32768, 1024, 7, 1900124774, 1673609668, 331180388, 152577950, 14.811900
cholesky, 32768, 1024, 8, 1891307415, 1677655739, 331322112, 153079162, 14.805700
cholesky, 32768, 1024, 9, 1861625117, 1669183838, 326355120, 148946647, 14.593200
cholesky, 32768, 1024, 10, 1891795817, 1675715925, 327158630, 152442132, 14.642800
cholesky, 32768, 1024, 11, 1900320514, 1696500723, 333177405, 152146382, 14.901600
cholesky, 32768, 1024, 12, 1886273126, 1672654410, 326593969, 151580420, 14.651500
cholesky, 32768, 1024, 13, 1915034099, 1697694324, 330131527, 151962431, 14.765600
cholesky, 32768, 1024, 14, 1902767468, 1691157414, 329521409, 151877270, 14.739400
cholesky, 32768, 1024, 15, 1892089577, 1684661275, 330273419, 151861160, 14.767100
cholesky, 32768, 1024, 16, 1893165014, 1700804606, 330118201, 150719811, 14.745900
cholesky, 32768, 2048, 1, 1778463648, 1669149902, 309955020, 137519628, 13.838100
cholesky, 32768, 2048, 2, 1827184959, 1678321937, 316699045, 140185516, 14.152000
cholesky, 32768, 2048, 3, 1827278587, 1669290221, 315835803, 139372978, 14.099800
cholesky, 32768, 2048, 4, 1820574746, 1669410826, 315694264, 139437744, 14.082200
cholesky, 32768, 2048, 5, 1736894113, 1649629810, 305180516, 138665812, 13.597100
cholesky, 32768, 2048, 6, 1707460412, 1633763823, 299506803, 137484040, 13.350400
cholesky, 32768, 2048, 7, 1777105924, 1662621903, 311480384, 139410846, 13.900700
cholesky, 32768, 2048, 8, 1760053722, 1640300427, 307577538, 137810098, 13.713400
cholesky, 32768, 2048, 9, 1754345911, 1660783285, 307871542, 138961286, 13.732400
cholesky, 32768, 2048, 10, 1709058247, 1627626022, 298420900, 140789208, 13.288900
cholesky, 32768, 2048, 11, 1817844895, 1677041971, 316589436, 139516033, 14.137700
cholesky, 32768, 2048, 12, 1765369748, 1650501451, 309365755, 139564932, 13.805400
cholesky, 32768, 2048, 13, 1811452394, 1669548522, 314773341, 138744011, 14.059200
cholesky, 32768, 2048, 14, 1799291536, 1656155367, 313656808, 141095024, 14.015900
cholesky, 32768, 2048, 15, 1731418602, 1635008631, 302673872, 138312122, 13.512200
cholesky, 32768, 2048, 16, 1756961139, 1641262400, 305914932, 139885742, 13.664400
