algorithm,matrix_size,tile_size,case,PKG1,PKG2,DRAM1,DRAM2,time
cholesky,16384,1024,1,242252859.0,218900949.0,43461715.333333336,19905738.333333332,1.9439366666666666
cholesky,16384,1024,2,242694528.33333334,220346644.66666666,43932027.0,19283395.666666668,1.9631166666666668
cholesky,16384,1024,3,243680976.33333334,219481188.66666666,44033053.333333336,19445958.0,1.9673066666666668
cholesky,16384,1024,4,243121264.66666666,219454211.33333334,44088031.0,19565466.666666668,1.9705566666666667
cholesky,16384,1024,5,232532384.0,220544947.33333334,36103665.0,25206892.333333332,1.9050633333333333
cholesky,16384,1024,6,236132472.66666666,223319862.66666666,36811106.666666664,25195494.333333332,1.93883
cholesky,16384,1024,7,242799549.33333334,219751817.66666666,43750503.333333336,19643006.666666668,1.95674
cholesky,16384,1024,8,236300237.66666666,222661967.0,36976229.333333336,25034176.0,1.9488633333333334
cholesky,16384,1024,9,244517989.66666666,220271327.0,44120992.0,19401741.333333332,1.9702399999999998
cholesky,16384,1024,10,242827727.33333334,220145636.33333334,43607391.666666664,19610530.333333332,1.9484333333333332
cholesky,16384,1024,11,241894868.0,216969151.0,43551511.0,19583505.666666668,1.9485033333333333
cholesky,16384,1024,12,242279063.0,219769741.66666666,43736034.0,19979678.666666668,1.9576966666666669
cholesky,16384,1024,13,243891892.33333334,219012663.66666666,43788814.666666664,19214081.666666668,1.9582766666666664
cholesky,16384,1024,14,241813244.0,217967276.33333334,43290876.0,19383615.666666668,1.9385866666666667
cholesky,16384,1024,15,238324361.0,217481315.33333334,43292564.0,19254580.333333332,1.9373366666666667
cholesky,16384,1024,16,245010074.33333334,219585172.0,43706862.333333336,19578691.333333332,1.9546766666666666
cholesky,16384,2048,1,242555124.33333334,223886938.66666666,40999114.333333336,18720295.0,1.8650233333333333
cholesky,16384,2048,2,241503776.66666666,223683753.66666666,40868732.666666664,18778740.333333332,1.85659
cholesky,16384,2048,3,246069885.66666666,227128447.0,41756311.333333336,18198039.333333332,1.8967133333333333
cholesky,16384,2048,4,244686345.0,225928417.0,41337550.333333336,18290405.333333332,1.8774233333333334
cholesky,16384,2048,5,243467740.0,224459874.66666666,41385209.666666664,18452070.333333332,1.8771266666666666
cholesky,16384,2048,6,242047374.66666666,228586166.33333334,35659485.0,23340405.0,1.8904500000000002
cholesky,16384,2048,7,242863371.66666666,225336194.66666666,41334438.666666664,18749471.666666668,1.87836
cholesky,16384,2048,8,236364995.33333334,226539113.0,34486475.333333336,24155568.333333332,1.8461133333333333
cholesky,16384,2048,9,247960872.33333334,228545069.33333334,42142916.666666664,18547098.0,1.9149833333333335
cholesky,16384,2048,10,248004065.0,227353177.66666666,42138888.333333336,18438698.0,1.9126
cholesky,16384,2048,11,239867732.66666666,223612953.0,40686550.666666664,19047924.0,1.8512566666666668
cholesky,16384,2048,12,242704680.33333334,223595721.0,41291099.333333336,18497241.333333332,1.8714033333333333
cholesky,16384,2048,13,238549194.0,222325114.33333334,40586024.333333336,18834304.666666668,1.8414300000000001
cholesky,16384,2048,14,240580296.66666666,223701067.0,40896625.0,18667101.666666668,1.8564
cholesky,16384,2048,15,234841948.66666666,221845318.0,34605948.333333336,23509633.333333332,1.8134033333333335
cholesky,16384,2048,16,241378939.0,224137426.33333334,40868656.666666664,18862957.333333332,1.8589733333333331
cholesky,32768,1024,1,1889859379.0,1683492577.3333333,329846656.6666667,151903326.66666666,14.757966666666666
cholesky,32768,1024,2,1891282145.6666667,1691509646.6666667,330583122.0,151562565.0,14.787633333333332
cholesky,32768,1024,3,1881172165.6666667,1684277446.3333333,330283976.3333333,151717018.33333334,14.765799999999999
cholesky,32768,1024,4,1877947239.3333333,1681487700.0,329034471.3333333,152186121.66666666,14.722666666666667
cholesky,32768,1024,5,1899320414.6666667,1690127000.6666667,330014365.0,152933393.66666666,14.777833333333334
cholesky,32768,1024,6,1912251615.3333333,1705267770.0,332561804.6666667,152362928.0,14.869566666666666
cholesky,32768,1024,7,1896119495.0,1688085909.0,330267013.6666667,152519111.0,14.7831
cholesky,32768,1024,8,1893148270.6666667,1692005108.3333333,331012975.6666667,152620305.0,14.800699999999999
cholesky,32768,1024,9,1887771921.0,1688346549.0,328103629.3333333,151288542.0,14.683366666666666
cholesky,32768,1024,10,1903128754.3333333,1695192580.3333333,329131524.3333333,152872714.33333334,14.747833333333332
cholesky,32768,1024,11,1892479571.0,1697226103.3333333,330522728.0,152257231.0,14.799199999999999
cholesky,32768,1024,12,1891293437.6666667,1687765129.3333333,329081223.3333333,152191181.0,14.735433333333333
cholesky,32768,1024,13,1891629902.6666667,1694109636.6666667,328885107.6666667,151434565.33333334,14.7184
cholesky,32768,1024,14,1900189003.6666667,1703085199.0,329716045.6666667,152045004.33333334,14.753366666666667
cholesky,32768,1024,15,1889459579.3333333,1687264764.0,329242347.0,152393763.0,14.743633333333333
cholesky,32768,1024,16,1897703210.6666667,1706096828.6666667,329345454.0,151414487.0,14.7354
cholesky,32768,2048,1,1785015755.0,1659734520.3333333,310593626.0,138329982.66666666,13.882133333333334
cholesky,32768,2048,2,1805431392.6666667,1669828326.3333333,314342743.0,138929130.66666666,14.056366666666667
cholesky,32768,2048,3,1802410262.3333333,1658308600.3333333,312489566.0,139712199.66666666,13.961599999999999
cholesky,32768,2048,4,1761131071.0,1694845656.6666667,261778680.33333334,180848050.33333334,13.9766
cholesky,32768,2048,5,1800456796.3333333,1668813965.0,314005480.0,133530448.66666667,14.033366666666666
cholesky,32768,2048,6,1736458018.3333333,1630387712.6666667,302880641.3333333,139682599.66666666,13.5142
cholesky,32768,2048,7,1808282765.0,1667780866.3333333,315286885.6666667,136413203.33333334,14.101133333333332
cholesky,32768,2048,8,1775722525.3333333,1646253700.0,308792831.6666667,137469994.66666666,13.798066666666665
cholesky,32768,2048,9,1779841858.6666667,1654254086.0,310015638.0,138460323.0,13.850833333333334
cholesky,32768,2048,10,1715760317.0,1623263422.6666667,299104688.0,140386292.66666666,13.349166666666667
