algorithm,task,matrix_size,tile_size,mem_boundness,arithm_intensity,bmr,ilp,l3_cache_ratio,case,PKG1,PKG2,DRAM1,DRAM2,time
cholesky,potrf,16384,1024,0.293517,0.002335,0.002615,2.597815,0.164586,1,242252859.0,218900949.0,43461715.333333336,19905738.33333333,1.9439366666666664
cholesky,potrf,16384,1024,0.293517,0.002335,0.002615,2.597815,0.164586,2,242694528.3333333,220346644.66666663,43932027.0,19283395.666666668,1.9631166666666668
cholesky,potrf,16384,1024,0.293517,0.002335,0.002615,2.597815,0.164586,3,243680976.3333333,219481188.66666663,44033053.333333336,19445958.0,1.9673066666666668
cholesky,potrf,16384,1024,0.293517,0.002335,0.002615,2.597815,0.164586,4,243121264.66666663,219454211.3333333,44088031.0,19565466.666666668,1.9705566666666667
cholesky,potrf,16384,1024,0.293517,0.002335,0.002615,2.597815,0.164586,5,232532384.0,220544947.3333333,36103665.0,25206892.33333333,1.905063333333333
cholesky,potrf,16384,1024,0.293517,0.002335,0.002615,2.597815,0.164586,6,236132472.66666663,223319862.66666663,36811106.66666666,25195494.33333333,1.93883
cholesky,potrf,16384,1024,0.293517,0.002335,0.002615,2.597815,0.164586,7,242799549.3333333,219751817.66666663,43750503.333333336,19643006.666666668,1.95674
cholesky,potrf,16384,1024,0.293517,0.002335,0.002615,2.597815,0.164586,8,236300237.66666663,222661967.0,36976229.333333336,25034176.0,1.9488633333333332
cholesky,potrf,16384,1024,0.293517,0.002335,0.002615,2.597815,0.164586,9,244517989.66666663,220271327.0,44120992.0,19401741.33333333,1.97024
cholesky,potrf,16384,1024,0.293517,0.002335,0.002615,2.597815,0.164586,10,242827727.3333333,220145636.3333333,43607391.66666666,19610530.33333333,1.9484333333333328
cholesky,potrf,16384,1024,0.293517,0.002335,0.002615,2.597815,0.164586,11,241894868.0,216969151.0,43551511.0,19583505.666666668,1.9485033333333333
cholesky,potrf,16384,1024,0.293517,0.002335,0.002615,2.597815,0.164586,12,242279063.0,219769741.66666663,43736034.0,19979678.666666668,1.9576966666666669
cholesky,potrf,16384,1024,0.293517,0.002335,0.002615,2.597815,0.164586,13,243891892.3333333,219012663.66666663,43788814.66666666,19214081.666666668,1.9582766666666664
cholesky,potrf,16384,1024,0.293517,0.002335,0.002615,2.597815,0.164586,14,241813244.0,217967276.3333333,43290876.0,19383615.666666668,1.938586666666667
cholesky,potrf,16384,1024,0.293517,0.002335,0.002615,2.597815,0.164586,15,238324361.0,217481315.3333333,43292564.0,19254580.33333333,1.9373366666666667
cholesky,potrf,16384,1024,0.293517,0.002335,0.002615,2.597815,0.164586,16,245010074.3333333,219585172.0,43706862.333333336,19578691.33333333,1.9546766666666664
cholesky,trsm,16384,1024,0.313928,0.001416,0.002476,2.527275,1.777046,1,242252859.0,218900949.0,43461715.333333336,19905738.33333333,1.9439366666666664
cholesky,trsm,16384,1024,0.313928,0.001416,0.002476,2.527275,1.777046,2,242694528.3333333,220346644.66666663,43932027.0,19283395.666666668,1.9631166666666668
cholesky,trsm,16384,1024,0.313928,0.001416,0.002476,2.527275,1.777046,3,243680976.3333333,219481188.66666663,44033053.333333336,19445958.0,1.9673066666666668
cholesky,trsm,16384,1024,0.313928,0.001416,0.002476,2.527275,1.777046,4,243121264.66666663,219454211.3333333,44088031.0,19565466.666666668,1.9705566666666667
cholesky,trsm,16384,1024,0.313928,0.001416,0.002476,2.527275,1.777046,5,232532384.0,220544947.3333333,36103665.0,25206892.33333333,1.905063333333333
cholesky,trsm,16384,1024,0.313928,0.001416,0.002476,2.527275,1.777046,6,236132472.66666663,223319862.66666663,36811106.66666666,25195494.33333333,1.93883
cholesky,trsm,16384,1024,0.313928,0.001416,0.002476,2.527275,1.777046,7,242799549.3333333,219751817.66666663,43750503.333333336,19643006.666666668,1.95674
