algorithm, task, matrix_size, tile_size, mem_boundness, arithm_intensity, bmr, ilp, l3_cache_ratio
qr, geqrt, 16384, 1024, 0.716643, 0.000715, 0.004616, 0.472726, 0.299467
qr, ormqr, 16384, 1024, 0.496128, 0.002660, 0.004610, 1.942507, 5.239917
qr, tsqrt, 16384, 1024, 0.734876, 0.000823, 0.005535, 0.424119, 3.733933
qr, tsmqr, 16384, 1024, 0.251615, 0.002139, 0.006774, 2.931258, 70.980018
qr, geqrt, 16384, 2048, 0.806820, 0.052439, 0.004150, 0.323588, 75.977247
qr, ormqr, 16384, 2048, 0.576453, 0.005717, 0.003421, 1.656155, 20.411104
qr, tsqrt, 16384, 2048, 0.847991, 0.115210, 0.003371, 0.262916, 898.820331
qr, tsmqr, 16384, 2048, 0.231911, 0.003753, 0.002183, 3.025740, 110.629410
qr, geqrt, 32768, 1024, 0.717087, 0.000746, 0.004591, 0.472412, 0.624856
qr, ormqr, 32768, 1024, 0.494440, 0.002614, 0.004623, 1.949257, 21.284380
qr, tsqrt, 32768, 1024, 0.731783, 0.000728, 0.013161, 0.423553, 13.653377
qr, tsmqr, 32768, 1024, 0.250503, 0.002056, 0.006822, 2.935640, 573.166145
qr, geqrt, 32768, 2048, 0.809961, 0.054746, 0.004254, 0.319993, 158.640793
qr, ormqr, 32768, 2048, 0.598072, 0.006169, 0.003566, 1.573058, 94.395500
qr, tsqrt, 32768, 2048, 0.847246, 0.114688, 0.007901, 0.262383, 3834.620392
qr, tsmqr, 32768, 2048, 0.232370, 0.003820, 0.002364, 3.023343, 997.321323
