algorithm, matrix_size, tile_size, case, PKG1, PKG2, DRAM1, DRAM2, time
qr, 16384, 1024, 1, 4935048524, 4447827237, 808860143, 352080402, 38.183100
qr, 16384, 1024, 2, 5120469741, 4651961968, 829382231, 357136700, 39.256200
qr, 16384, 1024, 3, 4582356799, 4187221336, 725243715, 335939622, 34.774500
qr, 16384, 1024, 4, 5014300335, 4638156583, 812610571, 362966704, 38.268300
qr, 16384, 1024, 5, 5134835365, 4678160692, 832402650, 350944362, 39.116000
qr, 16384, 1024, 6, 4784048239, 4435820431, 770662071, 352401182, 36.293200
qr, 16384, 1024, 7, 5235265101, 4710394618, 832007619, 374050621, 39.563100
qr, 16384, 1024, 8, 4663418542, 4720069398, 486944853, 633093238, 36.600900
qr, 16384, 1024, 9, 5191496476, 4744328491, 838580867, 352416267, 39.652800
qr, 16384, 1024, 10, 5248931082, 4650287045, 835237327, 353758276, 39.516500
qr, 16384, 1024, 11, 5039131326, 4574205636, 806753103, 364689209, 38.191300
qr, 16384, 1024, 12, 5246297299, 4692753855, 813057789, 372043108, 39.267000
qr, 16384, 1024, 13, 5275921552, 4696807801, 839541064, 357160752, 39.647400
qr, 16384, 1024, 14, 4848103433, 4524171219, 770669936, 353647000, 36.977000
qr, 16384, 1024, 15, 4955095774, 4553879516, 802088868, 367327342, 38.134600
qr, 16384, 1024, 16, 4880310748, 4452366227, 781563520, 350409245, 36.955900
qr, 16384, 2048, 1, 16312973498, 15155942707, 2533528759, 912289336, 122.953000
qr, 16384, 2048, 2, 16433841963, 15027153730, 2516576039, 910337821, 121.836000
qr, 16384, 2048, 3, 16707669509, 15409094891, 2553840994, 932107886, 124.196000
qr, 16384, 2048, 4, 15890347809, 14626006197, 2438852467, 897767051, 117.977000
qr, 16384, 2048, 5, 17314287462, 15892659204, 2636392434, 962650219, 128.404000
qr, 16384, 2048, 6, 17044894292, 15433102886, 2600158132, 980795468, 125.706000
qr, 16384, 2048, 7, 16626044351, 15322061056, 2548026887, 946392057, 123.770000
qr, 16384, 2048, 8, 15965450340, 14615402282, 2464507063, 893902362, 118.654000
qr, 16384, 2048, 9, 16660585401, 15216635972, 2574687656, 950764139, 123.754000
qr, 16384, 2048, 10, 17757444104, 16237032713, 2707906425, 993515812, 131.594000
qr, 16384, 2048, 11, 16458225506, 15004204875, 2533076813, 915871372, 121.924000
qr, 16384, 2048, 12, 16477439568, 14890405850, 2511870706, 924008234, 121.395000
qr, 16384, 2048, 13, 16444921463, 15123641826, 2502135195, 925933417, 121.887000
qr, 16384, 2048, 14, 16540363602, 14939140101, 2539610310, 897238221, 121.772000
qr, 16384, 2048, 15, 17491806478, 15979954574, 2661098461, 995924951, 129.293000
qr, 16384, 2048, 16, 16295776093, 14880097160, 2493997736, 912957181, 120.589000
qr, 32768, 1024, 1, 31041110720, 27815131063, 5558949290, 2078178345, 252.877000
qr, 32768, 1024, 2, 30353070307, 27349124139, 5491658468, 2108492510, 248.869000
qr, 32768, 1024, 3, 30675564903, 27619247593, 5512351274, 2065963391, 249.785000
qr, 32768, 1024, 4, 30437420188, 27500467135, 5526884025, 2108025846, 251.694000
qr, 32768, 1024, 5, 30427967087, 27397165459, 5483668379, 2103737117, 248.687000
qr, 32768, 1024, 6, 30499908736, 27448366866, 5558498292, 2077687460, 252.202000
