algorithm, matrix_size, tile_size, case, PKG1, PKG2, DRAM1, DRAM2, time
cholesky, 16384, 1024, 1, 234396128, 218159903, 43121597, 19569358, 1.923350
cholesky, 16384, 1024, 2, 225875948, 230103537, 23382164, 36067149, 1.945720
cholesky, 16384, 1024, 3, 202219453, 181547509, 46026149, 19827453, 2.043200
cholesky, 16384, 1024, 4, 186754283, 190623291, 24298588, 37312386, 2.022530
cholesky, 16384, 1024, 5, 234253002, 211223764, 44517920, 19715106, 1.997190
cholesky, 16384, 1024, 6, 234979745, 210235424, 44593044, 19704151, 2.003160
cholesky, 16384, 1024, 7, 195906969, 173919476, 46028948, 20801681, 2.056910
cholesky, 16384, 1024, 8, 195706103, 175702736, 46158447, 20521905, 2.062930
cholesky, 16384, 1024, 9, 238131775, 215397947, 44626581, 19896166, 1.987640
cholesky, 16384, 1024, 10, 241031548, 213396426, 44341236, 19463543, 1.981500
cholesky, 16384, 1024, 11, 197894818, 176374793, 45795165, 21163236, 2.030150
cholesky, 16384, 1024, 12, 201406711, 178488923, 46651582, 20795530, 2.085740
cholesky, 16384, 1024, 13, 228542994, 203210051, 44237655, 20005025, 1.987510
cholesky, 16384, 1024, 14, 223139565, 199388467, 43243751, 19443424, 1.941720
cholesky, 16384, 1024, 15, 188877385, 169012812, 45463920, 20802798, 2.032440
cholesky, 16384, 1024, 16, 191347105, 171451404, 45994631, 20680505, 2.061950
cholesky, 16384, 2048, 1, 233851574, 218236135, 40186276, 18867899, 1.809740
cholesky, 16384, 2048, 2, 249475313, 228545130, 43263489, 19039274, 1.988090
cholesky, 16384, 2048, 3, 207590594, 189331180, 43080073, 19746226, 1.956880
cholesky, 16384, 2048, 4, 217788200, 193132196, 44981709, 19655665, 2.084250
cholesky, 16384, 2048, 5, 243414843, 224202307, 43322562, 19560500, 2.021600
cholesky, 16384, 2048, 6, 247187843, 229101159, 44572435, 20825167, 2.118120
cholesky, 16384, 2048, 7, 208675247, 189120549, 44879230, 20179307, 2.097330
cholesky, 16384, 2048, 8, 212017401, 193026606, 45667502, 20830246, 2.173600
cholesky, 16384, 2048, 9, 218480581, 206960835, 38944620, 19417689, 1.766880
cholesky, 16384, 2048, 10, 233444166, 216286861, 41719275, 19987782, 1.925140
cholesky, 16384, 2048, 11, 204054531, 186377758, 44581018, 19934232, 2.033980
cholesky, 16384, 2048, 12, 199635720, 180925135, 42786327, 19491924, 1.978840
cholesky, 16384, 2048, 13, 227981106, 214312318, 43066241, 19789938, 2.020550
cholesky, 16384, 2048, 14, 238283264, 216771784, 44835854, 19621133, 2.131220
cholesky, 16384, 2048, 15, 212152289, 191578245, 48552882, 19081915, 2.273520
cholesky, 16384, 2048, 16, 203089202, 184545426, 45286898, 21707610, 2.158660
