algorithm,matrix_size,tile_size,case,PKG1,PKG2,DRAM1,DRAM2,time
cholesky,28672,512,1,1545381297,1453750124,175097958,84679089,11.301600
cholesky,28672,512,2,1586064116,1485888713,178254395,87832664,11.754500
cholesky,28672,512,3,1588842856,1340156115,249177070,153275461,20.890100
cholesky,28672,512,4,1587230922,1344330665,247486236,153519603,20.954200
cholesky,28672,512,5,1576079278,1450824899,174610302,88165317,11.778200
cholesky,28672,512,6,1568629651,1452192022,172324237,88117642,11.779500
cholesky,28672,512,7,1619713627,1360125790,253626035,159065425,21.735600
cholesky,28672,512,8,1618562629,1376426713,259329798,160573393,21.956700
cholesky,28672,512,9,1562360258,1439462380,170834858,87151615,11.642700
cholesky,28672,512,10,1561661774,1439029153,175144517,87429433,11.673000
cholesky,28672,512,11,1585412384,1338473624,250759472,155291038,21.116200
cholesky,28672,512,12,1592238172,1361019038,251655181,158231636,21.560200
cholesky,28672,512,13,1587702662,1419199675,178336020,91444826,12.225800
cholesky,28672,512,14,1595472234,1445527671,179385753,93431454,12.405600
cholesky,28672,512,15,1610093900,1360924800,258141646,161183480,21.925400
cholesky,28672,512,16,1616138990,1370194917,261499644,162396648,22.099200
cholesky,28672,1024,1,1462390361,1401569349,171313320,95152260,10.678600
cholesky,28672,1024,2,1471896257,1405716250,169484878,95788129,10.768700
cholesky,28672,1024,3,1524506290,1302237877,247405590,160213323,19.610600
cholesky,28672,1024,4,1545297923,1307243174,248982148,160604881,19.643800
cholesky,28672,1024,5,1493898519,1376724502,173968482,100209339,11.388300
cholesky,28672,1024,6,1489362276,1375522663,174277083,100497377,11.430900
cholesky,28672,1024,7,1538231475,1302520713,252805939,164541004,20.186000
cholesky,28672,1024,8,1539193265,1302536522,254667949,164753506,20.219700
cholesky,28672,1024,9,1490380279,1368811620,174920632,100380133,11.389300
cholesky,28672,1024,10,1496949964,1386001579,177413690,100866703,11.433900
cholesky,28672,1024,11,1547612859,1311096680,252059682,164369339,20.207900
cholesky,28672,1024,12,1539584255,1313284480,253429261,165169161,20.254700
cholesky,28672,1024,13,1492911522,1350257774,180138146,105229636,12.074700
cholesky,28672,1024,14,1503709407,1363977709,181053973,106107459,12.175600
cholesky,28672,1024,15,1546191781,1303221579,257285565,167948314,20.796700
cholesky,28672,1024,16,1555246812,1309492497,260031961,168528995,20.802600
cholesky,28672,2048,1,1437341169,1396513392,167839731,91808201,10.578200
cholesky,28672,2048,2,1449161391,1400024248,173362770,89561013,10.725000
cholesky,28672,2048,3,1522095895,1315371449,240020402,150774095,18.691600
cholesky,28672,2048,4,1538815396,1316221057,243435654,152188472,18.846400
cholesky,28672,2048,5,1479459286,1376378373,181587132,100157900,11.888100
cholesky,28672,2048,6,1445661277,1420286525,107841974,173886688,11.956100
cholesky,28672,2048,7,1535354101,1314619132,252466172,157401550,19.902700
cholesky,28672,2048,8,1533984110,1314648856,251110042,158520164,19.900400
cholesky,28672,2048,9,1512611850,1328018695,184748877,97589336,11.988700
cholesky,28672,2048,10,1496456069,1391231241,185132876,99763665,12.110500
cholesky,28672,2048,11,1523822454,1304172748,249263208,156027717,19.629800
cholesky,28672,2048,12,1520056656,1303473714,250480217,157550832,19.683100
cholesky,28672,2048,13,1481037529,1396530300,190674062,108152854,13.044000
cholesky,28672,2048,14,1527284237,1352867081,192104291,107138617,13.064200
cholesky,28672,2048,15,1546678841,1309518864,261465755,165521994,20.968600
cholesky,28672,2048,16,1561776337,1320396888,259339146,167610965,21.035500
