algorithm, matrix_size, tile_size, case, PKG1, PKG2, DRAM1, DRAM2, time
cholesky, 32768, 512, 1, 2313497557, 2315467095, 129519426, 265044531, 17.086000
cholesky, 32768, 512, 2, 2328050376, 2320727518, 134841516, 273306792, 17.777800
cholesky, 32768, 512, 3, 2175240098, 2204049717, 235398287, 376375716, 31.750300
cholesky, 32768, 512, 4, 2178419655, 2221601125, 236141134, 381932126, 31.805800
cholesky, 32768, 512, 5, 2321272256, 2357516914, 133980539, 278242112, 17.673100
cholesky, 32768, 512, 6, 2309656562, 2313249266, 136568932, 277116110, 17.915900
cholesky, 32768, 512, 7, 2173118643, 2216359072, 239312594, 393867930, 32.138100
cholesky, 32768, 512, 8, 2200096236, 2227340306, 241177832, 394332346, 32.449600
cholesky, 32768, 512, 9, 2278634120, 2309292245, 130931984, 267615911, 17.233400
cholesky, 32768, 512, 10, 2363593437, 2362996575, 139105718, 277815212, 18.377500
cholesky, 32768, 512, 11, 2131274757, 2177035198, 232798098, 375672100, 31.334900
cholesky, 32768, 512, 12, 2179678808, 2195892145, 238242359, 376929071, 32.055300
cholesky, 32768, 512, 13, 2265689268, 2324701019, 136547221, 271494568, 17.967300
cholesky, 32768, 512, 14, 2264328798, 2283770582, 135467225, 277766420, 17.853000
cholesky, 32768, 512, 15, 2145982543, 2190758735, 237804029, 388452695, 31.923500
cholesky, 32768, 512, 16, 2193811889, 2233090291, 244411640, 392210390, 32.814700
cholesky, 32768, 1024, 1, 2184626243, 2182524198, 145132755, 257424428, 15.961500
cholesky, 32768, 1024, 2, 2154510658, 2146627073, 147733557, 263435630, 16.305400
cholesky, 32768, 1024, 3, 2108317967, 2119523810, 243877212, 368661930, 29.392100
cholesky, 32768, 1024, 4, 2105988689, 2121576844, 243889222, 366153771, 29.395900
cholesky, 32768, 1024, 5, 2178441017, 2192635622, 150782295, 259955951, 16.778000
cholesky, 32768, 1024, 6, 2162467426, 2167020514, 151746945, 263480000, 16.931100
cholesky, 32768, 1024, 7, 2100722161, 2124058100, 249895221, 376293493, 30.175700
cholesky, 32768, 1024, 8, 2103884385, 2115483964, 249642833, 375861345, 30.175500
cholesky, 32768, 1024, 9, 2223456283, 2138029072, 251684571, 155469986, 16.859700
cholesky, 32768, 1024, 10, 2165734629, 2176631574, 152829191, 259710324, 17.009400
cholesky, 32768, 1024, 11, 2097375002, 2118930489, 249575160, 375292461, 30.138900
cholesky, 32768, 1024, 12, 2100438898, 2110520659, 249547207, 375757535, 30.160800
cholesky, 32768, 1024, 13, 2171612971, 2189022533, 157486802, 265723423, 17.704100
cholesky, 32768, 1024, 14, 2186454058, 2189304210, 158003636, 268200983, 17.786300
cholesky, 32768, 1024, 15, 2092747389, 2118385202, 255297223, 383566502, 30.926000
cholesky, 32768, 1024, 16, 2108526096, 2125868275, 255043136, 386130659, 30.913900
cholesky, 32768, 2048, 1, 2142930794, 2141028089, 137969785, 258741865, 15.712200
cholesky, 32768, 2048, 2, 2121965332, 2113174156, 137883294, 264084962, 16.115500
cholesky, 32768, 2048, 3, 2088154201, 2122300231, 231222902, 364576447, 28.037900
cholesky, 32768, 2048, 4, 2113468467, 2109012850, 228175219, 368636533, 28.227700
cholesky, 32768, 2048, 5, 2151930709, 2170999691, 147104115, 271287696, 17.260800
cholesky, 32768, 2048, 6, 2160493248, 2067364825, 261493983, 153045854, 17.198900
cholesky, 32768, 2048, 7, 2090067647, 2114344380, 242374797, 374753319, 29.589500
cholesky, 32768, 2048, 8, 2110568145, 2118893319, 241653678, 376379664, 29.686500
cholesky, 32768, 2048, 9, 2147159054, 2177204448, 150494763, 273404452, 17.435600
cholesky, 32768, 2048, 10, 2135621730, 2148691521, 148220097, 269702464, 17.251500
cholesky, 32768, 2048, 11, 2084003515, 2095902227, 243904751, 373909479, 29.616500
cholesky, 32768, 2048, 12, 2084430943, 2101054496, 243434980, 375580958, 29.756500
cholesky, 32768, 2048, 13, 2126158619, 2147002805, 160061685, 281705145, 18.617900
cholesky, 32768, 2048, 14, 2129573345, 2178083169, 159180833, 284779680, 18.903100
cholesky, 32768, 2048, 15, 2082378825, 2110389006, 249964592, 386778324, 30.879700
cholesky, 32768, 2048, 16, 2095030770, 2109630708, 249410073, 391099151, 31.040400
