algorithm,matrix_size,tile_size,case,PKG1,PKG2,DRAM1,DRAM2,time
cholesky,32768,512,1,2289593565.0,2292045890.0,128060704.0,263717185.0,16.8496
cholesky,32768,512,2,2284843414.3333335,2277697070.0,132389115.0,271793948.3333333,17.398666666666667
cholesky,32768,512,3,2201267822.6666665,2165982167.0,279326979.0,331510113.3333333,31.493166666666667
cholesky,32768,512,4,2197996692.6666665,2170541603.6666665,280876410.6666667,336053484.0,31.484800000000003
cholesky,32768,512,5,2299589084.0,2340761280.6666665,132908504.0,271813358.3333333,17.5275
cholesky,32768,512,6,2286446132.0,2289826433.6666665,134637353.33333334,272478454.6666667,17.716733333333334
cholesky,32768,512,7,2202921016.3333335,2252549775.3333335,243644136.33333334,392794053.6666667,32.7903
cholesky,32768,512,8,2179944899.6666665,2217175130.3333335,239217703.0,391676496.0,32.169466666666665
cholesky,32768,512,9,2297936296.3333335,2334305039.0,132473489.33333333,271276145.6666667,17.474433333333334
cholesky,32768,512,10,2317269987.6666665,2318898014.3333335,136017989.33333334,274289164.0,17.950566666666667
cholesky,32768,512,11,2145969421.0,2191778141.0,234914970.66666666,380684165.3333333,31.597233333333335
cholesky,32768,512,12,2161273398.0,2195184098.0,236714924.0,378335309.3333333,31.81116666666667
cholesky,32768,512,13,2291669039.6666665,2354186925.6666665,138520253.0,273728648.6666667,18.233500000000003
cholesky,32768,512,14,2276429210.6666665,2304935933.3333335,136782122.33333334,277272210.0,18.012433333333334
cholesky,32768,512,15,2148971203.6666665,2193507446.3333335,238029005.66666666,386774947.3333333,31.969033333333332
cholesky,32768,512,16,2195922377.0,2228180107.0,244134343.0,391410143.6666667,32.8038
cholesky,32768,1024,1,2188420789.3333335,2186280312.3333335,145466871.33333334,257867107.66666666,15.989566666666667
cholesky,32768,1024,2,2152554303.6666665,2144110355.3333333,147455688.33333334,259145667.66666666,16.284633333333332
cholesky,32768,1024,3,2104835656.0,2117242810.0,244036836.0,367585284.3333333,29.41003333333333
cholesky,32768,1024,4,2136800112.6666667,2094098460.0,281565089.6666667,329607389.6666667,29.429066666666667
cholesky,32768,1024,5,2183829370.0,2199998559.0,151105824.0,262949926.0,16.796
cholesky,32768,1024,6,2164092401.3333335,2166103646.3333335,151939128.66666666,262972641.33333334,16.9338
cholesky,32768,1024,7,2100352289.0,2121371075.0,249711437.66666666,374783648.3333333,30.16626666666667
cholesky,32768,1024,8,2105996704.0,2121733195.3333333,249893947.0,374676666.3333333,30.215999999999998
cholesky,32768,1024,9,2199288112.0,2179592300.0,184774463.66666666,225561326.0,16.8491
cholesky,32768,1024,10,2168019820.0,2161736714.3333335,186906784.0,224579821.0,16.972033333333332
cholesky,32768,1024,11,2092705234.3333333,2118621102.6666667,249835061.33333334,375322877.0,30.189166666666665
cholesky,32768,1024,12,2105584636.6666667,2118541268.0,249801962.66666666,376119839.0,30.1745
cholesky,32768,1024,13,2174371020.6666665,2188454460.0,157544829.33333334,266623685.66666666,17.7071
cholesky,32768,1024,14,2192193403.3333335,2191166347.0,158604558.66666666,269406587.3333333,17.82903333333333
cholesky,32768,1024,15,2093465242.3333333,2121195253.6666667,255162302.66666666,381125300.0,30.926133333333336
cholesky,32768,1024,16,2106161926.0,2121996459.6666667,255571924.33333334,384407680.3333333,30.9631
cholesky,32768,2048,1,2133648936.6666667,2130029765.0,138063869.66666666,256922649.33333334,15.648266666666666
cholesky,32768,2048,2,2131384578.6666667,2124683749.3333333,179416827.0,223287593.33333334,16.200833333333332
cholesky,32768,2048,3,2092437738.6666667,2118097320.3333333,230024871.0,363850768.3333333,28.036766666666665
cholesky,32768,2048,4,2112008306.3333333,2112827110.3333333,230843370.33333334,365835898.3333333,28.206466666666667
cholesky,32768,2048,5,2137708353.6666667,2163071285.3333335,148625164.33333334,269393551.3333333,17.25
cholesky,32768,2048,6,2146037800.0,2122244099.0,186075993.66666666,231125487.33333334,17.225399999999997
cholesky,32768,2048,7,2090998126.0,2104934471.6666667,242167053.33333334,374761902.3333333,29.576633333333334
cholesky,32768,2048,8,2092421910.3333333,2108796644.3333333,240905711.33333334,376888143.6666667,29.650133333333333
cholesky,32768,2048,9,2127123603.3333333,2161891499.3333335,149054283.0,271394623.3333333,17.2813
cholesky,32768,2048,10,2145919433.3333333,2159421718.3333335,150053546.33333334,271034451.0,17.3822
cholesky,32768,2048,11,2088633650.3333333,2110411202.6666667,242615175.33333334,376736719.6666667,29.646933333333333
cholesky,32768,2048,12,2085168592.0,2102473458.6666667,242819379.33333334,375645472.6666667,29.7313
cholesky,32768,2048,13,2123341630.0,2170868690.0,157454258.66666666,283643124.6666667,18.665966666666666
cholesky,32768,2048,14,2130522398.6666667,2159487635.6666665,159690185.33333334,282892889.0,18.768199999999997
cholesky,32768,2048,15,2077472078.3333333,2105433453.0,250801511.66666666,385678274.0,30.87506666666667
cholesky,32768,2048,16,2085402885.3333333,2101440930.0,251534049.66666666,387757335.0,30.990066666666667
