algorithm, matrix_size, tile_size, case, PKG1, PKG2, DRAM1, DRAM2, time
cholesky, 16384, 512, 1, 287553158, 288185724, 16952706, 33326781, 2.144780
cholesky, 16384, 512, 2, 284649540, 285883545, 16739807, 32900355, 2.119170
cholesky, 16384, 512, 3, 273524019, 277288475, 29545401, 46618197, 3.857050
cholesky, 16384, 512, 4, 273487520, 277477500, 29565552, 47079538, 3.855990
cholesky, 16384, 512, 5, 275435147, 281774975, 18296260, 33735765, 2.334100
cholesky, 16384, 512, 6, 274317168, 282893502, 18308332, 33828698, 2.335890
cholesky, 16384, 512, 7, 286261962, 264770563, 46422312, 31174653, 3.967040
cholesky, 16384, 512, 8, 274063324, 278592121, 30579712, 48121484, 3.983900
cholesky, 16384, 512, 9, 276308008, 286832213, 18315600, 33939423, 2.335120
cholesky, 16384, 512, 10, 276215296, 284069402, 18070294, 34012481, 2.313800
cholesky, 16384, 512, 11, 273098544, 278184285, 30353716, 47866999, 3.947410
cholesky, 16384, 512, 12, 273759675, 278116720, 30282556, 48227605, 3.948970
cholesky, 16384, 512, 13, 269056867, 282433908, 19489248, 35892331, 2.494870
cholesky, 16384, 512, 14, 271000893, 279947587, 19501104, 35719441, 2.483610
cholesky, 16384, 512, 15, 272845188, 276519495, 31004425, 48332425, 4.037000
cholesky, 16384, 512, 16, 273746308, 277609702, 31015915, 48494360, 4.049130
cholesky, 16384, 1024, 1, 283728461, 283700323, 19652773, 35096823, 2.102320
cholesky, 16384, 1024, 2, 278851887, 279003619, 19413114, 34147948, 2.086470
cholesky, 16384, 1024, 3, 273782197, 276808313, 31481341, 48257149, 3.635820
cholesky, 16384, 1024, 4, 281193555, 277895650, 31578282, 49536626, 3.724920
cholesky, 16384, 1024, 5, 273974030, 278957294, 20922077, 37332734, 2.359060
cholesky, 16384, 1024, 6, 278424153, 278578632, 21089811, 37418124, 2.378950
cholesky, 16384, 1024, 7, 270462991, 273153354, 32461322, 50055434, 3.820180
cholesky, 16384, 1024, 8, 271726355, 274853300, 32285678, 50450404, 3.839830
cholesky, 16384, 1024, 9, 271693335, 276658532, 21238971, 36561201, 2.351550
cholesky, 16384, 1024, 10, 270863503, 282318308, 21022368, 37306480, 2.378020
cholesky, 16384, 1024, 11, 272470310, 274345734, 32515820, 49920855, 3.830270
cholesky, 16384, 1024, 12, 272349889, 275635464, 32223652, 50582274, 3.832700
cholesky, 16384, 1024, 13, 261720643, 280483718, 22536594, 38387057, 2.555750
cholesky, 16384, 1024, 14, 269547345, 274448516, 23210191, 38760041, 2.610810
cholesky, 16384, 1024, 15, 284651432, 264278376, 50495508, 34238356, 4.023960
cholesky, 16384, 1024, 16, 272092931, 276945213, 33886440, 51983036, 4.040360
cholesky, 16384, 2048, 1, 295987462, 307835882, 20773896, 36172964, 2.335810
cholesky, 16384, 2048, 2, 291372484, 312353082, 21539952, 35926986, 2.384280
cholesky, 16384, 2048, 3, 314250172, 302340779, 33659021, 48205649, 3.834410
cholesky, 16384, 2048, 4, 308784000, 316110763, 33544271, 49847170, 3.924550
cholesky, 16384, 2048, 5, 288830437, 309071108, 24248955, 39123799, 2.741390
cholesky, 16384, 2048, 6, 310827512, 310230468, 25359811, 41097192, 2.875650
cholesky, 16384, 2048, 7, 296465550, 306004892, 34602526, 51566217, 4.143450
cholesky, 16384, 2048, 8, 304721998, 309799012, 36571758, 51688372, 4.255270
cholesky, 16384, 2048, 9, 279754655, 308884707, 23600801, 38384870, 2.725580
cholesky, 16384, 2048, 10, 291338426, 305171887, 23099282, 39726313, 2.775750
cholesky, 16384, 2048, 11, 317851298, 315009386, 37361238, 53535449, 4.379410
cholesky, 16384, 2048, 12, 329883494, 316457320, 38780910, 54089371, 4.509090
cholesky, 16384, 2048, 13, 285949524, 314054921, 27383114, 42569144, 3.140130
cholesky, 16384, 2048, 14, 291523546, 315232958, 27414723, 43392591, 3.231420
cholesky, 16384, 2048, 15, 294134745, 305581920, 36534181, 53563785, 4.460260
cholesky, 16384, 2048, 16, 330161997, 332328007, 42742110, 58700760, 5.094950
