algorithm,matrix_size,tile_size,case,PKG1,PKG2,DRAM1,DRAM2,time
cholesky,16384,512,1,286741331.3333333,287674393.6666667,16924084.666666668,33006644.0,2.14426
cholesky,16384,512,2,286096741.0,287081866.0,16782483.333333332,33151228.666666668,2.12815
cholesky,16384,512,3,273960175.0,276063013.6666667,29510262.0,46693198.0,3.84737
cholesky,16384,512,4,273604910.6666667,276856469.0,29525155.0,46904618.0,3.851596666666667
cholesky,16384,512,5,280434625.3333333,276962243.0,23344745.0,28886583.333333332,2.3385233333333333
cholesky,16384,512,6,281011324.6666667,277292889.3333333,23389808.666666668,29048304.666666668,2.3425733333333336
cholesky,16384,512,7,278154012.3333333,273777477.3333333,35846064.0,42459825.333333336,3.97414
cholesky,16384,512,8,273352592.3333333,277930013.6666667,30528921.333333332,48117765.666666664,3.97557
cholesky,16384,512,9,275002022.3333333,285810629.3333333,18170295.333333332,34175722.0,2.3245766666666667
cholesky,16384,512,10,275971563.0,285358359.6666667,18114644.0,34031167.666666664,2.320413333333333
cholesky,16384,512,11,273213961.0,277175824.3333333,30307219.0,47383845.333333336,3.94699
cholesky,16384,512,12,273789785.6666667,278314555.0,30434531.0,47800490.0,3.9625299999999997
cholesky,16384,512,13,268279301.66666666,281617056.6666667,19525880.666666668,35767993.333333336,2.488916666666667
cholesky,16384,512,14,270742063.6666667,279306291.6666667,19398329.0,35319346.0,2.47937
cholesky,16384,512,15,273392061.6666667,277825298.0,31113264.0,48602668.666666664,4.050306666666667
cholesky,16384,512,16,273156608.6666667,277492636.6666667,31081705.333333332,48527816.0,4.04681
cholesky,16384,1024,1,282295155.6666667,282351368.3333333,19276760.666666668,34942976.333333336,2.0886666666666667
cholesky,16384,1024,2,280259170.3333333,281270256.0,19327332.0,34618356.666666664,2.096643333333333
cholesky,16384,1024,3,277331911.3333333,274019664.3333333,36278722.333333336,43720383.0,3.6537366666666666
cholesky,16384,1024,4,277383405.0,277297548.3333333,31248255.666666668,49313537.0,3.6948933333333334
cholesky,16384,1024,5,273926931.0,278495767.6666667,21166627.0,37032553.333333336,2.3583933333333333
cholesky,16384,1024,6,273740225.3333333,280884819.3333333,21155045.0,37169009.0,2.3753766666666665
cholesky,16384,1024,7,271187253.3333333,272787428.6666667,32293444.666666668,50171704.0,3.8240166666666666
cholesky,16384,1024,8,272523207.6666667,275135973.3333333,32486735.0,50387500.333333336,3.83892
cholesky,16384,1024,9,278548115.0,272738010.3333333,25951931.333333332,31695056.666666668,2.365013333333333
cholesky,16384,1024,10,269002505.3333333,282318064.0,21014254.333333332,37472561.666666664,2.37794
cholesky,16384,1024,11,272602898.6666667,274680551.0,32464585.666666668,50113987.333333336,3.8296033333333335
cholesky,16384,1024,12,278669005.3333333,273391390.0,38094266.666666664,44986626.0,3.8810300000000004
cholesky,16384,1024,13,269099897.0,275979335.0,22860928.666666668,38965183.0,2.5800066666666663
cholesky,16384,1024,14,268551009.3333333,278427245.3333333,22849764.333333332,39240756.333333336,2.59562
cholesky,16384,1024,15,277197817.3333333,272759006.3333333,39496440.0,46049466.333333336,4.035823333333333
cholesky,16384,1024,16,272330052.3333333,275748744.6666667,33829468.0,51937564.0,4.03128
cholesky,16384,2048,1,294962888.0,307120470.3333333,20767098.333333332,35946299.0,2.3296833333333336
cholesky,16384,2048,2,298778288.0,312131403.0,21794069.666666668,36372501.333333336,2.4091299999999998
cholesky,16384,2048,3,308838626.0,307600897.3333333,33014013.333333332,48784116.666666664,3.8372433333333333
cholesky,16384,2048,4,317181317.3333333,320535495.3333333,34693637.666666664,50723192.333333336,4.024213333333333
cholesky,16384,2048,5,307564398.3333333,316596052.3333333,25983612.666666668,40241432.666666664,2.9020499999999996
cholesky,16384,2048,6,319429134.0,322918118.6666667,27183194.0,41976702.333333336,3.0198
cholesky,16384,2048,7,298009450.6666667,304881543.6666667,34778669.666666664,51599188.666666664,4.144803333333333
cholesky,16384,2048,8,301296978.0,310341674.0,35634240.666666664,52301341.333333336,4.2496
cholesky,16384,2048,9,284531010.0,311580501.0,24017690.333333332,39077674.0,2.7722866666666666
cholesky,16384,2048,10,285404298.0,307651149.3333333,23575602.0,39538954.0,2.7697766666666666
cholesky,16384,2048,11,307203640.6666667,307157599.6666667,35702289.666666664,52196842.333333336,4.216986666666667
cholesky,16384,2048,12,314104338.6666667,311064959.0,36863677.0,52905645.666666664,4.32172
cholesky,16384,2048,13,289072990.3333333,306677580.0,27238549.0,42194773.666666664,3.117546666666667
cholesky,16384,2048,14,295829280.0,312083490.6666667,27788007.666666668,43450128.666666664,3.221353333333333
cholesky,16384,2048,15,292682519.0,305749807.6666667,36391304.666666664,53809171.666666664,4.450093333333333
cholesky,16384,2048,16,308518070.3333333,317747538.6666667,38882894.333333336,56165779.666666664,4.72882
