algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_RES_STL,PAPI_TOT_CYC,PAPI_BR_MSP,
dcesca,laset,10000,500,31457280,1200000,1620,902,11287234,264983,5515492,2567,
dcesca,gesum,10000,500,31457280,1200000,400,887875,502960868,215595924,319332589,202446,
dcesca,gessq,10000,500,31457280,1200000,400,86421,1703764589,447182291,897347756,202069,
dcesca,geadd,10000,500,31457280,1200000,380,3193,3782141,145041,1164858,404,
dcesca,cesca,10000,500,31457280,1200000,400,576401,2305416695,959487898,1413987414,201300,
dcesca,plssq,10000,500,31457280,1200000,380,5975,6230482,624911,2504035,781,
dcesca,plssq2,10000,500,31457280,1200000,20,27,117620,112558,153445,23,
dcesca,laset,10000,500,31457280,2301000,1620,1112,11287231,282335,5605042,2235,
dcesca,gesum,10000,500,31457280,2301000,400,1316670,502960831,271446653,375259693,203261,
dcesca,gessq,10000,500,31457280,2301000,400,95381,1703764480,455419498,908866172,202097,
dcesca,geadd,10000,500,31457280,2301000,380,3800,3782140,434433,1456244,412,
dcesca,cesca,10000,500,31457280,2301000,400,620582,2305416516,1001578366,1456249009,201321,
dcesca,plssq,10000,500,31457280,2301000,380,7552,6230480,1110754,3016575,778,
dcesca,plssq2,10000,500,31457280,2301000,20,99,117620,111860,156051,28,
dcesca,laset,10000,600,31457280,1200000,1173,808,9483589,219124,4541386,1979,
dcesca,gesum,10000,600,31457280,1200000,289,828554,502496244,215245589,318311966,171783,
dcesca,gessq,10000,600,31457280,1200000,289,108931,1703178989,446635391,899633091,171795,
dcesca,geadd,10000,600,31457280,1200000,272,3275,3163216,151258,985720,292,
dcesca,cesca,10000,600,31457280,1200000,289,530883,2304576646,958834652,1412669760,170814,
dcesca,plssq,10000,600,31457280,1200000,272,4044,5227712,492547,2057975,579,
dcesca,plssq2,10000,600,31457280,1200000,17,20,116477,112426,152017,30,
dcesca,laset,10000,600,31457280,2301000,1173,1034,9483587,245016,4558276,2129,
dcesca,gesum,10000,600,31457280,2301000,289,1233846,502496217,268214347,371428027,171869,
dcesca,gessq,10000,600,31457280,2301000,289,120088,1703178851,460852364,913878708,171377,
dcesca,geadd,10000,600,31457280,2301000,272,3763,3163216,426914,1267515,556,
dcesca,cesca,10000,600,31457280,2301000,289,564766,2304576467,997251976,1451158907,170926,
dcesca,plssq,10000,600,31457280,2301000,272,5711,5227712,896609,2474033,580,
dcesca,plssq2,10000,600,31457280,2301000,17,13,116477,112526,152910,29,
dcesca,laset,10000,700,31457280,1200000,915,989,8302923,196064,3826839,1345,
dcesca,gesum,10000,700,31457280,1200000,225,785544,502190515,215552215,318376921,151648,
dcesca,gessq,10000,700,31457280,1200000,225,131492,1702792668,449033912,901759848,151323,
dcesca,geadd,10000,700,31457280,1200000,210,2747,2755130,126503,837970,231,
dcesca,cesca,10000,700,31457280,1200000,225,509577,2304022020,958606754,1412059039,150919,
dcesca,plssq,10000,700,31457280,1200000,210,3354,4563160,431586,1761504,454,
dcesca,plssq2,10000,700,31457280,1200000,15,44,115715,112617,150283,31,
dcesca,laset,10000,700,31457280,2301000,915,872,8302924,216091,3858954,1375,
dcesca,gesum,10000,700,31457280,2301000,225,1157612,502190482,265620560,368476825,151583,
dcesca,gessq,10000,700,31457280,2301000,225,144578,1702792555,466891028,918871405,151169,
dcesca,geadd,10000,700,31457280,2301000,210,3600,2755130,403339,1114409,236,
dcesca,cesca,10000,700,31457280,2301000,225,538109,2304021842,994953749,1448429166,150773,
dcesca,plssq,10000,700,31457280,2301000,210,3845,4563160,689951,2043040,446,
dcesca,plssq2,10000,700,31457280,2301000,15,1,115715,112831,148965,20,
dcesca,laset,10000,800,31457280,1200000,689,837,7139681,158327,3271383,1123,
dcesca,gesum,10000,800,31457280,1200000,169,755012,501888009,215572336,317927207,130856,
dcesca,gessq,10000,800,31457280,1200000,169,161278,1702409639,452028775,904308130,130890,
dcesca,geadd,10000,800,31457280,1200000,156,2138,2350668,99181,689696,171,
dcesca,cesca,10000,800,31457280,1200000,169,496353,2303471729,958205261,1411166670,130592,
dcesca,plssq,10000,800,31457280,1200000,156,2522,3901776,359565,1504875,326,
dcesca,plssq2,10000,800,31457280,1200000,13,66,114953,112689,148975,15,
dcesca,laset,10000,800,31457280,2301000,689,787,7139680,169617,3302833,1127,
dcesca,gesum,10000,800,31457280,2301000,169,1098793,501887960,262854904,365293376,130886,
dcesca,gessq,10000,800,31457280,2301000,169,175087,1702409550,472476317,924861823,130851,
dcesca,geadd,10000,800,31457280,2301000,156,2429,2350668,282124,875256,175,
dcesca,cesca,10000,800,31457280,2301000,169,516618,2303471547,993198894,1446313166,130629,
dcesca,plssq,10000,800,31457280,2301000,156,2795,3901776,571500,1671523,340,
dcesca,plssq2,10000,800,31457280,2301000,13,15,114953,113127,147957,20,
dcesca,laset,10000,900,31457280,1200000,588,729,6564589,148383,2996563,1137,
dcesca,gesum,10000,900,31457280,1200000,144,739651,501737954,216100366,318312867,120975,
dcesca,gessq,10000,900,31457280,1200000,144,189139,1702219377,454098987,906261339,120758,
dcesca,geadd,10000,900,31457280,1200000,132,2015,2149796,89268,623277,148,
dcesca,cesca,10000,900,31457280,1200000,144,493917,2303198198,958246892,1410947228,120351,
dcesca,plssq,10000,900,31457280,1200000,132,2441,3572272,329923,1371017,288,
dcesca,plssq2,10000,900,31457280,1200000,12,18,114573,112820,149067,21,
dcesca,laset,10000,900,31457280,2301000,588,808,6564588,179534,2988127,868,
dcesca,gesum,10000,900,31457280,2301000,144,1056514,501737925,261166381,363461164,120815,
dcesca,gessq,10000,900,31457280,2301000,144,201998,1702219259,479120438,930071537,120594,
dcesca,geadd,10000,900,31457280,2301000,132,2654,2149796,294821,833058,147,
dcesca,cesca,10000,900,31457280,2301000,144,514429,2303198020,993040835,1445807111,120426,
dcesca,plssq,10000,900,31457280,2301000,132,2998,3572272,529777,1573469,278,
dcesca,plssq2,10000,900,31457280,2301000,12,14,114572,113150,148795,17,
dcesca,laset,10000,1000,31457280,1200000,410,616,5427470,124489,2408732,790,
dcesca,gesum,10000,1000,31457280,1200000,100,713761,501440268,216259687,318034552,100880,
dcesca,gessq,10000,1000,31457280,1200000,100,230651,1701841290,457829155,909635227,100476,
dcesca,geadd,10000,1000,31457280,1200000,90,1866,1750770,79644,504506,104,
dcesca,cesca,10000,1000,31457280,1200000,100,482023,2302654397,957968561,1410224659,100250,
dcesca,plssq,10000,1000,31457280,1200000,90,2267,2915641,281332,1110410,203,
dcesca,plssq2,10000,1000,31457280,1200000,10,20,113810,113194,147012,16,
dcesca,laset,10000,1000,31457280,2301000,410,683,5427469,116849,2512263,775,
dcesca,gesum,10000,1000,31457280,2301000,100,967560,501440229,256775687,358600096,100750,
dcesca,gessq,10000,1000,31457280,2301000,100,243936,1701841185,486728456,938566175,100567,
dcesca,geadd,10000,1000,31457280,2301000,90,2249,1750770,235362,663708,101,
dcesca,cesca,10000,1000,31457280,2301000,100,501597,2302654217,991837094,1444152937,100346,
dcesca,plssq,10000,1000,31457280,2301000,90,1983,2915640,412019,1214899,203,
dcesca,plssq2,10000,1000,31457280,2301000,10,16,113810,113156,149293,14,
dcesca,laset,10000,1100,31457280,1200000,410,525,5427471,124869,2384044,643,
dcesca,gesum,10000,1100,31457280,1200000,100,714651,501440270,216480467,318315078,100763,
dcesca,gessq,10000,1100,31457280,1200000,100,248819,1701841284,458960097,910765734,100578,
dcesca,geadd,10000,1100,31457280,1200000,90,1913,1750771,82633,510526,103,
dcesca,cesca,10000,1100,31457280,1200000,100,477113,2302654395,957857114,1410123054,100313,
dcesca,plssq,10000,1100,31457280,1200000,90,2342,2915641,284339,1116385,205,
dcesca,plssq2,10000,1100,31457280,1200000,10,12,113810,113236,146703,14,
dcesca,laset,10000,1100,31457280,2301000,410,628,5427471,129856,2423558,718,
dcesca,gesum,10000,1100,31457280,2301000,100,947330,501440237,255812749,357685035,100635,
dcesca,gessq,10000,1100,31457280,2301000,100,261095,1701841179,490316054,941843455,100602,
dcesca,geadd,10000,1100,31457280,2301000,90,2158,1750770,239511,668504,115,
dcesca,cesca,10000,1100,31457280,2301000,100,495051,2302654216,991214439,1443578478,100473,
dcesca,plssq,10000,1100,31457280,2301000,90,2170,2915640,427616,1252340,203,
dcesca,plssq2,10000,1100,31457280,2301000,10,17,113810,113200,148648,14,
dcesca,laset,12000,500,31457280,1200000,2328,1645,16249614,420905,7716425,3089,
dcesca,gesum,12000,500,31457280,1200000,576,1273112,724263649,310428827,459800973,291439,
dcesca,gessq,12000,500,31457280,1200000,576,90194,2453421004,637130379,1290220749,291622,
dcesca,geadd,12000,500,31457280,1200000,552,4967,5494058,229800,1725612,576,
dcesca,cesca,12000,500,31457280,1200000,576,848243,3319800041,1381636250,2036325477,290097,
dcesca,plssq,12000,500,31457280,1200000,552,8748,9050595,909610,3681592,1132,
dcesca,plssq2,12000,500,31457280,1200000,24,28,141144,134596,184567,29,
dcesca,laset,12000,500,31457280,2301000,2328,1671,16249611,434584,7865244,3113,
dcesca,gesum,12000,500,31457280,2301000,576,2061308,724263596,402648922,552185522,292299,
dcesca,gessq,12000,500,31457280,2301000,576,102439,2453420868,651479031,1303060004,291063,
dcesca,geadd,12000,500,31457280,2301000,552,5754,5494056,637397,2139677,568,
dcesca,cesca,12000,500,31457280,2301000,576,904614,3319799789,1443337022,2098006436,290124,
dcesca,plssq,12000,500,31457280,2301000,552,10106,9050592,1541523,4332017,1126,
dcesca,plssq2,12000,500,31457280,2301000,24,32,141144,134652,187218,28,
dcesca,laset,12000,600,31457280,1200000,1620,1411,13367701,310607,6248867,2535,
dcesca,gesum,12000,600,31457280,1200000,400,1181082,723520891,309928481,458261460,241960,
dcesca,gessq,12000,600,31457280,1200000,400,113558,2452484677,641110003,1293302485,241896,
dcesca,geadd,12000,600,31457280,1200000,380,3409,4504140,158379,1342689,778,
dcesca,cesca,12000,600,31457280,1200000,400,785456,3318456827,1380812408,2034228881,241348,
dcesca,plssq,12000,600,31457280,1200000,380,6697,7446481,732365,2958592,776,
dcesca,plssq2,12000,600,31457280,1200000,20,34,139620,134884,182119,25,
dcesca,laset,12000,600,31457280,2301000,1620,1484,13367698,357041,6402099,2570,
dcesca,gesum,12000,600,31457280,2301000,400,1928105,723520832,397384960,545842853,242168,
dcesca,gessq,12000,600,31457280,2301000,400,125700,2452484508,656284016,1308566020,242296,
dcesca,geadd,12000,600,31457280,2301000,380,4410,4504141,499497,1679466,398,
dcesca,cesca,12000,600,31457280,2301000,400,831171,3318456570,1437638756,2091040507,241144,
