algorithm,matrix_size,tile_size,threads,case,task,PKG1,PKG2,DRAM1,DRAM2,time
dcesca,14000,500,24,1,laset,10453465,9745031,1658321,1655353,0.129900
dcesca,14000,500,24,1,gesum,10453465,9745031,1658321,1655353,0.129900
dcesca,14000,500,24,1,gessq,10453465,9745031,1658321,1655353,0.129900
dcesca,14000,500,24,1,geadd,10453465,9745031,1658321,1655353,0.129900
dcesca,14000,500,24,1,cesca,10453465,9745031,1658321,1655353,0.129900
dcesca,14000,500,24,1,plssq,10453465,9745031,1658321,1655353,0.129900
dcesca,14000,500,24,1,plssq2,10453465,9745031,1658321,1655353,0.129900
dcesca,14000,500,24,2,laset,11112093,10111181,1913433,1725855,0.147300
dcesca,14000,500,24,2,gesum,11112093,10111181,1913433,1725855,0.147300
dcesca,14000,500,24,2,gessq,11112093,10111181,1913433,1725855,0.147300
dcesca,14000,500,24,2,geadd,11112093,10111181,1913433,1725855,0.147300
dcesca,14000,500,24,2,cesca,11112093,10111181,1913433,1725855,0.147300
dcesca,14000,500,24,2,plssq,11112093,10111181,1913433,1725855,0.147300
dcesca,14000,500,24,2,plssq2,11112093,10111181,1913433,1725855,0.147300
dcesca,14000,500,24,3,laset,10751620,9725989,1840284,1629787,0.139500
dcesca,14000,500,24,3,gesum,10751620,9725989,1840284,1629787,0.139500
dcesca,14000,500,24,3,gessq,10751620,9725989,1840284,1629787,0.139500
dcesca,14000,500,24,3,geadd,10751620,9725989,1840284,1629787,0.139500
dcesca,14000,500,24,3,cesca,10751620,9725989,1840284,1629787,0.139500
dcesca,14000,500,24,3,plssq,10751620,9725989,1840284,1629787,0.139500
dcesca,14000,500,24,3,plssq2,10751620,9725989,1840284,1629787,0.139500
dcesca,14000,500,24,4,laset,12087555,10904879,2105173,1972507,0.173900
dcesca,14000,500,24,4,gesum,12087555,10904879,2105173,1972507,0.173900
dcesca,14000,500,24,4,gessq,12087555,10904879,2105173,1972507,0.173900
dcesca,14000,500,24,4,geadd,12087555,10904879,2105173,1972507,0.173900
dcesca,14000,500,24,4,cesca,12087555,10904879,2105173,1972507,0.173900
dcesca,14000,500,24,4,plssq,12087555,10904879,2105173,1972507,0.173900
dcesca,14000,500,24,4,plssq2,12087555,10904879,2105173,1972507,0.173900
dcesca,14000,500,24,5,laset,13197964,11691254,2139337,1993299,0.181600
dcesca,14000,500,24,5,gesum,13197964,11691254,2139337,1993299,0.181600
dcesca,14000,500,24,5,gessq,13197964,11691254,2139337,1993299,0.181600
dcesca,14000,500,24,5,geadd,13197964,11691254,2139337,1993299,0.181600
dcesca,14000,500,24,5,cesca,13197964,11691254,2139337,1993299,0.181600
dcesca,14000,500,24,5,plssq,13197964,11691254,2139337,1993299,0.181600
dcesca,14000,500,24,5,plssq2,13197964,11691254,2139337,1993299,0.181600
dcesca,14000,500,24,6,laset,12168121,11064791,2182300,2072202,0.184800
dcesca,14000,500,24,6,gesum,12168121,11064791,2182300,2072202,0.184800
dcesca,14000,500,24,6,gessq,12168121,11064791,2182300,2072202,0.184800
dcesca,14000,500,24,6,geadd,12168121,11064791,2182300,2072202,0.184800
dcesca,14000,500,24,6,cesca,12168121,11064791,2182300,2072202,0.184800
dcesca,14000,500,24,6,plssq,12168121,11064791,2182300,2072202,0.184800
dcesca,14000,500,24,6,plssq2,12168121,11064791,2182300,2072202,0.184800
dcesca,14000,500,24,7,laset,13059537,11600617,2196147,2078581,0.185900
dcesca,14000,500,24,7,gesum,13059537,11600617,2196147,2078581,0.185900
dcesca,14000,500,24,7,gessq,13059537,11600617,2196147,2078581,0.185900
dcesca,14000,500,24,7,geadd,13059537,11600617,2196147,2078581,0.185900
dcesca,14000,500,24,7,cesca,13059537,11600617,2196147,2078581,0.185900
dcesca,14000,500,24,7,plssq,13059537,11600617,2196147,2078581,0.185900
dcesca,14000,500,24,7,plssq2,13059537,11600617,2196147,2078581,0.185900
dcesca,14000,500,24,8,laset,11451631,10276219,2082468,1943927,0.169600
dcesca,14000,500,24,8,gesum,11451631,10276219,2082468,1943927,0.169600
dcesca,14000,500,24,8,gessq,11451631,10276219,2082468,1943927,0.169600
dcesca,14000,500,24,8,geadd,11451631,10276219,2082468,1943927,0.169600
dcesca,14000,500,24,8,cesca,11451631,10276219,2082468,1943927,0.169600
dcesca,14000,500,24,8,plssq,11451631,10276219,2082468,1943927,0.169600
dcesca,14000,500,24,8,plssq2,11451631,10276219,2082468,1943927,0.169600
dcesca,14000,500,24,9,laset,10626072,9747594,1713600,1700702,0.131500
dcesca,14000,500,24,9,gesum,10626072,9747594,1713600,1700702,0.131500
dcesca,14000,500,24,9,gessq,10626072,9747594,1713600,1700702,0.131500
dcesca,14000,500,24,9,geadd,10626072,9747594,1713600,1700702,0.131500
dcesca,14000,500,24,9,cesca,10626072,9747594,1713600,1700702,0.131500
dcesca,14000,500,24,9,plssq,10626072,9747594,1713600,1700702,0.131500
dcesca,14000,500,24,9,plssq2,10626072,9747594,1713600,1700702,0.131500
dcesca,14000,500,24,10,laset,11300997,10720249,1912883,1829865,0.153900
dcesca,14000,500,24,10,gesum,11300997,10720249,1912883,1829865,0.153900
dcesca,14000,500,24,10,gessq,11300997,10720249,1912883,1829865,0.153900
dcesca,14000,500,24,10,geadd,11300997,10720249,1912883,1829865,0.153900
dcesca,14000,500,24,10,cesca,11300997,10720249,1912883,1829865,0.153900
dcesca,14000,500,24,10,plssq,11300997,10720249,1912883,1829865,0.153900
dcesca,14000,500,24,10,plssq2,11300997,10720249,1912883,1829865,0.153900
dcesca,14000,500,24,11,laset,12104461,11076205,1890560,1848057,0.165800
dcesca,14000,500,24,11,gesum,12104461,11076205,1890560,1848057,0.165800
dcesca,14000,500,24,11,gessq,12104461,11076205,1890560,1848057,0.165800
dcesca,14000,500,24,11,geadd,12104461,11076205,1890560,1848057,0.165800
dcesca,14000,500,24,11,cesca,12104461,11076205,1890560,1848057,0.165800
dcesca,14000,500,24,11,plssq,12104461,11076205,1890560,1848057,0.165800
dcesca,14000,500,24,11,plssq2,12104461,11076205,1890560,1848057,0.165800
dcesca,14000,500,24,12,laset,11341463,10107945,1927295,1913954,0.160100
dcesca,14000,500,24,12,gesum,11341463,10107945,1927295,1913954,0.160100
dcesca,14000,500,24,12,gessq,11341463,10107945,1927295,1913954,0.160100
dcesca,14000,500,24,12,geadd,11341463,10107945,1927295,1913954,0.160100
dcesca,14000,500,24,12,cesca,11341463,10107945,1927295,1913954,0.160100
dcesca,14000,500,24,12,plssq,11341463,10107945,1927295,1913954,0.160100
dcesca,14000,500,24,12,plssq2,11341463,10107945,1927295,1913954,0.160100
