algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_RES_STL,PAPI_TOT_CYC,PAPI_BR_MSP,
dgram,laset,10000,500,31457280,1200000,420,970,4430569,56143,2027796,518,
dgram,syssq,10000,500,31457280,1200000,20,42023,80348096,35884049,56097878,10024,
dgram,gessq,10000,500,31457280,1200000,380,288214,1666171540,394206528,824828525,191904,
dgram,gram,10000,500,31457280,1200000,210,293623,702509906,567371625,743662419,105646,
dgram,plssq,10000,500,31457280,1200000,419,2830,6497048,1185874,3164638,1022,
dgram,plssq2,10000,500,31457280,1200000,21,41,118012,112671,152822,42,
dgram,laset,10000,500,31457280,2301000,420,1021,4430570,56247,2064583,518,
dgram,syssq,10000,500,31457280,2301000,20,41188,80348090,38838586,59059307,10026,
dgram,gessq,10000,500,31457280,2301000,380,304189,1666171461,415783739,846416435,191887,
dgram,gram,10000,500,31457280,2301000,210,363071,702509817,576169677,752545609,105754,
dgram,plssq,10000,500,31457280,2301000,419,3084,6497049,1298304,3335751,1026,
dgram,plssq2,10000,500,31457280,2301000,21,53,118012,114213,154890,38,
dgram,laset,10000,600,31457280,1200000,306,994,3738961,44279,1680989,391,
dgram,syssq,10000,600,31457280,1200000,17,41324,95066883,42419658,66310532,10032,
dgram,gessq,10000,600,31457280,1200000,272,277838,1649448099,391013801,816918551,158482,
dgram,gram,10000,600,31457280,1200000,153,265941,702117631,567983846,744114887,88942,
dgram,plssq,10000,600,31457280,1200000,305,2808,5491903,1050541,2649986,794,
dgram,plssq2,10000,600,31457280,1200000,18,66,116869,112764,152366,28,
dgram,laset,10000,600,31457280,2301000,306,919,3738962,47920,1736744,381,
dgram,syssq,10000,600,31457280,2301000,17,40251,95066874,45529160,69415819,10015,
dgram,gessq,10000,600,31457280,2301000,272,285283,1649448021,410803119,836703262,158611,
dgram,gram,10000,600,31457280,2301000,153,338854,702117544,575060190,751225472,88694,
dgram,plssq,10000,600,31457280,2301000,305,2625,5491904,1129349,2826118,774,
dgram,plssq2,10000,600,31457280,2301000,18,80,116869,115114,154272,23,
dgram,laset,10000,700,31457280,1200000,240,916,3283279,38258,1501133,314,
dgram,syssq,10000,700,31457280,1200000,15,43414,110746078,49295416,77108920,10004,
dgram,gessq,10000,700,31457280,1200000,210,266239,1631874081,387102229,808310372,134195,
dgram,gram,10000,700,31457280,1200000,120,252894,701840156,568428693,744412271,76684,
dgram,plssq,10000,700,31457280,1200000,239,3069,4825805,942846,2405077,614,
dgram,plssq2,10000,700,31457280,1200000,16,50,116107,113094,150267,25,
dgram,laset,10000,700,31457280,2301000,240,898,3283279,44761,1498767,334,
dgram,syssq,10000,700,31457280,2301000,15,41183,110746070,52241545,80050450,10026,
dgram,gessq,10000,700,31457280,2301000,210,277430,1631874006,406709509,827877454,134226,
dgram,gram,10000,700,31457280,2301000,120,325862,701840069,575054592,751050765,76791,
dgram,plssq,10000,700,31457280,2301000,239,3142,4825805,1071531,2487108,647,
dgram,plssq2,10000,700,31457280,2301000,16,74,116107,114385,152312,32,
dgram,laset,10000,800,31457280,1200000,182,875,2831909,40835,1198594,258,
dgram,syssq,10000,800,31457280,1200000,13,36934,125785268,55867856,87437965,10006,
dgram,gessq,10000,800,31457280,1200000,156,276151,1615048363,384612830,801215116,116078,
dgram,gram,10000,800,31457280,1200000,91,230881,701630582,569107950,744600410,67696,
dgram,plssq,10000,800,31457280,1200000,181,2724,4162876,839369,2069772,473,
dgram,plssq2,10000,800,31457280,1200000,14,63,115345,112971,149110,19,
dgram,laset,10000,800,31457280,2301000,182,844,2831908,35460,1278104,260,
dgram,syssq,10000,800,31457280,2301000,13,38915,125785263,58790994,90367676,10064,
dgram,gessq,10000,800,31457280,2301000,156,281720,1615048282,404567357,821157611,116145,
dgram,gram,10000,800,31457280,2301000,91,312766,701630493,575314412,750964655,67946,
dgram,plssq,10000,800,31457280,2301000,181,3281,4162877,966268,2194520,500,
dgram,plssq2,10000,800,31457280,2301000,14,82,115345,114966,151594,28,
dgram,laset,10000,900,31457280,1200000,156,1037,2607839,37392,1104152,228,
dgram,syssq,10000,900,31457280,1200000,12,41958,143064869,63524884,99418810,10023,
dgram,gessq,10000,900,31457280,1200000,132,270164,1595923482,380233467,791832271,102039,
dgram,gram,10000,900,31457280,1200000,78,233076,701470405,569377750,744783639,60837,
dgram,plssq,10000,900,31457280,1200000,155,2940,3832634,809171,1898319,471,
dgram,plssq2,10000,900,31457280,1200000,13,75,114964,112913,148925,28,
dgram,laset,10000,900,31457280,2301000,156,994,2607840,43882,1158061,362,
dgram,syssq,10000,900,31457280,2301000,12,40077,143064860,66341087,102240796,10021,
dgram,gessq,10000,900,31457280,2301000,132,280251,1595923406,400453501,812039166,101960,
dgram,gram,10000,900,31457280,2301000,78,305900,701470317,575318148,750915015,60812,
dgram,plssq,10000,900,31457280,2301000,155,3166,3832633,911389,2038193,489,
dgram,plssq2,10000,900,31457280,2301000,13,89,114964,115309,151768,20,
dgram,laset,10000,1000,31457280,1200000,110,1366,2162938,31250,940628,181,
dgram,syssq,10000,1000,31457280,1200000,10,40679,160344060,71140457,111349885,10050,
dgram,gessq,10000,1000,31457280,1200000,90,282077,1576702205,377152957,783647260,90491,
dgram,gram,10000,1000,31457280,1200000,55,223189,701336281,569595890,744926552,55188,
dgram,plssq,10000,1000,31457280,1200000,109,2922,3174448,668795,1590855,360,
dgram,plssq2,10000,1000,31457280,1200000,11,65,114202,113413,147800,16,
dgram,laset,10000,1000,31457280,2301000,110,1343,2162938,45372,939089,221,
dgram,syssq,10000,1000,31457280,2301000,10,40528,160344052,74283320,114497948,10054,
dgram,gessq,10000,1000,31457280,2301000,90,284232,1576702122,397304988,803783510,90598,
dgram,gram,10000,1000,31457280,2301000,55,295152,701336193,575196470,750695736,55161,
dgram,plssq,10000,1000,31457280,2301000,109,3510,3174449,807903,1717688,367,
dgram,plssq2,10000,1000,31457280,2301000,11,103,114202,115140,150240,14,
dgram,laset,10000,1100,31457280,1200000,110,1268,2162938,31651,928347,196,
dgram,syssq,10000,1100,31457280,1200000,10,43216,174744064,77469621,121280498,10011,
dgram,gessq,10000,1100,31457280,1200000,90,273847,1560884698,373299153,775651576,81452,
dgram,gram,10000,1100,31457280,1200000,55,219113,701237281,569834702,745066220,50600,
dgram,plssq,10000,1100,31457280,1200000,109,3190,3174554,701821,1617708,348,
dgram,plssq2,10000,1100,31457280,1200000,11,84,114202,113331,147688,13,
dgram,laset,10000,1100,31457280,2301000,110,1259,2162937,41654,954390,181,
dgram,syssq,10000,1100,31457280,2301000,10,41150,174744056,80397377,124215807,10019,
dgram,gessq,10000,1100,31457280,2301000,90,280419,1560884619,393395105,795739023,81505,
dgram,gram,10000,1100,31457280,2301000,55,293314,701237188,576604136,752041793,50707,
dgram,plssq,10000,1100,31457280,2301000,109,3826,3174554,853188,1750233,350,
dgram,plssq2,10000,1100,31457280,2301000,11,101,114202,116397,151396,15,
dgram,laset,12000,500,31457280,1200000,600,1317,6375994,71154,2942536,742,
dgram,syssq,12000,500,31457280,1200000,24,49889,96417711,43048253,67302622,12002,
dgram,gessq,12000,500,31457280,1200000,552,406268,2420333402,571607715,1197140147,278712,
dgram,gram,12000,500,31457280,1200000,300,415660,1011562724,817069635,1070964680,151110,
dgram,plssq,12000,500,31457280,1200000,599,3668,9370448,1654341,4601576,1416,
dgram,plssq2,12000,500,31457280,1200000,25,45,141536,135380,183430,36,
dgram,laset,12000,500,31457280,2301000,600,1446,6375994,97975,2822220,712,
dgram,syssq,12000,500,31457280,2301000,24,47756,96417701,47362273,71624717,12054,
dgram,gessq,12000,500,31457280,2301000,552,421348,2420333268,614036667,1239740450,279550,
dgram,gram,12000,500,31457280,2301000,300,521884,1011562589,831973075,1085976343,151030,
dgram,plssq,12000,500,31457280,2301000,599,4312,9370449,2011112,4769540,1423,
dgram,plssq2,12000,500,31457280,2301000,25,50,141536,137514,185482,34,
dgram,laset,12000,600,31457280,1200000,420,1196,5270726,56911,2410762,492,
dgram,syssq,12000,600,31457280,1200000,20,49800,115616097,51580629,80630953,11984,
dgram,gessq,12000,600,31457280,1200000,380,371741,2398374620,566340353,1185604170,230077,
