algorithm,matrix_size,tile_size,threads,case,task,PKG1,PKG2,DRAM1,DRAM2,time
dgram,12000,500,24,1,laset,4510792,4191151,746533,678479,0.057100
dgram,12000,500,24,1,syssq,4510792,4191151,746533,678479,0.057100
dgram,12000,500,24,1,gessq,4510792,4191151,746533,678479,0.057100
dgram,12000,500,24,1,gram,4510792,4191151,746533,678479,0.057100
dgram,12000,500,24,1,plssq,4510792,4191151,746533,678479,0.057100
dgram,12000,500,24,1,plssq2,4510792,4191151,746533,678479,0.057100
dgram,12000,500,24,2,laset,3598135,3332999,571700,546899,0.065800
dgram,12000,500,24,2,syssq,3598135,3332999,571700,546899,0.065800
dgram,12000,500,24,2,gessq,3598135,3332999,571700,546899,0.065800
dgram,12000,500,24,2,gram,3598135,3332999,571700,546899,0.065800
dgram,12000,500,24,2,plssq,3598135,3332999,571700,546899,0.065800
dgram,12000,500,24,2,plssq2,3598135,3332999,571700,546899,0.065800
dgram,12000,500,24,3,laset,4397572,4106923,719070,660317,0.054200
dgram,12000,500,24,3,syssq,4397572,4106923,719070,660317,0.054200
dgram,12000,500,24,3,gessq,4397572,4106923,719070,660317,0.054200
dgram,12000,500,24,3,gram,4397572,4106923,719070,660317,0.054200
dgram,12000,500,24,3,plssq,4397572,4106923,719070,660317,0.054200
dgram,12000,500,24,3,plssq2,4397572,4106923,719070,660317,0.054200
dgram,12000,500,24,4,laset,4727405,4352833,777148,713837,0.062900
dgram,12000,500,24,4,syssq,4727405,4352833,777148,713837,0.062900
dgram,12000,500,24,4,gessq,4727405,4352833,777148,713837,0.062900
dgram,12000,500,24,4,gram,4727405,4352833,777148,713837,0.062900
dgram,12000,500,24,4,plssq,4727405,4352833,777148,713837,0.062900
dgram,12000,500,24,4,plssq2,4727405,4352833,777148,713837,0.062900
dgram,12000,500,24,5,laset,5094469,4527088,959509,835747,0.077600
dgram,12000,500,24,5,syssq,5094469,4527088,959509,835747,0.077600
dgram,12000,500,24,5,gessq,5094469,4527088,959509,835747,0.077600
dgram,12000,500,24,5,gram,5094469,4527088,959509,835747,0.077600
dgram,12000,500,24,5,plssq,5094469,4527088,959509,835747,0.077600
dgram,12000,500,24,5,plssq2,5094469,4527088,959509,835747,0.077600
dgram,12000,500,24,6,laset,5090990,4536061,921656,880867,0.077200
dgram,12000,500,24,6,syssq,5090990,4536061,921656,880867,0.077200
dgram,12000,500,24,6,gessq,5090990,4536061,921656,880867,0.077200
dgram,12000,500,24,6,gram,5090990,4536061,921656,880867,0.077200
dgram,12000,500,24,6,plssq,5090990,4536061,921656,880867,0.077200
dgram,12000,500,24,6,plssq2,5090990,4536061,921656,880867,0.077200
dgram,12000,500,24,7,laset,4850268,4348683,858239,790474,0.071700
dgram,12000,500,24,7,syssq,4850268,4348683,858239,790474,0.071700
dgram,12000,500,24,7,gessq,4850268,4348683,858239,790474,0.071700
dgram,12000,500,24,7,gram,4850268,4348683,858239,790474,0.071700
dgram,12000,500,24,7,plssq,4850268,4348683,858239,790474,0.071700
dgram,12000,500,24,7,plssq2,4850268,4348683,858239,790474,0.071700
dgram,12000,500,24,8,laset,4945300,4406177,879612,833942,0.074600
dgram,12000,500,24,8,syssq,4945300,4406177,879612,833942,0.074600
dgram,12000,500,24,8,gessq,4945300,4406177,879612,833942,0.074600
dgram,12000,500,24,8,gram,4945300,4406177,879612,833942,0.074600
dgram,12000,500,24,8,plssq,4945300,4406177,879612,833942,0.074600
dgram,12000,500,24,8,plssq2,4945300,4406177,879612,833942,0.074600
dgram,12000,500,24,9,laset,4911975,4473682,839725,833880,0.071300
dgram,12000,500,24,9,syssq,4911975,4473682,839725,833880,0.071300
dgram,12000,500,24,9,gessq,4911975,4473682,839725,833880,0.071300
dgram,12000,500,24,9,gram,4911975,4473682,839725,833880,0.071300
dgram,12000,500,24,9,plssq,4911975,4473682,839725,833880,0.071300
dgram,12000,500,24,9,plssq2,4911975,4473682,839725,833880,0.071300
dgram,12000,500,24,10,laset,5072497,4623340,895999,843611,0.078900
dgram,12000,500,24,10,syssq,5072497,4623340,895999,843611,0.078900
dgram,12000,500,24,10,gessq,5072497,4623340,895999,843611,0.078900
dgram,12000,500,24,10,gram,5072497,4623340,895999,843611,0.078900
dgram,12000,500,24,10,plssq,5072497,4623340,895999,843611,0.078900
dgram,12000,500,24,10,plssq2,5072497,4623340,895999,843611,0.078900
dgram,12000,500,24,11,laset,4912890,4372425,868918,803204,0.073300
dgram,12000,500,24,11,syssq,4912890,4372425,868918,803204,0.073300
dgram,12000,500,24,11,gessq,4912890,4372425,868918,803204,0.073300
dgram,12000,500,24,11,gram,4912890,4372425,868918,803204,0.073300
dgram,12000,500,24,11,plssq,4912890,4372425,868918,803204,0.073300
dgram,12000,500,24,11,plssq2,4912890,4372425,868918,803204,0.073300
dgram,12000,500,24,12,laset,5501573,4966906,955148,939757,0.085900
dgram,12000,500,24,12,syssq,5501573,4966906,955148,939757,0.085900
dgram,12000,500,24,12,gessq,5501573,4966906,955148,939757,0.085900
dgram,12000,500,24,12,gram,5501573,4966906,955148,939757,0.085900
dgram,12000,500,24,12,plssq,5501573,4966906,955148,939757,0.085900
dgram,12000,500,24,12,plssq2,5501573,4966906,955148,939757,0.085900
dgram,12000,500,24,13,laset,5447801,4688831,1050834,905010,0.097400
dgram,12000,500,24,13,syssq,5447801,4688831,1050834,905010,0.097400
dgram,12000,500,24,13,gessq,5447801,4688831,1050834,905010,0.097400
dgram,12000,500,24,13,gram,5447801,4688831,1050834,905010,0.097400
dgram,12000,500,24,13,plssq,5447801,4688831,1050834,905010,0.097400
dgram,12000,500,24,13,plssq2,5447801,4688831,1050834,905010,0.097400
dgram,12000,500,24,14,laset,5629869,4960436,1090416,1025024,0.097800
dgram,12000,500,24,14,syssq,5629869,4960436,1090416,1025024,0.097800
dgram,12000,500,24,14,gessq,5629869,4960436,1090416,1025024,0.097800
dgram,12000,500,24,14,gram,5629869,4960436,1090416,1025024,0.097800
dgram,12000,500,24,14,plssq,5629869,4960436,1090416,1025024,0.097800
dgram,12000,500,24,14,plssq2,5629869,4960436,1090416,1025024,0.097800
dgram,12000,500,24,15,laset,5663499,4979235,1114421,1016471,0.096400
dgram,12000,500,24,15,syssq,5663499,4979235,1114421,1016471,0.096400
dgram,12000,500,24,15,gessq,5663499,4979235,1114421,1016471,0.096400
dgram,12000,500,24,15,gram,5663499,4979235,1114421,1016471,0.096400
dgram,12000,500,24,15,plssq,5663499,4979235,1114421,1016471,0.096400
dgram,12000,500,24,15,plssq2,5663499,4979235,1114421,1016471,0.096400
dgram,12000,500,24,16,laset,5517442,4857349,1087095,1026646,0.095700
dgram,12000,500,24,16,syssq,5517442,4857349,1087095,1026646,0.095700
dgram,12000,500,24,16,gessq,5517442,4857349,1087095,1026646,0.095700
dgram,12000,500,24,16,gram,5517442,4857349,1087095,1026646,0.095700
dgram,12000,500,24,16,plssq,5517442,4857349,1087095,1026646,0.095700
dgram,12000,500,24,16,plssq2,5517442,4857349,1087095,1026646,0.095700
dgram,12000,500,24,17,laset,4703418,4338307,771778,742678,0.061300
dgram,12000,500,24,17,syssq,4703418,4338307,771778,742678,0.061300
dgram,12000,500,24,17,gessq,4703418,4338307,771778,742678,0.061300
dgram,12000,500,24,17,gram,4703418,4338307,771778,742678,0.061300
dgram,12000,500,24,17,plssq,4703418,4338307,771778,742678,0.061300
dgram,12000,500,24,17,plssq2,4703418,4338307,771778,742678,0.061300
dgram,12000,500,24,18,laset,3816946,3586112,641881,584383,0.067100
dgram,12000,500,24,18,syssq,3816946,3586112,641881,584383,0.067100
