algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_RES_STL,PAPI_TOT_CYC,PAPI_BR_MSP,
dlansy,laset,10000,500,31457280,1200000,400,337,222708,9083,294772,52,
dlansy,lansy,10000,500,31457280,1200000,20,39509,90259988,3115953,33037765,10098,
dlansy,lange,10000,500,31457280,1200000,190,238361,1711279366,22642112,590004328,98206,
dlansy,langemax,10000,500,31457280,1200000,228,43,83695,3826,146460,19,
dlansy,laset,10000,500,31457280,2301000,400,339,222708,12491,303492,54,
dlansy,lansy,10000,500,31457280,2301000,20,39712,90259986,5958329,35875256,10179,
dlansy,lange,10000,500,31457280,2301000,190,218844,1711279305,38761980,606699823,98360,
dlansy,langemax,10000,500,31457280,2301000,228,55,83695,10948,155684,21,
dlansy,laset,10000,600,31457280,1200000,289,314,161770,8110,221012,52,
dlansy,lansy,10000,600,31457280,1200000,17,41048,106818758,3502478,38889877,10102,
dlansy,lange,10000,600,31457280,1200000,136,205496,1694490943,19901527,581804457,80743,
dlansy,langemax,10000,600,31457280,1200000,168,69,61672,4812,107202,18,
dlansy,laset,10000,600,31457280,2301000,289,342,161770,9840,231561,56,
dlansy,lansy,10000,600,31457280,2301000,17,40557,106818751,6915622,42072337,10071,
dlansy,lange,10000,600,31457280,2301000,136,192881,1694490891,34621269,596528721,80617,
dlansy,langemax,10000,600,31457280,2301000,168,59,61672,9401,114225,18,
dlansy,laset,10000,700,31457280,1200000,225,330,126633,6047,182108,52,
dlansy,lansy,10000,700,31457280,1200000,15,41164,124457985,3307923,44599656,10093,
dlansy,lange,10000,700,31457280,1200000,105,194939,1676688626,18995276,574870224,68146,
dlansy,langemax,10000,700,31457280,1200000,133,57,48825,3886,85775,16,
dlansy,laset,10000,700,31457280,2301000,225,312,126632,10106,193034,48,
dlansy,lansy,10000,700,31457280,2301000,15,41320,124457980,6258631,47538787,10122,
dlansy,lange,10000,700,31457280,2301000,105,178489,1676688569,32237155,588337168,68275,
dlansy,langemax,10000,700,31457280,2301000,133,50,48825,9492,91195,19,
dlansy,laset,10000,800,31457280,1200000,169,339,95890,12136,140818,54,
dlansy,lansy,10000,800,31457280,1200000,13,38790,141377399,3230778,50163791,10091,
dlansy,lange,10000,800,31457280,1200000,78,179113,1659646834,17356924,568494886,116319,
dlansy,langemax,10000,800,31457280,1200000,102,62,37446,6832,66845,14,
dlansy,laset,10000,800,31457280,2301000,169,367,95890,13171,155479,60,
dlansy,lansy,10000,800,31457280,2301000,13,38900,141377394,6185331,53086700,10150,
dlansy,lange,10000,800,31457280,2301000,78,164426,1659646779,29877398,580177752,59036,
dlansy,langemax,10000,800,31457280,2301000,102,48,37446,7726,71447,16,
dlansy,laset,10000,900,31457280,1200000,144,354,82163,11611,127356,56,
dlansy,lansy,10000,900,31457280,1200000,12,40573,160816518,3313939,56716423,10154,
dlansy,lange,10000,900,31457280,1200000,66,176153,1640112130,17507404,560966119,51853,
dlansy,langemax,10000,900,31457280,1200000,88,62,32307,3858,57228,12,
dlansy,laset,10000,900,31457280,2301000,144,359,82164,16948,140262,50,
dlansy,lansy,10000,900,31457280,2301000,12,40605,160816514,6185948,59581789,10104,
dlansy,lange,10000,900,31457280,2301000,66,155808,1640112073,28095230,573344516,102231,
dlansy,langemax,10000,900,31457280,2301000,88,49,32307,6350,62423,15,
dlansy,laset,10000,1000,31457280,1200000,100,350,58008,9136,96047,50,
dlansy,lansy,10000,1000,31457280,1200000,10,41273,180255702,3643287,63473743,10098,
dlansy,lange,10000,1000,31457280,1200000,45,163939,1620595149,16688867,553318630,45879,
dlansy,langemax,10000,1000,31457280,1200000,63,45,23130,3168,40859,11,
dlansy,laset,10000,1000,31457280,2301000,100,362,58009,12401,109397,46,
dlansy,lansy,10000,1000,31457280,2301000,10,41570,180255698,6912400,66725829,10364,
dlansy,lange,10000,1000,31457280,2301000,45,145315,1620595094,26483926,564676601,90666,
dlansy,langemax,10000,1000,31457280,2301000,63,57,23130,7572,46826,13,
dlansy,laset,10000,1100,31457280,1200000,100,346,58010,9667,95932,56,
dlansy,lansy,10000,1100,31457280,1200000,10,40504,196455818,3345368,68613860,10101,
dlansy,lange,10000,1100,31457280,1200000,45,161941,1604337086,16121525,548305552,67497,
dlansy,langemax,10000,1100,31457280,1200000,63,48,23130,3092,40239,9,
dlansy,laset,10000,1100,31457280,2301000,100,331,58009,8578,99626,63,
