algorithm,matrix_size,tile_size,threads,case,task,PKG1,PKG2,DRAM1,DRAM2,time
dlansy,16000,500,24,1,laset,3310844,3152458,456659,395612,0.038200
dlansy,16000,500,24,1,lansy,3310844,3152458,456659,395612,0.038200
dlansy,16000,500,24,1,lange,3310844,3152458,456659,395612,0.038200
dlansy,16000,500,24,1,langemax,3310844,3152458,456659,395612,0.038200
dlansy,16000,500,24,1,laset,3310844,3152458,456659,395612,0.038200
dlansy,16000,500,24,1,lantr,3310844,3152458,456659,395612,0.038200
dlansy,16000,500,24,1,lange,3310844,3152458,456659,395612,0.038200
dlansy,16000,500,24,1,langemax,3310844,3152458,456659,395612,0.038200
dlansy,16000,500,24,1,symm,3310844,3152458,456659,395612,0.038200
dlansy,16000,500,24,1,gemm,3310844,3152458,456659,395612,0.038200
dlansy,16000,500,24,1,syrk,3310844,3152458,456659,395612,0.038200
dlansy,16000,500,24,1,gemm,3310844,3152458,456659,395612,0.038200
dlansy,16000,500,24,1,syr2k,3310844,3152458,456659,395612,0.038200
dlansy,16000,500,24,1,gemm,3310844,3152458,456659,395612,0.038200
dlansy,16000,500,24,1,trmm,3310844,3152458,456659,395612,0.038200
dlansy,16000,500,24,1,gemm,3310844,3152458,456659,395612,0.038200
dlansy,16000,500,24,1,trsm,3310844,3152458,456659,395612,0.038200
dlansy,16000,500,24,1,gemm,3310844,3152458,456659,395612,0.038200
dlansy,16000,500,24,2,laset,4000295,3595938,524102,492400,0.048200
dlansy,16000,500,24,2,lansy,4000295,3595938,524102,492400,0.048200
dlansy,16000,500,24,2,lange,4000295,3595938,524102,492400,0.048200
dlansy,16000,500,24,2,langemax,4000295,3595938,524102,492400,0.048200
dlansy,16000,500,24,2,laset,4000295,3595938,524102,492400,0.048200
dlansy,16000,500,24,2,lantr,4000295,3595938,524102,492400,0.048200
dlansy,16000,500,24,2,lange,4000295,3595938,524102,492400,0.048200
dlansy,16000,500,24,2,langemax,4000295,3595938,524102,492400,0.048200
dlansy,16000,500,24,2,symm,4000295,3595938,524102,492400,0.048200
dlansy,16000,500,24,2,gemm,4000295,3595938,524102,492400,0.048200
dlansy,16000,500,24,2,syrk,4000295,3595938,524102,492400,0.048200
dlansy,16000,500,24,2,gemm,4000295,3595938,524102,492400,0.048200
dlansy,16000,500,24,2,syr2k,4000295,3595938,524102,492400,0.048200
dlansy,16000,500,24,2,gemm,4000295,3595938,524102,492400,0.048200
dlansy,16000,500,24,2,trmm,4000295,3595938,524102,492400,0.048200
dlansy,16000,500,24,2,gemm,4000295,3595938,524102,492400,0.048200
dlansy,16000,500,24,2,trsm,4000295,3595938,524102,492400,0.048200
