algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_RES_STL,PAPI_TOT_CYC,PAPI_BR_MSP,
dlantr,laset,10000,500,31457280,1200000,400,328,222709,5781,302759,49,
dlantr,lantr,10000,500,31457280,1200000,20,64221,20189202,4547357,9138104,9796,
dlantr,lange,10000,500,31457280,1200000,190,235446,1711280783,22314354,589915897,98077,
dlantr,langemax,10000,500,31457280,1200000,228,54,83737,4394,149304,63,
dlantr,laset,10000,500,31457280,2301000,400,339,222709,12843,307130,60,
dlantr,lantr,10000,500,31457280,2301000,20,82802,20189200,7435418,12029381,9792,
dlantr,lange,10000,500,31457280,2301000,190,218159,1711280716,45373018,613177693,98292,
dlantr,langemax,10000,500,31457280,2301000,228,42,83737,12145,162358,68,
dlantr,laset,10000,600,31457280,1200000,289,356,161770,6342,225206,58,
dlantr,lantr,10000,600,31457280,1200000,17,68769,23867823,5262320,10656167,9822,
dlantr,lange,10000,600,31457280,1200000,136,209443,1694492088,20025790,582110690,80943,
dlantr,langemax,10000,600,31457280,1200000,168,61,61702,4648,114146,49,
dlantr,laset,10000,600,31457280,2301000,289,355,161770,13103,246938,47,
dlantr,lantr,10000,600,31457280,2301000,17,85797,23867820,8137311,13534945,9808,
dlantr,lange,10000,600,31457280,2301000,136,192388,1694492027,39998721,602302897,80831,
dlantr,langemax,10000,600,31457280,2301000,168,55,61702,11765,127072,49,
dlantr,laset,10000,700,31457280,1200000,225,368,126633,11305,184801,55,
dlantr,lantr,10000,700,31457280,1200000,15,70600,27786903,5946754,12200747,9855,
dlantr,lange,10000,700,31457280,1200000,105,194755,1676690481,18799113,575413154,113022,
dlantr,langemax,10000,700,31457280,1200000,133,77,48847,5085,90067,39,
dlantr,laset,10000,700,31457280,2301000,225,369,126633,16991,194785,51,
dlantr,lantr,10000,700,31457280,2301000,15,87640,27786902,8582788,14841211,9844,
dlantr,lange,10000,700,31457280,2301000,105,177324,1676690416,36969800,593168113,68478,
dlantr,langemax,10000,700,31457280,2301000,133,65,48847,13807,98052,39,
dlantr,laset,10000,800,31457280,1200000,169,365,95890,9991,148839,49,
dlantr,lantr,10000,800,31457280,1200000,13,73384,31545985,6597031,13675257,9905,
dlantr,lange,10000,800,31457280,1200000,78,182719,1659647562,17803147,567916962,66664,
dlantr,langemax,10000,800,31457280,1200000,102,48,37467,2696,67359,37,
dlantr,laset,10000,800,31457280,2301000,169,381,95889,20056,168946,48,
dlantr,lantr,10000,800,31457280,2301000,13,86260,31545982,9103309,16181860,9877,
dlantr,lange,10000,800,31457280,2301000,78,162782,1659647503,33252099,583177692,58922,
dlantr,langemax,10000,800,31457280,2301000,102,45,37467,7541,73989,33,
dlantr,laset,10000,900,31457280,1200000,144,364,82165,8190,128795,62,
dlantr,lantr,10000,900,31457280,1200000,12,73331,35865522,7309754,15326160,9910,
dlantr,lange,10000,900,31457280,1200000,66,176453,1640113838,17526720,560775192,51824,
dlantr,langemax,10000,900,31457280,1200000,88,53,32322,3332,57673,24,
dlantr,laset,10000,900,31457280,2301000,144,348,82165,13938,138167,53,
dlantr,lantr,10000,900,31457280,2301000,12,91243,35865522,9918111,17938436,9918,
dlantr,lange,10000,900,31457280,2301000,66,155784,1640113739,32729840,576340594,51816,
dlantr,langemax,10000,900,31457280,2301000,88,42,32322,7050,65314,29,
dlantr,laset,10000,1000,31457280,1200000,100,374,58010,7997,99871,63,
dlantr,lantr,10000,1000,31457280,1200000,10,78112,40184605,8104724,17067825,9908,
dlantr,lange,10000,1000,31457280,1200000,45,165233,1620596499,16344005,553694908,82559,
dlantr,langemax,10000,1000,31457280,1200000,63,45,23141,2254,41267,22,
dlantr,laset,10000,1000,31457280,2301000,100,390,58008,18979,113401,56,
dlantr,lantr,10000,1000,31457280,2301000,10,94963,40184602,10956618,19919023,9912,
dlantr,lange,10000,1000,31457280,2301000,45,145253,1620596440,30563207,567337336,45807,
dlantr,langemax,10000,1000,31457280,2301000,63,43,23141,7244,47300,24,
dlantr,laset,10000,1100,31457280,1200000,100,353,58009,7895,97265,52,
dlantr,lantr,10000,1100,31457280,1200000,10,78242,43784606,8708819,18460317,9962,
dlantr,lange,10000,1100,31457280,1200000,45,163405,1604338366,16346035,547555907,41404,
dlantr,langemax,10000,1100,31457280,1200000,63,50,23139,2804,41155,19,
dlantr,laset,10000,1100,31457280,2301000,100,358,58008,12322,106557,48,
dlantr,lantr,10000,1100,31457280,2301000,10,96766,43784602,11554491,21306410,9915,
dlantr,lange,10000,1100,31457280,2301000,45,144543,1604338306,30408524,561775194,41328,
dlantr,langemax,10000,1100,31457280,2301000,63,47,23139,7940,47136,20,
dlantr,laset,12000,500,31457280,1200000,576,343,319332,6836,409267,49,
dlantr,lantr,12000,500,31457280,1200000,24,76908,24227040,5470319,10974387,11744,
dlantr,lange,12000,500,31457280,1200000,276,341476,2485860954,32362832,856680337,142312,
dlantr,langemax,12000,500,31457280,1200000,322,70,118259,5345,209381,89,
dlantr,laset,12000,500,31457280,2301000,576,328,319334,12458,424369,65,
dlantr,lantr,12000,500,31457280,2301000,24,105160,24227040,9725805,15237342,11643,
dlantr,lange,12000,500,31457280,2301000,276,321575,2485860845,75762936,899577759,142534,
dlantr,langemax,12000,500,31457280,2301000,322,58,118259,16240,237397,92,
dlantr,laset,12000,600,31457280,1200000,400,351,222709,8875,297397,66,
dlantr,lantr,12000,600,31457280,1200000,20,83257,29025201,6396684,12949689,11791,
dlantr,lange,12000,600,31457280,1200000,190,305793,2463927629,29477288,846194833,117127,
dlantr,langemax,12000,600,31457280,1200000,228,83,83743,6658,154596,74,
dlantr,laset,12000,600,31457280,2301000,400,347,222709,13469,311854,50,
dlantr,lantr,12000,600,31457280,2301000,20,115904,29025202,11245995,17817114,11718,
dlantr,lange,12000,600,31457280,2301000,190,276718,2463927522,66001200,882496047,117176,
dlantr,langemax,12000,600,31457280,2301000,228,77,83743,19045,168666,75,
dlantr,laset,12000,700,31457280,1200000,324,342,180985,12670,250741,50,
dlantr,lantr,12000,700,31457280,1200000,18,84934,33584282,7167106,14721396,11810,
dlantr,lange,12000,700,31457280,1200000,153,286974,2443175749,27818699,837663995,99599,
dlantr,langemax,12000,700,31457280,1200000,187,93,68684,7375,127480,59,
dlantr,laset,12000,700,31457280,2301000,324,378,180986,21764,271221,58,
dlantr,lantr,12000,700,31457280,2301000,18,120995,33584283,12186688,19753898,11802,
dlantr,lange,12000,700,31457280,2301000,153,256676,2443175642,61458276,871673368,99357,
dlantr,langemax,12000,700,31457280,2301000,187,84,68684,19581,142342,57,
dlantr,laset,12000,800,31457280,1200000,225,383,126634,10366,189385,56,
dlantr,lantr,12000,800,31457280,1200000,15,89680,38622904,8064002,16723879,11820,
dlantr,lange,12000,800,31457280,1200000,105,264187,2420315896,25898485,827787810,85884,
dlantr,langemax,12000,800,31457280,1200000,133,79,48852,5718,90438,50,
dlantr,laset,12000,800,31457280,2301000,225,370,126634,20997,205605,54,
dlantr,lantr,12000,800,31457280,2301000,15,125590,38622901,13384256,22047288,11832,
dlantr,lange,12000,800,31457280,2301000,105,233042,2420315790,56399571,858186562,85706,
dlantr,langemax,12000,800,31457280,2301000,133,77,48852,16916,105677,47,
dlantr,laset,12000,900,31457280,1200000,196,411,110714,7053,170338,54,
dlantr,lantr,12000,900,31457280,1200000,14,88804,42702442,8745617,18290462,11839,
dlantr,lange,12000,900,31457280,1200000,91,254671,2401826656,25125796,820785692,75516,
dlantr,langemax,12000,900,31457280,1200000,117,73,42974,3388,78360,42,
dlantr,laset,12000,900,31457280,2301000,196,389,110713,30061,197198,58,
dlantr,lantr,12000,900,31457280,2301000,14,130837,42702443,14220532,23786755,11797,
dlantr,lange,12000,900,31457280,2301000,91,222415,2401826549,54208563,849875074,75491,
dlantr,langemax,12000,900,31457280,2301000,117,75,42974,16606,92305,37,
dlantr,laset,12000,1000,31457280,1200000,144,371,82165,10048,130445,52,
dlantr,lantr,12000,1000,31457280,1200000,12,94614,48221523,9721378,20473450,11870,
dlantr,lange,12000,1000,31457280,1200000,66,244203,2376873227,24440900,811335067,67122,
dlantr,langemax,12000,1000,31457280,1200000,88,74,32330,3636,59552,37,
dlantr,laset,12000,1000,31457280,2301000,144,398,82166,18054,148669,63,
dlantr,lantr,12000,1000,31457280,2301000,12,133057,48221520,15072035,25831300,11870,
dlantr,lange,12000,1000,31457280,2301000,66,210398,2376873124,51318547,838888928,67224,
dlantr,langemax,12000,1000,31457280,2301000,88,54,32330,12157,71334,52,
dlantr,laset,12000,1100,31457280,1200000,121,355,69537,11685,117172,51,
dlantr,lantr,12000,1100,31457280,1200000,11,95693,52621067,10494588,22219345,11888,
dlantr,lange,12000,1100,31457280,1200000,55,236497,2356986241,23718466,804082076,60488,
dlantr,langemax,12000,1100,31457280,1200000,75,81,27553,4175,50796,27,
dlantr,laset,12000,1100,31457280,2301000,121,382,69538,12241,134822,56,
dlantr,lantr,12000,1100,31457280,2301000,11,142247,52621063,16491129,28214468,11894,
dlantr,lange,12000,1100,31457280,2301000,55,201511,2356986140,49338794,830273242,60479,
dlantr,langemax,12000,1100,31457280,2301000,75,73,27553,15644,62543,28,
dlantr,laset,14000,500,31457280,1200000,784,367,433527,8218,548043,55,
dlantr,lantr,14000,500,31457280,1200000,28,90039,28264881,6380659,12808797,13602,
dlantr,lange,14000,500,31457280,1200000,378,475257,3404546967,44981157,1173839593,194564,
dlantr,langemax,14000,500,31457280,1200000,432,92,158632,7285,281430,91,
dlantr,laset,14000,500,31457280,2301000,784,373,433525,15361,564797,58,
dlantr,lantr,14000,500,31457280,2301000,28,124620,28264881,11439088,17883378,13707,
dlantr,lange,14000,500,31457280,2301000,378,438941,3404546818,103368183,1232442339,195453,
dlantr,langemax,14000,500,31457280,2301000,432,85,158632,25245,316618,99,
dlantr,laset,14000,600,31457280,1200000,576,359,319334,8033,434498,56,
dlantr,lantr,14000,600,31457280,1200000,24,98297,33543042,7414114,14991099,13772,
dlantr,lange,14000,600,31457280,1200000,276,423666,3380336379,40643807,1161358428,161145,
dlantr,langemax,14000,600,31457280,1200000,322,106,118251,14762,223898,81,
dlantr,laset,14000,600,31457280,2301000,576,350,319334,17196,440417,56,
dlantr,lantr,14000,600,31457280,2301000,24,133863,33543040,12967400,20558664,13728,
dlantr,lange,14000,600,31457280,2301000,276,387407,3380336229,92054797,1212835917,161046,
dlantr,langemax,14000,600,31457280,2301000,322,79,118250,20628,234404,75,
dlantr,laset,14000,700,31457280,1200000,400,351,222710,13927,297524,55,
dlantr,lantr,14000,700,31457280,1200000,20,100722,39461201,8434812,17306877,13711,
dlantr,lange,14000,700,31457280,1200000,190,386754,3353373150,37876578,1148884498,136255,
dlantr,langemax,14000,700,31457280,1200000,228,86,83738,7485,151884,69,
dlantr,laset,14000,700,31457280,2301000,400,350,222709,15705,327408,52,
dlantr,lantr,14000,700,31457280,2301000,20,143324,39461203,14366537,23279729,13746,
dlantr,lange,14000,700,31457280,2301000,190,342878,3353373005,82610937,1194179269,136196,
dlantr,langemax,14000,700,31457280,2301000,228,80,83738,15021,176041,69,
dlantr,laset,14000,800,31457280,1200000,324,365,180984,4489,332662,62,
dlantr,lantr,14000,800,31457280,1200000,18,105503,44420287,9331729,19297317,13801,
dlantr,lange,14000,800,31457280,1200000,153,360761,3330818032,35669107,1138855945,118257,
dlantr,langemax,14000,800,31457280,1200000,187,98,68680,8250,132888,63,
dlantr,laset,14000,800,31457280,2301000,324,405,180985,19369,269414,58,
dlantr,lantr,14000,800,31457280,2301000,18,147164,44420282,15505351,25479715,13826,
dlantr,lange,14000,800,31457280,2301000,153,322381,3330817895,77840471,1181842841,118427,
dlantr,langemax,14000,800,31457280,2301000,187,102,68680,22113,146619,55,
dlantr,laset,14000,900,31457280,1200000,256,390,143652,12766,212057,50,
dlantr,lantr,14000,900,31457280,1200000,16,108185,49859367,10297069,21452646,13884,
dlantr,lange,14000,900,31457280,1200000,120,346712,3306153673,34254177,1129504859,104109,
dlantr,langemax,14000,900,31457280,1200000,150,86,55094,6760,102471,50,
dlantr,laset,14000,900,31457280,2301000,256,394,143652,18721,220160,53,
dlantr,lantr,14000,900,31457280,2301000,16,153554,49859362,16471859,27635984,13930,
dlantr,lange,14000,900,31457280,2301000,120,307832,3306153534,74862702,1170342529,104223,
dlantr,langemax,14000,900,31457280,2301000,150,81,55094,18951,119659,51,
