algorithm,matrix_size,tile_size,threads,case,task,PKG1,PKG2,DRAM1,DRAM2,time
dlantr,16000,500,24,1,laset,3372123,3112419,438850,433265,0.039500
dlantr,16000,500,24,1,lantr,3372123,3112419,438850,433265,0.039500
dlantr,16000,500,24,1,lange,3372123,3112419,438850,433265,0.039500
dlantr,16000,500,24,1,langemax,3372123,3112419,438850,433265,0.039500
dlantr,16000,500,24,1,symm,3372123,3112419,438850,433265,0.039500
dlantr,16000,500,24,1,gemm,3372123,3112419,438850,433265,0.039500
dlantr,16000,500,24,1,syrk,3372123,3112419,438850,433265,0.039500
dlantr,16000,500,24,1,gemm,3372123,3112419,438850,433265,0.039500
dlantr,16000,500,24,1,syr2k,3372123,3112419,438850,433265,0.039500
dlantr,16000,500,24,1,gemm,3372123,3112419,438850,433265,0.039500
dlantr,16000,500,24,1,trmm,3372123,3112419,438850,433265,0.039500
dlantr,16000,500,24,1,gemm,3372123,3112419,438850,433265,0.039500
dlantr,16000,500,24,1,trsm,3372123,3112419,438850,433265,0.039500
dlantr,16000,500,24,1,gemm,3372123,3112419,438850,433265,0.039500
dlantr,16000,500,24,2,laset,4149160,3864187,563025,525800,0.052800
dlantr,16000,500,24,2,lantr,4149160,3864187,563025,525800,0.052800
dlantr,16000,500,24,2,lange,4149160,3864187,563025,525800,0.052800
dlantr,16000,500,24,2,langemax,4149160,3864187,563025,525800,0.052800
dlantr,16000,500,24,2,symm,4149160,3864187,563025,525800,0.052800
dlantr,16000,500,24,2,gemm,4149160,3864187,563025,525800,0.052800
dlantr,16000,500,24,2,syrk,4149160,3864187,563025,525800,0.052800
dlantr,16000,500,24,2,gemm,4149160,3864187,563025,525800,0.052800
dlantr,16000,500,24,2,syr2k,4149160,3864187,563025,525800,0.052800
dlantr,16000,500,24,2,gemm,4149160,3864187,563025,525800,0.052800
dlantr,16000,500,24,2,trmm,4149160,3864187,563025,525800,0.052800
dlantr,16000,500,24,2,gemm,4149160,3864187,563025,525800,0.052800
dlantr,16000,500,24,2,trsm,4149160,3864187,563025,525800,0.052800
dlantr,16000,500,24,2,gemm,4149160,3864187,563025,525800,0.052800
dlantr,16000,500,24,4,laset,3631522,3317862,513071,476351,0.045700
dlantr,16000,500,24,4,lantr,3631522,3317862,513071,476351,0.045700
dlantr,16000,500,24,4,lange,3631522,3317862,513071,476351,0.045700
dlantr,16000,500,24,4,langemax,3631522,3317862,513071,476351,0.045700
dlantr,16000,500,24,4,symm,3631522,3317862,513071,476351,0.045700
