algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_RES_STL,PAPI_TOT_CYC,PAPI_BR_MSP,
dlauum,lauum,10000,500,31457280,1200000,20,222508,277010947,39429407,110002398,78858,
dlauum,syrk,10000,500,31457280,1200000,190,4656314,6827857602,735791805,2447860915,209385,
dlauum,trmm,10000,500,31457280,1200000,190,4381154,6489294499,704547117,2306939643,1457246,
dlauum,gemm,10000,500,31457280,1200000,1140,45743797,70270094520,4590149561,22176499073,910736,
dlauum,lauum,10000,500,31457280,2301000,20,224356,277011074,51491488,122223926,77855,
dlauum,syrk,10000,500,31457280,2301000,190,4674711,6827857321,893342588,2605934981,205402,
dlauum,trmm,10000,500,31457280,2301000,190,4391456,6489294243,962039633,2564702773,1458919,
dlauum,gemm,10000,500,31457280,2301000,1140,45941704,70270091979,6506211111,24080872553,886515,
dlauum,lauum,10000,600,31457280,1200000,17,274942,375706151,50148225,145429828,102736,
dlauum,syrk,10000,600,31457280,1200000,136,4481722,7999739094,835277133,2840536626,313607,
dlauum,trmm,10000,600,31457280,1200000,136,4476252,7406561665,706734117,2545637146,1405589,
dlauum,gemm,10000,600,31457280,1200000,680,38275731,67978787499,4101103671,21143501980,1345960,
dlauum,lauum,10000,600,31457280,2301000,17,278188,375706245,65567112,160991483,100497,
dlauum,syrk,10000,600,31457280,2301000,136,4499861,7999738775,1000174075,3006483914,326175,
dlauum,trmm,10000,600,31457280,2301000,136,4495573,7406561379,933357393,2771817024,1396108,
dlauum,gemm,10000,600,31457280,2301000,680,38338664,67978785044,5693774867,22734232141,1391468,
dlauum,lauum,10000,700,31457280,1200000,15,308915,499079359,65755153,191627313,127742,
dlauum,syrk,10000,700,31457280,1200000,105,4622328,9163628260,946388072,3239722339,318016,
dlauum,trmm,10000,700,31457280,1200000,105,4798863,8350732947,746362876,2818081462,1445028,
dlauum,gemm,10000,700,31457280,1200000,455,33398361,65394949475,3776502547,20135213862,989244,
dlauum,lauum,10000,700,31457280,2301000,15,313059,499079343,84826001,210898574,126121,
dlauum,syrk,10000,700,31457280,2301000,105,4618383,9163627889,1125971531,3420485838,324630,
dlauum,trmm,10000,700,31457280,2301000,105,4817365,8350732631,1004076564,3076069356,1445896,
dlauum,gemm,10000,700,31457280,2301000,455,33590329,65394947125,5164983796,21525321499,963322,
dlauum,lauum,10000,800,31457280,1200000,13,311972,617144281,72855122,227778483,124165,
dlauum,syrk,10000,800,31457280,1200000,78,4380992,10283329728,1017309561,3591435904,277532,
dlauum,trmm,10000,800,31457280,1200000,78,4824023,9307735516,806718307,3118083182,1384715,
dlauum,gemm,10000,800,31457280,1200000,286,28245311,63274661360,3435148270,19273258441,918344,
dlauum,lauum,10000,800,31457280,2301000,13,312588,617143913,91396963,246385788,123229,
dlauum,syrk,10000,800,31457280,2301000,78,4416153,10283329325,1191117091,3765651155,297202,
dlauum,trmm,10000,800,31457280,2301000,78,4815750,9307735160,1048760476,3358953635,1373153,
dlauum,gemm,10000,800,31457280,2301000,286,28334438,63274659099,4607211736,20426570653,796464,
dlauum,lauum,10000,900,31457280,1200000,12,343221,790721677,91809063,290144902,175180,
dlauum,syrk,10000,900,31457280,1200000,66,4551523,11391959583,1105002057,3952118204,288133,
dlauum,trmm,10000,900,31457280,1200000,66,5058525,10398273618,831229735,3413792356,1402716,
dlauum,gemm,10000,900,31457280,1200000,220,24811651,60791695982,3314174774,18507466378,763479,
dlauum,lauum,10000,900,31457280,2301000,12,344133,790721642,114998092,313400523,170730,
dlauum,syrk,10000,900,31457280,2301000,66,4584779,11391959129,1285141521,4132025193,313957,
dlauum,trmm,10000,900,31457280,2301000,66,5068968,10398273228,1118287435,3700853279,1398271,
dlauum,gemm,10000,900,31457280,2301000,220,24952934,60791693818,4486879582,19681239196,769348,
dlauum,lauum,10000,1000,31457280,1200000,10,372883,970479979,108530259,351324001,192375,
dlauum,syrk,10000,1000,31457280,1200000,45,4596271,12402416678,1164018450,4261171307,271833,
dlauum,trmm,10000,1000,31457280,1200000,45,5253241,11500262843,870939697,3723158184,1358846,
dlauum,gemm,10000,1000,31457280,1200000,120,22102045,58100366672,3028509738,17538393378,543788,
dlauum,lauum,10000,1000,31457280,2301000,10,386357,970479865,134614215,377805965,215455,
dlauum,syrk,10000,1000,31457280,2301000,45,4618498,12402416189,1345125534,4441792389,272882,
dlauum,trmm,10000,1000,31457280,2301000,45,5248169,11500262417,1138942324,3990827069,1355988,
dlauum,gemm,10000,1000,31457280,2301000,120,22181426,58100364498,3978189576,18487596507,535591,
dlauum,lauum,10000,1100,31457280,1200000,10,372505,1137230716,118368885,402537816,183954,
dlauum,syrk,10000,1100,31457280,1200000,45,4501901,13344066963,1198595286,4533019278,323742,
dlauum,trmm,10000,1100,31457280,1200000,45,5077819,12288355391,900890299,3954786078,1394165,
