algorithm,matrix_size,tile_size,threads,case,task,PKG1,PKG2,DRAM1,DRAM2,time
dlauum,10000,500,24,1,lauum,77346176,72430967,7532985,7440115,0.666500
dlauum,10000,500,24,1,syrk,77346176,72430967,7532985,7440115,0.666500
dlauum,10000,500,24,1,trmm,77346176,72430967,7532985,7440115,0.666500
dlauum,10000,500,24,1,gemm,77346176,72430967,7532985,7440115,0.666500
dlauum,10000,500,24,1,laset,77346176,72430967,7532985,7440115,0.666500
dlauum,10000,500,24,1,zasum,77346176,72430967,7532985,7440115,0.666500
dlauum,10000,500,24,1,gessq,77346176,72430967,7532985,7440115,0.666500
dlauum,10000,500,24,1,lacpy,77346176,72430967,7532985,7440115,0.666500
dlauum,10000,500,24,1,lascal,77346176,72430967,7532985,7440115,0.666500
dlauum,10000,500,24,1,gemv,77346176,72430967,7532985,7440115,0.666500
dlauum,10000,500,24,1,plssq2,77346176,72430967,7532985,7440115,0.666500
dlauum,10000,500,24,2,lauum,76692064,76587511,7512009,7275303,0.651500
dlauum,10000,500,24,2,syrk,76692064,76587511,7512009,7275303,0.651500
dlauum,10000,500,24,2,trmm,76692064,76587511,7512009,7275303,0.651500
dlauum,10000,500,24,2,gemm,76692064,76587511,7512009,7275303,0.651500
dlauum,10000,500,24,2,laset,76692064,76587511,7512009,7275303,0.651500
dlauum,10000,500,24,2,zasum,76692064,76587511,7512009,7275303,0.651500
dlauum,10000,500,24,2,gessq,76692064,76587511,7512009,7275303,0.651500
dlauum,10000,500,24,2,lacpy,76692064,76587511,7512009,7275303,0.651500
dlauum,10000,500,24,2,lascal,76692064,76587511,7512009,7275303,0.651500
dlauum,10000,500,24,2,gemv,76692064,76587511,7512009,7275303,0.651500
dlauum,10000,500,24,2,plssq2,76692064,76587511,7512009,7275303,0.651500
dlauum,10000,500,24,3,lauum,83104829,78637738,7943592,7342485,0.688100
dlauum,10000,500,24,3,syrk,83104829,78637738,7943592,7342485,0.688100
dlauum,10000,500,24,3,trmm,83104829,78637738,7943592,7342485,0.688100
dlauum,10000,500,24,3,gemm,83104829,78637738,7943592,7342485,0.688100
dlauum,10000,500,24,3,laset,83104829,78637738,7943592,7342485,0.688100
dlauum,10000,500,24,3,zasum,83104829,78637738,7943592,7342485,0.688100
dlauum,10000,500,24,3,gessq,83104829,78637738,7943592,7342485,0.688100
dlauum,10000,500,24,3,lacpy,83104829,78637738,7943592,7342485,0.688100
dlauum,10000,500,24,3,lascal,83104829,78637738,7943592,7342485,0.688100
dlauum,10000,500,24,3,gemv,83104829,78637738,7943592,7342485,0.688100
dlauum,10000,500,24,3,plssq2,83104829,78637738,7943592,7342485,0.688100
dlauum,10000,500,24,4,lauum,83109040,79005657,8232532,7436840,0.709300
dlauum,10000,500,24,4,syrk,83109040,79005657,8232532,7436840,0.709300
dlauum,10000,500,24,4,trmm,83109040,79005657,8232532,7436840,0.709300
dlauum,10000,500,24,4,gemm,83109040,79005657,8232532,7436840,0.709300
dlauum,10000,500,24,4,laset,83109040,79005657,8232532,7436840,0.709300
dlauum,10000,500,24,4,zasum,83109040,79005657,8232532,7436840,0.709300
dlauum,10000,500,24,4,gessq,83109040,79005657,8232532,7436840,0.709300
dlauum,10000,500,24,4,lacpy,83109040,79005657,8232532,7436840,0.709300
dlauum,10000,500,24,4,lascal,83109040,79005657,8232532,7436840,0.709300
dlauum,10000,500,24,4,gemv,83109040,79005657,8232532,7436840,0.709300
dlauum,10000,500,24,4,plssq2,83109040,79005657,8232532,7436840,0.709300
dlauum,10000,500,24,5,lauum,82842744,76223377,8920145,6258710,0.692600
dlauum,10000,500,24,5,syrk,82842744,76223377,8920145,6258710,0.692600
dlauum,10000,500,24,5,trmm,82842744,76223377,8920145,6258710,0.692600
dlauum,10000,500,24,5,gemm,82842744,76223377,8920145,6258710,0.692600
dlauum,10000,500,24,5,laset,82842744,76223377,8920145,6258710,0.692600
dlauum,10000,500,24,5,zasum,82842744,76223377,8920145,6258710,0.692600
dlauum,10000,500,24,5,gessq,82842744,76223377,8920145,6258710,0.692600
dlauum,10000,500,24,5,lacpy,82842744,76223377,8920145,6258710,0.692600
dlauum,10000,500,24,5,lascal,82842744,76223377,8920145,6258710,0.692600
dlauum,10000,500,24,5,gemv,82842744,76223377,8920145,6258710,0.692600
dlauum,10000,500,24,5,plssq2,82842744,76223377,8920145,6258710,0.692600
dlauum,10000,500,24,6,lauum,82280368,76389208,8159276,7559822,0.712700
dlauum,10000,500,24,6,syrk,82280368,76389208,8159276,7559822,0.712700
dlauum,10000,500,24,6,trmm,82280368,76389208,8159276,7559822,0.712700
dlauum,10000,500,24,6,gemm,82280368,76389208,8159276,7559822,0.712700
dlauum,10000,500,24,6,laset,82280368,76389208,8159276,7559822,0.712700
dlauum,10000,500,24,6,zasum,82280368,76389208,8159276,7559822,0.712700
dlauum,10000,500,24,6,gessq,82280368,76389208,8159276,7559822,0.712700
dlauum,10000,500,24,6,lacpy,82280368,76389208,8159276,7559822,0.712700
dlauum,10000,500,24,6,lascal,82280368,76389208,8159276,7559822,0.712700
dlauum,10000,500,24,6,gemv,82280368,76389208,8159276,7559822,0.712700
dlauum,10000,500,24,6,plssq2,82280368,76389208,8159276,7559822,0.712700
dlauum,10000,500,24,7,lauum,80898231,75085685,8848434,7890531,0.779800
dlauum,10000,500,24,7,syrk,80898231,75085685,8848434,7890531,0.779800
dlauum,10000,500,24,7,trmm,80898231,75085685,8848434,7890531,0.779800
dlauum,10000,500,24,7,gemm,80898231,75085685,8848434,7890531,0.779800
dlauum,10000,500,24,7,laset,80898231,75085685,8848434,7890531,0.779800
dlauum,10000,500,24,7,zasum,80898231,75085685,8848434,7890531,0.779800
dlauum,10000,500,24,7,gessq,80898231,75085685,8848434,7890531,0.779800
dlauum,10000,500,24,7,lacpy,80898231,75085685,8848434,7890531,0.779800
dlauum,10000,500,24,7,lascal,80898231,75085685,8848434,7890531,0.779800
dlauum,10000,500,24,7,gemv,80898231,75085685,8848434,7890531,0.779800
dlauum,10000,500,24,7,plssq2,80898231,75085685,8848434,7890531,0.779800
dlauum,10000,500,24,8,lauum,81416235,73856989,8966779,8154670,0.803500
dlauum,10000,500,24,8,syrk,81416235,73856989,8966779,8154670,0.803500
dlauum,10000,500,24,8,trmm,81416235,73856989,8966779,8154670,0.803500
dlauum,10000,500,24,8,gemm,81416235,73856989,8966779,8154670,0.803500
dlauum,10000,500,24,8,laset,81416235,73856989,8966779,8154670,0.803500
dlauum,10000,500,24,8,zasum,81416235,73856989,8966779,8154670,0.803500
