algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_RES_STL,PAPI_TOT_CYC,PAPI_BR_MSP,
dpoinv,potrf,10000,500,31457280,1200000,20,44849,326509182,27914472,115370411,100557,
dpoinv,trsm,10000,500,31457280,1200000,570,2409999,21375396452,1791685602,7243747957,4578628,
dpoinv,syrk,10000,500,31457280,1200000,380,1929227,13496923747,1293567232,4677778569,483791,
dpoinv,gemm,10000,500,31457280,1200000,3420,49978018,209613077328,11532583043,63940537769,2617125,
dpoinv,trtri,10000,500,31457280,1200000,20,45157,432782082,71622488,188089514,193531,
dpoinv,lauum,10000,500,31457280,1200000,20,57027,276999102,37605799,108353371,97395,
dpoinv,trmm,10000,500,31457280,1200000,190,2564102,6489294486,671113050,2273494870,1458092,
dpoinv,potrf,10000,500,31457280,2301000,20,44537,326509167,30983373,118567999,97916,
dpoinv,trsm,10000,500,31457280,2301000,570,2562358,21375395582,2195398380,7643759856,4488421,
dpoinv,syrk,10000,500,31457280,2301000,380,2047192,13496923190,1437209625,4822464334,441709,
dpoinv,gemm,10000,500,31457280,2301000,3420,50551088,209613069885,14634692567,67038747681,2627150,
dpoinv,trtri,10000,500,31457280,2301000,20,45011,432782061,83237437,200036839,199813,
dpoinv,lauum,10000,500,31457280,2301000,20,56907,276999091,46435844,117386467,96131,
dpoinv,trmm,10000,500,31457280,2301000,190,2594693,6489294223,871970708,2474305863,1466745,
dpoinv,potrf,10000,600,31457280,1200000,17,52080,434324264,34765106,150109510,107921,
dpoinv,trsm,10000,600,31457280,1200000,408,3230526,24226664335,1839365937,7997435463,4122946,
dpoinv,syrk,10000,600,31457280,1200000,272,1368298,15656378153,1443783536,5364033534,524921,
dpoinv,gemm,10000,600,31457280,1200000,2040,43555108,203136925066,10775591273,61700558549,4234425,
dpoinv,trtri,10000,600,31457280,1200000,17,55519,509958077,78516137,213269367,213947,
dpoinv,lauum,10000,600,31457280,1200000,17,71848,375694331,47990747,143322207,115850,
dpoinv,trmm,10000,600,31457280,1200000,136,2876793,7406561561,681677874,2519881772,1410915,
dpoinv,potrf,10000,600,31457280,2301000,17,51262,434324246,38751485,154279045,108567,
dpoinv,trsm,10000,600,31457280,2301000,408,3268879,24226663393,2216802702,8373757218,4082205,
