algorithm,matrix_size,tile_size,threads,case,task,PKG1,PKG2,DRAM1,DRAM2,time
dpoinv,20000,500,24,1,potrf,1620204531,1618603462,145773214,138292860,11.908200
dpoinv,20000,500,24,1,trsm,1620204531,1618603462,145773214,138292860,11.908200
dpoinv,20000,500,24,1,syrk,1620204531,1618603462,145773214,138292860,11.908200
dpoinv,20000,500,24,1,gemm,1620204531,1618603462,145773214,138292860,11.908200
dpoinv,20000,500,24,1,trtri,1620204531,1618603462,145773214,138292860,11.908200
dpoinv,20000,500,24,1,lauum,1620204531,1618603462,145773214,138292860,11.908200
dpoinv,20000,500,24,1,trmm,1620204531,1618603462,145773214,138292860,11.908200
dpoinv,20000,500,24,2,potrf,1520262954,1542508746,149697036,141391890,12.377200
dpoinv,20000,500,24,2,trsm,1520262954,1542508746,149697036,141391890,12.377200
dpoinv,20000,500,24,2,syrk,1520262954,1542508746,149697036,141391890,12.377200
dpoinv,20000,500,24,2,gemm,1520262954,1542508746,149697036,141391890,12.377200
dpoinv,20000,500,24,2,trtri,1520262954,1542508746,149697036,141391890,12.377200
dpoinv,20000,500,24,2,lauum,1520262954,1542508746,149697036,141391890,12.377200
dpoinv,20000,500,24,2,trmm,1520262954,1542508746,149697036,141391890,12.377200
dpoinv,20000,500,24,3,potrf,1556666181,1558995215,153857320,144899400,12.805400
dpoinv,20000,500,24,3,trsm,1556666181,1558995215,153857320,144899400,12.805400
dpoinv,20000,500,24,3,syrk,1556666181,1558995215,153857320,144899400,12.805400
dpoinv,20000,500,24,3,gemm,1556666181,1558995215,153857320,144899400,12.805400
dpoinv,20000,500,24,3,trtri,1556666181,1558995215,153857320,144899400,12.805400
dpoinv,20000,500,24,3,lauum,1556666181,1558995215,153857320,144899400,12.805400
dpoinv,20000,500,24,3,trmm,1556666181,1558995215,153857320,144899400,12.805400
dpoinv,20000,500,24,4,potrf,1565051719,1567052995,158631670,141204450,12.877500
dpoinv,20000,500,24,4,trsm,1565051719,1567052995,158631670,141204450,12.877500
dpoinv,20000,500,24,4,syrk,1565051719,1567052995,158631670,141204450,12.877500
dpoinv,20000,500,24,4,gemm,1565051719,1567052995,158631670,141204450,12.877500
dpoinv,20000,500,24,4,trtri,1565051719,1567052995,158631670,141204450,12.877500
dpoinv,20000,500,24,4,lauum,1565051719,1567052995,158631670,141204450,12.877500
dpoinv,20000,500,24,4,trmm,1565051719,1567052995,158631670,141204450,12.877500
dpoinv,20000,500,24,5,potrf,1537447541,1540355737,152464530,144788857,12.667900
dpoinv,20000,500,24,5,trsm,1537447541,1540355737,152464530,144788857,12.667900
dpoinv,20000,500,24,5,syrk,1537447541,1540355737,152464530,144788857,12.667900
dpoinv,20000,500,24,5,gemm,1537447541,1540355737,152464530,144788857,12.667900
dpoinv,20000,500,24,5,trtri,1537447541,1540355737,152464530,144788857,12.667900
dpoinv,20000,500,24,5,lauum,1537447541,1540355737,152464530,144788857,12.667900
dpoinv,20000,500,24,5,trmm,1537447541,1540355737,152464530,144788857,12.667900
dpoinv,20000,500,24,6,potrf,1551595088,1555841781,152966737,146025617,12.753300
dpoinv,20000,500,24,6,trsm,1551595088,1555841781,152966737,146025617,12.753300
dpoinv,20000,500,24,6,syrk,1551595088,1555841781,152966737,146025617,12.753300
dpoinv,20000,500,24,6,gemm,1551595088,1555841781,152966737,146025617,12.753300
dpoinv,20000,500,24,6,trtri,1551595088,1555841781,152966737,146025617,12.753300
dpoinv,20000,500,24,6,lauum,1551595088,1555841781,152966737,146025617,12.753300
dpoinv,20000,500,24,6,trmm,1551595088,1555841781,152966737,146025617,12.753300
dpoinv,20000,500,24,7,potrf,1588567100,1589420492,155571792,147682347,13.073300
dpoinv,20000,500,24,7,trsm,1588567100,1589420492,155571792,147682347,13.073300
dpoinv,20000,500,24,7,syrk,1588567100,1589420492,155571792,147682347,13.073300
dpoinv,20000,500,24,7,gemm,1588567100,1589420492,155571792,147682347,13.073300
dpoinv,20000,500,24,7,trtri,1588567100,1589420492,155571792,147682347,13.073300
dpoinv,20000,500,24,7,lauum,1588567100,1589420492,155571792,147682347,13.073300
dpoinv,20000,500,24,7,trmm,1588567100,1589420492,155571792,147682347,13.073300
dpoinv,20000,500,24,8,potrf,1587988428,1588253137,154164666,148653729,13.039800
dpoinv,20000,500,24,8,trsm,1587988428,1588253137,154164666,148653729,13.039800
dpoinv,20000,500,24,8,syrk,1587988428,1588253137,154164666,148653729,13.039800
dpoinv,20000,500,24,8,gemm,1587988428,1588253137,154164666,148653729,13.039800
dpoinv,20000,500,24,8,trtri,1587988428,1588253137,154164666,148653729,13.039800
dpoinv,20000,500,24,8,lauum,1587988428,1588253137,154164666,148653729,13.039800
dpoinv,20000,500,24,8,trmm,1587988428,1588253137,154164666,148653729,13.039800
dpoinv,20000,500,24,9,potrf,1689369393,1511382483,218103443,209320111,21.221600
dpoinv,20000,500,24,9,trsm,1689369393,1511382483,218103443,209320111,21.221600
dpoinv,20000,500,24,9,syrk,1689369393,1511382483,218103443,209320111,21.221600
dpoinv,20000,500,24,9,gemm,1689369393,1511382483,218103443,209320111,21.221600
dpoinv,20000,500,24,9,trtri,1689369393,1511382483,218103443,209320111,21.221600
dpoinv,20000,500,24,9,lauum,1689369393,1511382483,218103443,209320111,21.221600
dpoinv,20000,500,24,9,trmm,1689369393,1511382483,218103443,209320111,21.221600
dpoinv,20000,500,24,10,potrf,1690555487,1507261156,217630902,211167509,21.313100
dpoinv,20000,500,24,10,trsm,1690555487,1507261156,217630902,211167509,21.313100
dpoinv,20000,500,24,10,syrk,1690555487,1507261156,217630902,211167509,21.313100
dpoinv,20000,500,24,10,gemm,1690555487,1507261156,217630902,211167509,21.313100
dpoinv,20000,500,24,10,trtri,1690555487,1507261156,217630902,211167509,21.313100
