algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_RES_STL,PAPI_TOT_CYC,PAPI_BR_MSP,
dpotri,trsm,10000,500,31457280,1200000,380,2236508,13919051427,1253192677,4762207726,2692234,
dpotri,trtri,10000,500,31457280,1200000,20,3804,432780654,71790574,187836145,184537,
dpotri,gemm,10000,500,31457280,1200000,2280,52892551,139940527790,8197377746,43189067138,1658158,
dpotri,lauum,10000,500,31457280,1200000,20,222443,276999105,39544479,109937131,78006,
dpotri,syrk,10000,500,31457280,1200000,190,4790086,6827857236,737739793,2450204642,234368,
dpotri,trmm,10000,500,31457280,1200000,190,4365497,6489294488,706754180,2309250879,1463551,
dpotri,trsm,10000,500,31457280,2301000,380,2480904,13919050868,1583072838,5088884236,2594161,
dpotri,trtri,10000,500,31457280,2301000,20,3943,432780637,83503694,199503266,180121,
dpotri,gemm,10000,500,31457280,2301000,2280,53417225,139940522710,10923181634,45914459217,1624415,
dpotri,lauum,10000,500,31457280,2301000,20,225524,276999094,52247096,122795239,76947,
dpotri,syrk,10000,500,31457280,2301000,190,4799019,6827856945,902864898,2615572450,246597,
dpotri,trmm,10000,500,31457280,2301000,190,4395478,6489294239,970761894,2573188031,1451665,
dpotri,trsm,10000,600,31457280,1200000,272,2257707,15760996401,1274038554,5237526576,2352797,
dpotri,trtri,10000,600,31457280,1200000,17,7517,509956685,78688918,213142769,203397,
dpotri,gemm,10000,600,31457280,1200000,1360,47727797,135557368271,7567584938,41538036356,2630169,
dpotri,lauum,10000,600,31457280,1200000,17,280971,375694217,50543056,145603503,103065,
dpotri,syrk,10000,600,31457280,1200000,136,4688938,7999738922,834272023,2839926740,303934,
dpotri,trmm,10000,600,31457280,1200000,136,4505464,7406561565,709312789,2547512601,1404409,
dpotri,trsm,10000,600,31457280,2301000,272,2433810,15760995784,1572797555,5538697156,2419298,
dpotri,trtri,10000,600,31457280,2301000,17,6152,509956624,91524299,226116840,209989,
dpotri,gemm,10000,600,31457280,2301000,1360,48281933,135557363362,9982920497,43959526448,2757634,
dpotri,lauum,10000,600,31457280,2301000,17,278481,375694649,66361730,161560587,99156,
dpotri,syrk,10000,600,31457280,2301000,136,4611040,7999738528,1011281820,3017725360,286672,
dpotri,trmm,10000,600,31457280,2301000,136,4522875,7406561272,934642911,2773011250,1408603,
