algorithm,matrix_size,tile_size,threads,case,task,PKG1,PKG2,DRAM1,DRAM2,time
dpotri,14000,500,24,1,trsm,390991858,386404101,35443674,35122083,2.899800
dpotri,14000,500,24,1,trtri,390991858,386404101,35443674,35122083,2.899800
dpotri,14000,500,24,1,gemm,390991858,386404101,35443674,35122083,2.899800
dpotri,14000,500,24,1,lauum,390991858,386404101,35443674,35122083,2.899800
dpotri,14000,500,24,1,syrk,390991858,386404101,35443674,35122083,2.899800
dpotri,14000,500,24,1,trmm,390991858,386404101,35443674,35122083,2.899800
dpotri,14000,500,24,2,trsm,394203031,392726473,36381258,35874430,3.001300
dpotri,14000,500,24,2,trtri,394203031,392726473,36381258,35874430,3.001300
dpotri,14000,500,24,2,gemm,394203031,392726473,36381258,35874430,3.001300
dpotri,14000,500,24,2,lauum,394203031,392726473,36381258,35874430,3.001300
dpotri,14000,500,24,2,syrk,394203031,392726473,36381258,35874430,3.001300
dpotri,14000,500,24,2,trmm,394203031,392726473,36381258,35874430,3.001300
dpotri,14000,500,24,3,trsm,391818577,389695230,37003923,33548035,2.879200
dpotri,14000,500,24,3,trtri,391818577,389695230,37003923,33548035,2.879200
dpotri,14000,500,24,3,gemm,391818577,389695230,37003923,33548035,2.879200
dpotri,14000,500,24,3,lauum,391818577,389695230,37003923,33548035,2.879200
dpotri,14000,500,24,3,syrk,391818577,389695230,37003923,33548035,2.879200
dpotri,14000,500,24,3,trmm,391818577,389695230,37003923,33548035,2.879200
dpotri,14000,500,24,4,trsm,397988239,392655977,37117892,35398998,3.019400
dpotri,14000,500,24,4,trtri,397988239,392655977,37117892,35398998,3.019400
dpotri,14000,500,24,4,gemm,397988239,392655977,37117892,35398998,3.019400
dpotri,14000,500,24,4,lauum,397988239,392655977,37117892,35398998,3.019400
dpotri,14000,500,24,4,syrk,397988239,392655977,37117892,35398998,3.019400
dpotri,14000,500,24,4,trmm,397988239,392655977,37117892,35398998,3.019400
dpotri,14000,500,24,5,trsm,401386668,358015257,52819409,50439158,4.994700
dpotri,14000,500,24,5,trtri,401386668,358015257,52819409,50439158,4.994700
dpotri,14000,500,24,5,gemm,401386668,358015257,52819409,50439158,4.994700
dpotri,14000,500,24,5,lauum,401386668,358015257,52819409,50439158,4.994700
dpotri,14000,500,24,5,syrk,401386668,358015257,52819409,50439158,4.994700
dpotri,14000,500,24,5,trmm,401386668,358015257,52819409,50439158,4.994700
dpotri,14000,500,24,6,trsm,400617749,355632878,53783141,51418863,5.131500
dpotri,14000,500,24,6,trtri,400617749,355632878,53783141,51418863,5.131500
dpotri,14000,500,24,6,gemm,400617749,355632878,53783141,51418863,5.131500
dpotri,14000,500,24,6,lauum,400617749,355632878,53783141,51418863,5.131500
dpotri,14000,500,24,6,syrk,400617749,355632878,53783141,51418863,5.131500
dpotri,14000,500,24,6,trmm,400617749,355632878,53783141,51418863,5.131500
dpotri,14000,500,24,7,trsm,397990802,358863339,52540828,50527408,4.992600
dpotri,14000,500,24,7,trtri,397990802,358863339,52540828,50527408,4.992600
dpotri,14000,500,24,7,gemm,397990802,358863339,52540828,50527408,4.992600
dpotri,14000,500,24,7,lauum,397990802,358863339,52540828,50527408,4.992600
dpotri,14000,500,24,7,syrk,397990802,358863339,52540828,50527408,4.992600
dpotri,14000,500,24,7,trmm,397990802,358863339,52540828,50527408,4.992600
dpotri,14000,500,24,8,trsm,400316907,355220771,53806443,51689520,5.140800
dpotri,14000,500,24,8,trtri,400316907,355220771,53806443,51689520,5.140800
dpotri,14000,500,24,8,gemm,400316907,355220771,53806443,51689520,5.140800
dpotri,14000,500,24,8,lauum,400316907,355220771,53806443,51689520,5.140800
dpotri,14000,500,24,8,syrk,400316907,355220771,53806443,51689520,5.140800
dpotri,14000,500,24,8,trmm,400316907,355220771,53806443,51689520,5.140800
dpotri,14000,500,24,9,trsm,392688448,392396029,36628552,34144184,2.898200
dpotri,14000,500,24,9,trtri,392688448,392396029,36628552,34144184,2.898200
dpotri,14000,500,24,9,gemm,392688448,392396029,36628552,34144184,2.898200
dpotri,14000,500,24,9,lauum,392688448,392396029,36628552,34144184,2.898200
dpotri,14000,500,24,9,syrk,392688448,392396029,36628552,34144184,2.898200
dpotri,14000,500,24,9,trmm,392688448,392396029,36628552,34144184,2.898200
dpotri,14000,500,24,10,trsm,397688557,391243261,38098071,34565439,3.049700
dpotri,14000,500,24,10,trtri,397688557,391243261,38098071,34565439,3.049700
dpotri,14000,500,24,10,gemm,397688557,391243261,38098071,34565439,3.049700
dpotri,14000,500,24,10,lauum,397688557,391243261,38098071,34565439,3.049700
dpotri,14000,500,24,10,syrk,397688557,391243261,38098071,34565439,3.049700
dpotri,14000,500,24,10,trmm,397688557,391243261,38098071,34565439,3.049700
dpotri,14000,500,24,11,trsm,391474157,390964209,36911785,33539803,2.885400
dpotri,14000,500,24,11,trtri,391474157,390964209,36911785,33539803,2.885400
dpotri,14000,500,24,11,gemm,391474157,390964209,36911785,33539803,2.885400
dpotri,14000,500,24,11,lauum,391474157,390964209,36911785,33539803,2.885400
dpotri,14000,500,24,11,syrk,391474157,390964209,36911785,33539803,2.885400
dpotri,14000,500,24,11,trmm,391474157,390964209,36911785,33539803,2.885400
dpotri,14000,500,24,12,trsm,396335839,383715815,38186154,35380944,3.087500
dpotri,14000,500,24,12,trtri,396335839,383715815,38186154,35380944,3.087500
dpotri,14000,500,24,12,gemm,396335839,383715815,38186154,35380944,3.087500
dpotri,14000,500,24,12,lauum,396335839,383715815,38186154,35380944,3.087500
dpotri,14000,500,24,12,syrk,396335839,383715815,38186154,35380944,3.087500
dpotri,14000,500,24,12,trmm,396335839,383715815,38186154,35380944,3.087500
dpotri,14000,500,24,13,trsm,401045116,359529170,53284637,49999834,5.003200
dpotri,14000,500,24,13,trtri,401045116,359529170,53284637,49999834,5.003200
dpotri,14000,500,24,13,gemm,401045116,359529170,53284637,49999834,5.003200
dpotri,14000,500,24,13,lauum,401045116,359529170,53284637,49999834,5.003200
dpotri,14000,500,24,13,syrk,401045116,359529170,53284637,49999834,5.003200
dpotri,14000,500,24,13,trmm,401045116,359529170,53284637,49999834,5.003200
dpotri,14000,500,24,14,trsm,400555859,356592410,54286297,51151266,5.126100
dpotri,14000,500,24,14,trtri,400555859,356592410,54286297,51151266,5.126100
dpotri,14000,500,24,14,gemm,400555859,356592410,54286297,51151266,5.126100
dpotri,14000,500,24,14,lauum,400555859,356592410,54286297,51151266,5.126100
dpotri,14000,500,24,14,syrk,400555859,356592410,54286297,51151266,5.126100
dpotri,14000,500,24,14,trmm,400555859,356592410,54286297,51151266,5.126100
dpotri,14000,500,24,15,trsm,399379531,357743469,52431356,50508344,4.977200
dpotri,14000,500,24,15,trtri,399379531,357743469,52431356,50508344,4.977200
dpotri,14000,500,24,15,gemm,399379531,357743469,52431356,50508344,4.977200
dpotri,14000,500,24,15,lauum,399379531,357743469,52431356,50508344,4.977200
dpotri,14000,500,24,15,syrk,399379531,357743469,52431356,50508344,4.977200
dpotri,14000,500,24,15,trmm,399379531,357743469,52431356,50508344,4.977200
dpotri,14000,500,24,16,trsm,401729868,355752812,54187872,50873724,5.132500
dpotri,14000,500,24,16,trtri,401729868,355752812,54187872,50873724,5.132500
dpotri,14000,500,24,16,gemm,401729868,355752812,54187872,50873724,5.132500
dpotri,14000,500,24,16,lauum,401729868,355752812,54187872,50873724,5.132500
dpotri,14000,500,24,16,syrk,401729868,355752812,54187872,50873724,5.132500
dpotri,14000,500,24,16,trmm,401729868,355752812,54187872,50873724,5.132500
dpotri,14000,500,24,17,trsm,401060192,396382041,36985317,34644096,2.974000
dpotri,14000,500,24,17,trtri,401060192,396382041,36985317,34644096,2.974000
dpotri,14000,500,24,17,gemm,401060192,396382041,36985317,34644096,2.974000
dpotri,14000,500,24,17,lauum,401060192,396382041,36985317,34644096,2.974000
dpotri,14000,500,24,17,syrk,401060192,396382041,36985317,34644096,2.974000
dpotri,14000,500,24,17,trmm,401060192,396382041,36985317,34644096,2.974000
dpotri,14000,500,24,18,trsm,405235474,382388791,38163494,36411322,3.189100
dpotri,14000,500,24,18,trtri,405235474,382388791,38163494,36411322,3.189100
dpotri,14000,500,24,18,gemm,405235474,382388791,38163494,36411322,3.189100
dpotri,14000,500,24,18,lauum,405235474,382388791,38163494,36411322,3.189100
dpotri,14000,500,24,18,syrk,405235474,382388791,38163494,36411322,3.189100
dpotri,14000,500,24,18,trmm,405235474,382388791,38163494,36411322,3.189100
dpotri,14000,500,24,19,trsm,398941850,396823264,37645099,33771583,2.955900
dpotri,14000,500,24,19,trtri,398941850,396823264,37645099,33771583,2.955900
dpotri,14000,500,24,19,gemm,398941850,396823264,37645099,33771583,2.955900
dpotri,14000,500,24,19,lauum,398941850,396823264,37645099,33771583,2.955900
dpotri,14000,500,24,19,syrk,398941850,396823264,37645099,33771583,2.955900
dpotri,14000,500,24,19,trmm,398941850,396823264,37645099,33771583,2.955900
dpotri,14000,500,24,20,trsm,399828383,391543065,38808052,35566166,3.149300
dpotri,14000,500,24,20,trtri,399828383,391543065,38808052,35566166,3.149300
dpotri,14000,500,24,20,gemm,399828383,391543065,38808052,35566166,3.149300
dpotri,14000,500,24,20,lauum,399828383,391543065,38808052,35566166,3.149300
