algorithm,matrix_size,tile_size,case,PKG1,PKG2,DRAM1,DRAM2,time
invert,20480,512,1,1366858257,1348804286,157108662,74493129,10.028300
invert,20480,512,2,1376078508,1360436519,159177849,75616578,10.125600
invert,20480,512,3,1383613096,1169496030,221477935,126813224,17.409600
invert,20480,512,4,1392840001,1168428772,222336402,126724881,17.463400
invert,20480,512,5,1398671591,1342662823,160904944,77529919,10.368000
invert,20480,512,6,1404710454,1340406908,161361679,77775377,10.432300
invert,20480,512,7,1391140055,1165249214,223843896,129229966,17.714300
invert,20480,512,8,1391285012,1165127572,224268502,129211025,17.745500
invert,20480,512,9,1373733421,1358776917,159295231,76605815,10.081200
invert,20480,512,10,1380530889,1360602291,159826722,76900508,10.161300
invert,20480,512,11,1394057039,1170981804,222562093,127792072,17.442200
invert,20480,512,12,1397429833,1170837640,223878841,128331381,17.503000
invert,20480,512,13,1400766189,1341337569,161846659,78336918,10.377600
invert,20480,512,14,1405858644,1347280608,161680226,79416104,10.461300
invert,20480,512,15,1396466945,1166096746,224554963,129455014,17.762200
invert,20480,512,16,1310962037,1241368282,139242836,214583418,17.778700
invert,20480,1024,1,1327583089,1317900679,109892984,133429724,9.964500
invert,20480,1024,2,1399275226,1381295841,162899712,89718879,10.703100
invert,20480,1024,3,1401776196,1191798340,218961115,138997868,17.321400
invert,20480,1024,4,1428237006,1210754713,225791433,140647423,17.870800
invert,20480,1024,5,1406241945,1352568742,164395164,94572972,10.953600
invert,20480,1024,6,1450319041,1386863515,169368430,98449992,11.477400
invert,20480,1024,7,1423298968,1199389874,229562302,144001702,18.306500
invert,20480,1024,8,1432131527,1212054881,232129979,145996807,18.570300
invert,20480,1024,9,1367909035,1349887230,159146974,88531767,10.369100
invert,20480,1024,10,1415874488,1387006032,165006139,90955608,10.881200
invert,20480,1024,11,1412790634,1196709827,221687621,139264089,17.549000
invert,20480,1024,12,1425731396,1205160367,223623255,142092033,17.886000
invert,20480,1024,13,1404422613,1354952403,165750332,95157983,11.062100
invert,20480,1024,14,1445819846,1372246670,170522019,98675422,11.562000
invert,20480,1024,15,1410506094,1191809388,227810513,143902819,18.177500
invert,20480,1024,16,1436153550,1213902044,233352724,146600806,18.690500
invert,20480,2048,1,1858731875,1722797165,210584029,120408675,15.320700
invert,20480,2048,2,2107323951,1957409967,243415503,146398616,18.549200
invert,20480,2048,3,1931445678,1704694489,299258790,194795087,25.384900
invert,20480,2048,4,1991027984,1758728041,310041495,203568107,26.494000
invert,20480,2048,5,1945496362,1754169582,233234164,140608285,17.845600
invert,20480,2048,6,2110532989,1958816946,260447631,161187979,20.394500
invert,20480,2048,7,1926461926,1619151494,308147615,205253355,26.737400
invert,20480,2048,8,2097133670,1757541887,339022127,229074231,29.930400
invert,20480,2048,9,1874722801,1756796528,213950349,127210703,15.869800
invert,20480,2048,10,2056377487,1919293304,236920638,148576403,18.296700
invert,20480,2048,11,1875318136,1592025710,285071803,185207066,24.092600
invert,20480,2048,12,1984891464,1681768583,304485070,201359673,26.188600
invert,20480,2048,13,1900651323,1818017807,176321898,205972624,18.369200
invert,20480,2048,14,2128772138,1960363023,263332645,164009712,20.967000
invert,20480,2048,15,1934280875,1623002559,311565696,205258848,26.945400
invert,20480,2048,16,2049136661,1737113778,335234368,225973442,29.453300
