algorithm,matrix_size,tile_size,case,PKG1,PKG2,DRAM1,DRAM2,time
lu,28672,512,1,3678395124,3714626355,275909995,446419728,30.931600
lu,28672,512,2,3744439816,3751294474,286580260,453661279,32.028300
lu,28672,512,3,3963758957,3680832863,492282962,664101335,57.302800
lu,28672,512,4,3909861207,3625519589,485375732,649454078,57.027200
lu,28672,512,5,3577404721,3625073300,287010175,459138970,31.781000
lu,28672,512,6,3563753939,3576828734,286739350,461317919,31.850500
lu,28672,512,7,3780311734,3546622818,485851194,659732298,56.849300
lu,28672,512,8,3668738777,3444890779,470158535,648403825,55.314000
lu,28672,512,9,3722612052,3782790304,289873693,458969905,32.388300
lu,28672,512,10,3722301811,3695592895,290820855,457251011,32.000800
lu,28672,512,11,3898322357,3580630543,480446791,653373311,56.642900
lu,28672,512,12,3881058119,3589411710,487143646,661244412,56.745200
lu,28672,512,13,3590248377,3585172097,289529442,459797206,32.742400
lu,28672,512,14,3571791211,3543522057,289688609,460683933,32.810900
lu,28672,512,15,3778778107,3494774318,486004653,655115324,56.926500
lu,28672,512,16,3752921484,3485564319,487120008,660544849,57.056000
lu,28672,1024,1,5697194643,5443954081,529637545,640352553,53.422900
lu,28672,1024,2,5699198118,5524468706,533993760,650051804,54.304400
lu,28672,1024,3,7394242912,6455230057,985055340,1025968765,104.223000
lu,28672,1024,4,7273358577,6554678777,996379207,1046349818,105.191000
lu,28672,1024,5,5149123049,5102375853,544661671,661368097,56.321000
lu,28672,1024,6,5347957379,4859350963,554640545,674446506,57.616000
lu,28672,1024,7,6683306316,6024320210,989131383,1046405831,105.743000
lu,28672,1024,8,6777481367,6012336293,1001339192,1056608560,106.676000
lu,28672,1024,9,5561995466,5565725010,540364788,656718213,54.369900
lu,28672,1024,10,5626274842,5315425846,531586795,646442885,54.284300
lu,28672,1024,11,7051166580,6466450364,978477457,1032525243,103.299000
lu,28672,1024,12,7135804425,6542062965,1001811365,1042135601,105.078000
lu,28672,1024,13,5119870011,5000856583,553394008,676304906,56.665600
lu,28672,1024,14,5116499230,4941707076,546654664,671977790,57.158400
lu,28672,1024,15,6545169036,5876347445,985782228,1045531941,105.265000
lu,28672,1024,16,6563879253,5907786878,998159453,1058424915,106.840000
lu,28672,2048,1,9654516544,8870644710,1000116477,1001166439,97.171800
lu,28672,2048,2,9621599514,9460991466,1053123357,1040501729,102.520000
lu,28672,2048,3,13279551880,12117314316,1905944439,1715128914,191.832000
lu,28672,2048,4,13195301730,12275178903,1945359917,1743822197,196.562000
lu,28672,2048,5,8682932544,8040478440,1049207201,1041920575,103.550000
lu,28672,2048,6,8943433159,7951008820,1077376795,1085805182,108.351000
lu,28672,2048,7,12361242037,10644559176,2214215480,1439901329,197.981000
lu,28672,2048,8,12292312221,10845710150,1987831784,1773868980,201.339000
lu,28672,2048,9,9741474268,8645214441,1008224589,1013416828,98.716000
lu,28672,2048,10,9815359333,8729283500,1056568918,1059914798,103.627000
lu,28672,2048,11,12928858869,11812717440,1901911329,1708529473,191.911000
lu,28672,2048,12,13193987403,11921632811,1937517963,1751634255,196.429000
lu,28672,2048,13,8594500276,7647223404,1038326574,1062245493,103.796000
lu,28672,2048,14,8828018293,7750775568,1072444351,1104154977,108.816000
lu,28672,2048,15,11798302133,10446588063,1916776733,1752847713,196.909000
lu,28672,2048,16,11904253278,10593533305,1954323835,1785538152,201.769000
