algorithm, matrix_size, tile_size, case, PKG1, PKG2, DRAM1, DRAM2, time
qr, 16384, 512, 1, 1888786303, 1876512164, 212475797, 162489259, 13.916600
qr, 16384, 512, 2, 1819978251, 1821176307, 213313992, 168232634, 14.384200
qr, 16384, 512, 3, 1968654262, 1836732053, 264010803, 204930632, 18.904700
qr, 16384, 512, 4, 1934060417, 1788486938, 225400457, 177209037, 15.597000
qr, 16384, 512, 5, 1807264905, 1699325606, 278414834, 229850156, 22.687100
qr, 16384, 512, 6, 1814320490, 1705205900, 283510377, 231913284, 23.072400
qr, 16384, 512, 7, 1754104457, 1761201240, 233570672, 306357132, 24.246200
qr, 16384, 512, 8, 1825488735, 1702115089, 298237056, 243819607, 24.610400
qr, 16384, 512, 9, 1874110619, 1859936706, 211607231, 163406433, 13.910500
qr, 16384, 512, 10, 1830673537, 1828414387, 215066821, 169900364, 14.541400
qr, 16384, 512, 11, 1920476651, 1841516770, 223842748, 176461602, 15.506400
qr, 16384, 512, 12, 1934786307, 1729182951, 242682832, 189469692, 16.967300
qr, 16384, 512, 13, 1793541918, 1696175102, 280274381, 230655961, 22.763200
qr, 16384, 512, 14, 1824435271, 1698408189, 283663102, 234575561, 23.164600
qr, 16384, 512, 15, 1835327882, 1716365967, 295020368, 244391751, 24.573800
qr, 16384, 512, 16, 1842759931, 1722771285, 303514132, 248230888, 25.218600
qr, 16384, 1024, 1, 4718048408, 3879849687, 656249084, 362733195, 38.962500
qr, 16384, 1024, 2, 4913947931, 3976153273, 721015071, 363811172, 41.781900
qr, 16384, 1024, 3, 4654814438, 3819497547, 757131531, 413624514, 45.405700
qr, 16384, 1024, 4, 5055571469, 4063049840, 829177135, 443528899, 51.114000
qr, 16384, 1024, 5, 3997048971, 3599137088, 761039916, 396420904, 45.554100
qr, 16384, 1024, 6, 3867529161, 3545182819, 770137266, 386872832, 45.025700
qr, 16384, 1024, 7, 3929239209, 3267680966, 865982754, 448096011, 52.673700
qr, 16384, 1024, 8, 3738259534, 3019945882, 830137134, 428423011, 49.343100
qr, 16384, 1024, 9, 4920162880, 3936747368, 715600814, 360723587, 41.488900
qr, 16384, 1024, 10, 4937101802, 3974827898, 731988077, 367734153, 42.562800
qr, 16384, 1024, 11, 4952244280, 3977370311, 838464893, 427393214, 50.149100
qr, 16384, 1024, 12, 4553871216, 3728966772, 784107344, 423654583, 46.191800
qr, 16384, 1024, 13, 3853877463, 3317186454, 738101590, 384367610, 43.612500
qr, 16384, 1024, 14, 3973507283, 3413630055, 793653962, 391816797, 45.930300
qr, 16384, 1024, 15, 3681874059, 3090000696, 806377503, 449869235, 49.421500
qr, 16384, 1024, 16, 3887042601, 3175440784, 880475816, 466241092, 54.982700
qr, 16384, 2048, 1, 15869574547, 13294981773, 2390930051, 1226382929, 157.136000
qr, 16384, 2048, 2, 12817270776, 10540468927, 2105585663, 994047136, 126.525000
qr, 16384, 2048, 3, 14133765209, 11731920954, 2447874326, 1220957412, 154.972000
qr, 16384, 2048, 4, 15098677351, 12314259918, 2585826179, 1375672312, 176.590000
qr, 16384, 2048, 5, 11393113961, 9635564994, 2213318731, 1103173987, 140.119000
qr, 16384, 2048, 6, 8999572115, 9706121088, 1158729557, 2025355753, 122.488000
qr, 16384, 2048, 7, 10833192665, 9142525240, 2357020937, 1169404673, 149.134000
qr, 16384, 2048, 8, 10486489634, 8893728514, 2392699940, 1217917423, 154.669000
qr, 16384, 2048, 9, 15924333502, 13483529996, 2455298268, 1263888217, 162.094000
qr, 16384, 2048, 10, 13358946575, 10984812394, 2153857806, 1059992139, 135.066000
qr, 16384, 2048, 11, 13599658056, 11731076231, 2442343973, 1227446111, 156.024000
qr, 16384, 2048, 12, 12452133101, 10665090312, 2301896537, 1130077064, 142.880000
qr, 16384, 2048, 13, 11808160872, 10202315313, 2363261685, 1211759205, 153.975000
qr, 16384, 2048, 14, 11940545970, 10100407676, 2450795952, 1288302442, 163.795000
qr, 16384, 2048, 15, 11699928605, 9917824525, 2567701187, 1351312646, 170.238000
qr, 16384, 2048, 16, 11596429846, 10130397650, 2613411115, 1427882307, 181.346000
