algorithm,matrix_size,tile_size,case,PKG1,PKG2,DRAM1,DRAM2,time
qr,20480,512,1,3404873547,3403954726,406790494,291463393,26.202400
qr,20480,512,2,3347017189,3336806216,413568150,302772694,27.282900
qr,20480,512,3,3511027572,3435373774,427826602,312382411,28.374800
qr,20480,512,4,3547685804,3461121816,433577076,316969335,29.223900
qr,20480,512,5,3579957877,3082546247,549386723,416049717,43.569200
qr,20480,512,6,3558223069,3081177720,556268679,424796161,44.252100
qr,20480,512,7,3579269829,3080012074,573628962,432859858,45.936000
qr,20480,512,8,3572608347,3064540433,571958707,445010996,46.460100
qr,20480,512,9,3401149741,3402006306,410879879,292792948,26.481000
qr,20480,512,10,3323952855,3320597883,409179788,303087630,27.125400
qr,20480,512,11,3498024492,3406793281,423342463,315324692,28.379400
qr,20480,512,12,3566375636,3382840217,435765925,318786470,29.351100
qr,20480,512,13,3551849794,3071634959,546351892,424341553,43.741900
qr,20480,512,14,3546263321,3065916834,557739055,424274447,44.365300
qr,20480,512,15,3586940708,3083801371,571896207,438712705,46.095400
qr,20480,512,16,3566950768,3062641268,576744241,445322122,46.748900
qr,20480,1024,1,8825143667,6776846787,1290480107,608904305,73.215600
qr,20480,1024,2,8484239145,6552503916,1263557385,589286446,71.114200
qr,20480,1024,3,8442965934,5963582268,1408567664,664260179,80.833800
qr,20480,1024,4,8171160601,5797398306,1344447031,651715801,76.899800
qr,20480,1024,5,7156618947,5977070270,1374063456,648174891,78.134400
qr,20480,1024,6,7051285110,5858232561,1341695403,646166859,77.542700
qr,20480,1024,7,7007450627,5088994845,1453415254,713858633,84.743100
qr,20480,1024,8,6807533048,4971491057,1477305989,707793208,84.987900
qr,20480,1024,9,8733544415,6577646979,1280181600,600413570,72.884300
qr,20480,1024,10,8497586584,6478069048,1281751640,603766520,72.144100
qr,20480,1024,11,8803620285,5754303812,1414092846,672020401,82.832100
qr,20480,1024,12,8138096903,5730054483,1348999975,642775858,77.426400
qr,20480,1024,13,7048071984,5741941173,1319928460,654896992,75.630100
qr,20480,1024,14,7110163073,5741096814,1372240705,651529922,78.952400
qr,20480,1024,15,6773153193,4884346871,1463825128,710532734,85.299800
qr,20480,1024,16,6703109366,4780304779,1474663404,701239545,83.545300
qr,20480,2048,1,22092189415,17372322775,3383813178,1608997174,207.622000
qr,20480,2048,2,20063340056,15384497908,3139800485,1455687273,185.585000
qr,20480,2048,3,23009213557,18279775407,3804512658,1899706446,245.845000
qr,20480,2048,4,22048689588,16717646167,3704416569,1818558015,237.419000
qr,20480,2048,5,15939922512,11449586106,2986255086,1356590656,171.802000
qr,20480,2048,6,17909177235,14738228627,3551030580,1774466399,229.794000
qr,20480,2048,7,16698363808,12962617084,3596165611,1763983788,226.631000
qr,20480,2048,8,16413551304,12737553147,3656749098,1782992324,229.348000
qr,20480,2048,9,21764133798,16915061495,3366712643,1590096870,206.059000
qr,20480,2048,10,21643587170,16614437691,3414274606,1611589728,210.629000
qr,20480,2048,11,21376863427,16276002583,3630255542,1746013264,225.552000
qr,20480,2048,12,23431113966,17517595658,4020365547,1976446793,257.140000
qr,20480,2048,13,17539073203,13884523965,3416923923,1674990572,215.070000
qr,20480,2048,14,17460454752,14877869017,3572759075,1752020977,227.216000
qr,20480,2048,15,16986733613,13615211727,3719351098,1847914432,239.114000
qr,20480,2048,16,14787838303,11167082374,3368070717,1587968778,203.580000
