algorithm,matrix_size,tile_size,case,PKG1,PKG2,DRAM1,DRAM2,time
qr,16384,512,1,1881448878.3333333,1870382500.3333333,211813159.33333334,163115804.0,13.8538
qr,16384,512,2,1824797188.0,1821692317.6666667,213741989.33333334,168599466.66666666,14.382966666666666
qr,16384,512,3,1952175300.3333333,1876104775.6666667,239297293.66666666,184983273.0,16.629166666666666
qr,16384,512,4,1920357306.6666667,1804439737.0,226035095.66666666,176734691.33333334,15.610366666666666
qr,16384,512,5,1816356474.6666667,1704832997.3333333,279674356.0,230268136.66666666,22.680966666666666
qr,16384,512,6,1809883408.0,1710342850.3333333,283585490.0,231872550.66666666,23.061400000000003
qr,16384,512,7,1780603108.0,1741834285.6666667,253101009.66666666,285176725.3333333,24.231833333333338
qr,16384,512,8,1830044774.0,1715412560.3333333,306859217.3333333,252279981.0,25.5701
qr,16384,512,9,1870824169.6666667,1857047390.0,210547038.33333334,163594031.33333334,13.863533333333335
qr,16384,512,10,1818084294.3333333,1820217589.6666667,214286521.0,168216171.0,14.426233333333334
qr,16384,512,11,1928293586.3333333,1828829587.6666667,224417620.33333334,175483350.0,15.483666666666666
qr,16384,512,12,1923032796.6666667,1767500276.3333333,231953967.33333334,180186386.66666666,16.081433333333333
qr,16384,512,13,1781598629.6666667,1683949404.6666667,282515224.0,232228393.0,23.007233333333335
qr,16384,512,14,1814033137.0,1704058626.0,283332836.0,234012066.66666666,23.122500000000002
qr,16384,512,15,1837940098.6666667,1714706466.3333333,297078044.6666667,244897940.66666666,24.727366666666665
qr,16384,512,16,1799879364.3333333,1721225431.6666667,280214348.6666667,266484603.33333334,24.852166666666665
qr,16384,1024,1,5010995961.0,4028615582.0,715741619.6666666,366303639.0,41.6999
qr,16384,1024,2,4956015043.0,4023883802.6666665,728407576.6666666,365223198.6666667,42.044399999999996
qr,16384,1024,3,4808653725.333333,3915146634.3333335,794316039.3333334,415535877.0,47.53906666666666
qr,16384,1024,4,4890867138.0,3981437805.3333335,810761264.6666666,427053105.0,49.687333333333335
qr,16384,1024,5,4031393264.0,3579753104.3333335,770946732.3333334,395201070.6666667,45.56336666666667
qr,16384,1024,6,4000727449.0,3617368058.6666665,791378638.0,402294573.6666667,46.885
qr,16384,1024,7,3888046911.3333335,3185836957.3333335,852997226.0,438174012.3333333,51.10026666666666
qr,16384,1024,8,3606414697.0,3263472073.0,706880649.6666666,577814256.3333334,50.34896666666666
qr,16384,1024,9,4983265095.333333,4037902789.3333335,722032168.6666666,367337134.3333333,42.01323333333333
qr,16384,1024,10,4955615935.0,3945157095.6666665,729601930.0,367680833.0,42.8382
qr,16384,1024,11,4890241021.0,3902376993.3333335,817470880.6666666,424197559.0,49.564
qr,16384,1024,12,4733651639.0,3843636604.0,818253669.3333334,425023728.6666667,48.7648
qr,16384,1024,13,3858283010.3333335,3407958316.3333335,751640371.3333334,393307078.3333333,44.378099999999996
qr,16384,1024,14,3986478238.3333335,3457993568.6666665,783322193.6666666,397737015.0,45.942933333333336
qr,16384,1024,15,3732540066.3333335,3075840454.0,828519582.0,447697686.0,50.34696666666667
qr,16384,1024,16,3779575204.0,3035928487.0,855409372.3333334,441769303.3333333,51.337066666666665
qr,16384,2048,1,13886692945.0,11541704584.0,2142357841.3333333,1054170311.6666666,134.16933333333333
qr,16384,2048,2,12145061377.0,9821954246.333334,2011276442.6666667,933129762.3333334,118.24366666666667
qr,16384,2048,3,14311959475.333334,12474418260.333334,2498870225.3333335,1265385699.6666667,161.00633333333334
qr,16384,2048,4,14954805119.666666,12570170884.0,2589211967.0,1366348130.0,174.518
qr,16384,2048,5,11598910777.333334,10191539766.666666,2286712627.6666665,1160488996.0,147.09266666666667
qr,16384,2048,6,10755457634.666666,10565563610.0,1709080548.0,1869106854.0,148.61466666666666
qr,16384,2048,7,11194850186.333334,9576934955.666666,2415586680.0,1233359274.6666667,157.143
qr,16384,2048,8,10330033369.333334,8897101735.0,2375611512.6666665,1205663342.3333333,152.88400000000001
qr,16384,2048,9,15191244456.0,12674726484.0,2334903685.3333335,1205296841.3333333,153.84733333333335
qr,16384,2048,10,12798241874.333334,10422622162.333334,2116458991.0,1030071637.6666666,130.719
qr,16384,2048,11,14077190301.0,12077984522.0,2485137711.0,1264517710.0,161.12800000000001
qr,16384,2048,12,13823314466.0,11786619524.666666,2489804542.3333335,1270227603.3333333,161.13166666666666
qr,16384,2048,13,11307649946.333334,9664179402.0,2258061378.3333335,1147099548.3333333,145.254
qr,16384,2048,14,10907311188.666666,8919253961.333334,2231679419.6666665,1118563563.6666667,141.218
qr,16384,2048,15,11790333708.333334,10043272426.0,2582661547.6666665,1367252941.0,173.18966666666665
qr,16384,2048,16,10969057185.0,10016478976.0,2263237546.6666665,1719665287.3333333,173.34933333333333
