algorithm, matrix_size, tile_size, case, PKG1, PKG2, DRAM1, DRAM2, time
qr, 16384, 512, 1, 1881744878, 1870878512, 210757913, 163422437, 13.845200
qr, 16384, 512, 2, 1825898768, 1819479657, 214667369, 168301147, 14.458000
qr, 16384, 512, 3, 1945267542, 1896477384, 227654865, 172780284, 15.430100
qr, 16384, 512, 4, 1919794645, 1821827550, 225471464, 176385668, 15.658100
qr, 16384, 512, 5, 1824435881, 1708542379, 279937873, 228731955, 22.679700
qr, 16384, 512, 6, 1804361836, 1713757881, 284089742, 230712158, 23.016600
qr, 16384, 512, 7, 1829688676, 1703987459, 294915104, 239976874, 24.234500
qr, 16384, 512, 8, 1835149355, 1735203322, 324534343, 268270031, 27.464700
qr, 16384, 512, 9, 1882043583, 1863406057, 210779196, 164195377, 13.948200
qr, 16384, 512, 10, 1818577192, 1824611906, 214785347, 167626708, 14.425600
qr, 16384, 512, 11, 1926425732, 1829699540, 222899014, 174675219, 15.404800
qr, 16384, 512, 12, 1911202382, 1781503862, 226529031, 175254738, 15.612400
qr, 16384, 512, 13, 1756404623, 1664437024, 287744116, 236215369, 23.508800
qr, 16384, 512, 14, 1811941651, 1707038172, 283369648, 234470312, 23.124900
qr, 16384, 512, 15, 1834201237, 1713866584, 299922182, 245200462, 24.904000
qr, 16384, 512, 16, 1742773919, 1743185845, 240332553, 307887775, 24.804100
qr, 16384, 1024, 1, 4919653727, 3885356326, 719228918, 345357138, 40.663400
qr, 16384, 1024, 2, 5025113600, 4092177207, 728170268, 369308722, 42.755900
qr, 16384, 1024, 3, 5003165048, 4020413292, 846767790, 429688229, 50.666900
qr, 16384, 1024, 4, 4611701756, 3889522452, 802026903, 411775724, 47.975400
qr, 16384, 1024, 5, 4024253736, 3645834417, 776668300, 398020091, 46.634800
qr, 16384, 1024, 6, 4012706402, 3564406280, 783589132, 397174428, 46.495900
qr, 16384, 1024, 7, 3856392228, 3160547756, 833183241, 435561976, 50.028500
qr, 16384, 1024, 8, 3377862873, 3729413609, 459137256, 879237756, 52.717600
qr, 16384, 1024, 9, 4868531665, 3942513833, 699190921, 357925217, 40.801300
qr, 16384, 1024, 10, 4870332930, 3915268785, 706973144, 358303356, 42.096200
qr, 16384, 1024, 11, 4938183708, 3878260824, 796365000, 428518238, 49.392700
qr, 16384, 1024, 12, 4535954513, 3899597134, 812421110, 415298289, 47.956500
qr, 16384, 1024, 13, 3970217193, 3493267302, 796753972, 402477455, 46.739200
qr, 16384, 1024, 14, 4121369454, 3582398483, 788601306, 412490723, 47.202200
qr, 16384, 1024, 15, 3792365901, 3094757398, 864229558, 445257096, 52.108100
qr, 16384, 1024, 16, 3774884196, 3032992907, 843900707, 441354495, 50.503800
qr, 16384, 2048, 1, 13173812039, 11049595370, 2036988741, 1007253882, 127.084000
qr, 16384, 2048, 2, 11483714438, 9164785681, 1926298519, 872571424, 110.447000
qr, 16384, 2048, 3, 12969036745, 11477251685, 2344989904, 1141900736, 144.898000
qr, 16384, 2048, 4, 14407210249, 12790993988, 2561368441, 1330876957, 170.757000
qr, 16384, 2048, 5, 11410922631, 10013300171, 2270134425, 1131109554, 143.291000
qr, 16384, 2048, 6, 10182096737, 10142547277, 1334764778, 2152016527, 140.370000
qr, 16384, 2048, 7, 11030143333, 9374320545, 2393879463, 1219108635, 155.230000
qr, 16384, 2048, 8, 10668550142, 9077611771, 2420791811, 1248232522, 157.981000
qr, 16384, 2048, 9, 15595732658, 13483979275, 2390179036, 1255161800, 159.832000
qr, 16384, 2048, 10, 11912102745, 9793491347, 2028045707, 957654325, 120.701000
qr, 16384, 2048, 11, 12318587727, 10772421946, 2281788114, 1102378663, 139.422000
qr, 16384, 2048, 12, 12936335902, 10958200767, 2386311961, 1190537400, 150.648000
qr, 16384, 2048, 13, 11175319231, 9519887738, 2242536942, 1152114664, 144.975000
qr, 16384, 2048, 14, 10372372434, 8167865626, 2090279436, 1018846920, 127.879000
qr, 16384, 2048, 15, 11595989113, 10031231584, 2580109120, 1358215532, 171.804000
qr, 16384, 2048, 16, 10968519589, 9382255888, 2526356976, 1319510220, 168.070000
