algorithm,matrix_size,tile_size,case,PKG1,PKG2,DRAM1,DRAM2,time
qr,32768,512,1,13123363641.0,13114608923.333334,1628872185.0,1289280591.6666667,107.23599999999999
qr,32768,512,2,13111873111.0,13095773318.666666,1632071675.3333333,1305103489.3333333,108.55033333333334
qr,32768,512,3,13547706528.666666,13337433589.333334,1691899193.6666667,1328067540.3333333,112.755
qr,32768,512,4,13585340404.666666,13463568459.0,1699122706.6666667,1340582654.3333333,113.92966666666666
qr,32768,512,5,13455089558.333334,12581804196.0,2178156715.0,1790361181.6666667,175.8456666666667
qr,32768,512,6,13476144231.666666,12632083058.666666,2184667426.0,1816009922.6666667,177.41333333333333
qr,32768,512,7,13463415932.333334,12648569446.666666,2224241978.3333335,1863135810.0,182.49266666666665
qr,32768,512,8,13424754898.666666,12647199516.0,2261797398.6666665,1883316866.3333333,185.24800000000002
qr,32768,512,9,13114636552.0,13104807496.0,1642201341.3333333,1267354365.6666667,107.26033333333334
qr,32768,512,10,13017050620.0,12996961661.666666,1633718235.6666667,1292453179.3333333,107.89133333333332
qr,32768,512,11,13508610579.666666,13396273444.666666,1680055545.6666667,1344439646.3333333,112.71033333333332
qr,32768,512,12,13520892774.666666,13486592915.666666,1546510484.6666667,1502141076.6666667,114.27033333333333
qr,32768,512,13,13488009782.0,12589529822.666666,2182790666.6666665,1779913402.6666667,176.08433333333332
qr,32768,512,14,13439479490.666666,12570616378.666666,2188800879.6666665,1798793776.3333333,177.20100000000002
qr,32768,512,15,13380103625.333334,12522485479.666666,2271338753.6666665,1854574567.0,184.86599999999999
qr,32768,512,16,13292635425.0,12488219108.666666,2286477925.3333335,1886769765.3333333,187.356
qr,32768,1024,1,27123282574.333332,21760738339.0,4095880058.6666665,1923617153.0,224.9
qr,32768,1024,2,27066151352.333332,21609031655.666668,4131579431.6666665,1931268912.6666667,226.83466666666666
qr,32768,1024,3,26739130766.333332,17370431910.666668,4235090903.0,1999453194.6666667,234.24699999999999
qr,32768,1024,4,26429906724.666668,17188549320.333332,4224994810.6666665,1996724067.0,234.05233333333334
qr,32768,1024,5,19904646899.333332,18280530818.666668,3969038229.3333335,2110201689.0,236.865
qr,32768,1024,6,19942256096.666668,18316638981.666668,3974552165.6666665,2122668827.3333333,237.857
qr,32768,1024,7,19888848783.666668,16269258867.666666,4359603644.666667,2264580178.0,254.83366666666666
qr,32768,1024,8,18658146326.666668,17080051082.666666,3623894734.3333335,2996680649.0,253.46399999999997
qr,32768,1024,9,24545086497.333332,22775471683.333332,3187973228.6666665,2741459875.0,215.55266666666668
qr,32768,1024,10,26886506487.666668,21488217695.333332,4146394135.6666665,1929908747.3333333,226.06766666666667
qr,32768,1024,11,26877750488.0,17231768915.666668,4251439351.0,1997394023.6666667,235.154
qr,32768,1024,12,26170989377.666668,17094735066.333334,4250205554.0,2007583604.3333333,234.231
qr,32768,1024,13,19946296980.0,18009978695.0,3989200222.3333335,2103779268.6666667,235.668
qr,32768,1024,14,19702880407.666668,18033509518.333332,3944534559.6666665,2106562864.3333333,236.157
qr,32768,1024,15,19880688403.666668,15906467762.666666,4372790398.0,2252338193.6666665,253.83266666666668
qr,32768,1024,16,18600750030.0,16914315993.0,3636352780.0,3014314445.0,254.879
qr,32768,2048,1,52437926997.0,42094202521.0,7999409853.0,3816254953.6666665,468.2836666666667
qr,32768,2048,2,52101346865.333336,42512006891.333336,8080939504.0,3855845585.3333335,472.99
qr,32768,2048,3,47434699164.0,36854375155.0,8287031748.333333,3940700058.3333335,478.7556666666667
qr,32768,2048,4,48771958375.0,37568022091.333336,8516482604.666667,4092519270.6666665,501.897
qr,32768,2048,5,39982373800.0,34054652037.0,7783794242.0,3730980235.3333335,449.54566666666665
qr,32768,2048,6,40025093051.666664,34686253569.666664,8039347448.666667,3896143699.3333335,473.74333333333334
qr,32768,2048,7,35776334702.333336,28943446900.666668,8189407609.666667,3990376302.3333335,473.557
qr,32768,2048,8,35784244106.0,29260711551.0,8342382364.0,4053006832.3333335,489.5753333333334
qr,32768,2048,9,52022887735.666664,40678860298.333336,8009656442.333333,3795174307.6666665,467.56033333333335
qr,32768,2048,10,47867908341.666664,42604223574.333336,6762149741.333333,5128538488.0,460.90166666666664
qr,32768,2048,11,45774899641.666664,35267721909.0,8165962991.333333,3847813483.0,469.39366666666666
qr,32768,2048,12,47240859247.333336,36227859404.666664,8355704085.0,3985481149.3333335,487.1456666666666
qr,32768,2048,13,39669856595.333336,34158068133.666668,7939698033.666667,3843586542.0,464.52299999999997
qr,32768,2048,14,38892940005.0,33097145089.0,7936059168.333333,3819012743.0,461.43700000000007
qr,32768,2048,15,36016804627.0,28762667863.333332,8352627331.666667,4124178235.0,492.532
qr,32768,2048,16,36497150972.333336,29146855112.666668,8513568963.666667,4227178472.3333335,509.1713333333334
