algorithm,matrix_size,tile_size,case,PKG1,PKG2,DRAM1,DRAM2,time
sylsvd,40960,2048,1,12473637440,11329612781,1390395976,1214768868,129.225000
sylsvd,40960,2048,2,16112847667,14362553319,2252412266,2056468991,237.286000
sylsvd,40960,2048,3,13599119361,12270945820,1671371816,1418851176,158.250000
sylsvd,40960,2048,4,16613965342,15895001728,2598945562,2245592261,267.079000
sylsvd,40960,2048,5,12633632941,11091121448,1426537330,1218482025,130.696000
sylsvd,40960,2048,6,15478761400,14586711010,2276455129,2016005862,236.288000
sylsvd,40960,2048,7,13519592893,12002393712,1697686960,1427180420,158.800000
sylsvd,40960,2048,8,17165909425,15071575125,2563051961,2258280106,266.867000
sylsvd,40960,2048,9,12571379866,11133658144,1430201038,1201600020,132.782000
sylsvd,40960,2048,10,16620255914,13680030042,2388829377,2078852968,239.613000
sylsvd,40960,2048,11,13111441715,11950790267,1699675593,1414334815,161.587000
sylsvd,40960,2048,12,16325342301,15415007962,2580680132,2269899708,268.713000
sylsvd,40960,2048,13,12413401938,10854304916,1423493808,1196472837,132.379000
sylsvd,40960,2048,14,15419950148,14379580681,2330987850,2022337996,238.921000
sylsvd,40960,2048,15,13020327996,11610620729,1689121760,1442603294,160.583000
sylsvd,40960,2048,16,16655554530,14642534171,2580882351,2245362593,268.403000
