algorithm, matrix_size, tile_size, case, PKG1, PKG2, DRAM1, DRAM2, time
qr, 16384, 1024, 1, 4445081882, 4348496619, 496189664, 610814923, 35.527400
qr, 16384, 1024, 2, 5017439609, 4455027962, 801466617, 361925463, 38.510100
qr, 16384, 1024, 3, 5299103317, 4610526039, 851112287, 345612113, 40.176200
qr, 16384, 1024, 4, 5040766698, 4534652881, 807692860, 343673940, 38.353600
qr, 16384, 1024, 5, 5254732946, 4607154770, 832371729, 360707277, 39.457200
qr, 16384, 1024, 6, 5100794620, 4529623658, 799813054, 356690261, 38.217000
qr, 16384, 1024, 7, 5055351926, 4626644040, 809809676, 357804576, 38.516000
qr, 16384, 1024, 8, 4915303640, 4486999439, 780066139, 357605967, 37.038900
qr, 16384, 1024, 9, 5372754251, 4786849135, 865190061, 345140781, 40.661700
qr, 16384, 1024, 10, 5391063286, 4835006605, 874315700, 346555954, 41.054900
qr, 16384, 1024, 11, 5142559650, 4634176186, 817987312, 351439914, 38.935900
qr, 16384, 1024, 12, 5099138680, 4657238139, 818847172, 361227859, 38.861800
qr, 16384, 1024, 13, 4560998822, 4447723294, 509907751, 596487529, 35.417600
qr, 16384, 1024, 14, 4956720343, 4520412561, 798704798, 347621630, 37.547600
qr, 16384, 1024, 15, 5064814609, 4566048919, 800867484, 359139027, 38.474600
qr, 16384, 1024, 16, 4886337466, 4511165210, 782719205, 360474411, 37.329600
qr, 16384, 2048, 1, 16287996267, 14865846770, 2502379535, 883643972, 121.375000
qr, 16384, 2048, 2, 15840555579, 14755031014, 2447213519, 871172239, 118.072000
qr, 16384, 2048, 3, 15856672237, 14631070027, 2436907041, 874468088, 118.145000
qr, 16384, 2048, 4, 16884532276, 15295549893, 2597467964, 926776861, 124.994000
qr, 16384, 2048, 5, 16088416394, 14839385229, 2467388405, 862687944, 119.788000
qr, 16384, 2048, 6, 16500933527, 15082943504, 2524845642, 909565401, 122.559000
qr, 16384, 2048, 7, 15796346036, 14538016494, 2447572518, 870392917, 117.355000
qr, 16384, 2048, 8, 16146849960, 14817327790, 2485211880, 878481798, 120.487000
qr, 16384, 2048, 9, 16067070379, 14844123314, 2481074592, 885059009, 119.486000
qr, 16384, 2048, 10, 16856085022, 15408338241, 2596446062, 923586504, 126.143000
qr, 16384, 2048, 11, 16358858146, 14954201707, 2534336645, 890950380, 121.586000
qr, 16384, 2048, 12, 16566107249, 15144229602, 2560809026, 925705371, 123.362000
qr, 16384, 2048, 13, 17171798508, 15621409716, 2609836500, 934214558, 127.143000
qr, 16384, 2048, 14, 16191893485, 14739358386, 2475680959, 888576600, 119.727000
qr, 16384, 2048, 15, 16006970741, 14512264484, 2476090096, 861607872, 118.446000
qr, 16384, 2048, 16, 17569194891, 16091402531, 2681287515, 972194574, 131.105000
qr, 32768, 1024, 1, 30927596057, 27599139734, 5554349774, 2048481948, 251.559000
qr, 32768, 1024, 2, 30536380811, 27562058164, 5520051519, 2057599371, 250.230000
qr, 32768, 1024, 3, 30576919282, 27315230304, 5484435736, 2032982298, 248.675000
qr, 32768, 1024, 4, 30607374770, 27640419109, 5511754819, 2077196789, 249.868000
qr, 32768, 1024, 5, 30591329157, 27556481946, 5506028473, 2061917795, 249.869000
qr, 32768, 1024, 6, 30557591999, 27467769159, 5536532068, 2059320346, 251.187000
qr, 32768, 1024, 7, 30795201682, 27670292079, 5535297358, 2079344221, 250.739000
qr, 32768, 1024, 8, 30663466850, 27579361525, 5537010698, 2056118269, 250.964000
qr, 32768, 1024, 9, 30108374461, 27079794140, 5537810964, 2074800671, 250.796000
qr, 32768, 1024, 10, 30551565342, 27454430876, 5550703631, 2065181301, 251.436000
qr, 32768, 1024, 11, 30748921526, 27686908125, 5549073462, 2072677490, 251.350000
qr, 32768, 1024, 12, 30918583934, 27742421288, 5561136747, 2055032276, 251.866000
qr, 32768, 1024, 13, 30853038142, 27790420556, 5555471631, 2065447949, 251.960000
qr, 32768, 1024, 14, 30788651406, 27617100931, 5528136834, 2083105649, 250.592000
qr, 32768, 1024, 15, 30546579821, 27342586497, 5579152084, 2078659101, 252.622000
qr, 32768, 1024, 16, 30166379500, 27317888379, 5481372125, 2072291654, 248.654000
qr, 32768, 2048, 1, 62928337744, 57357612563, 10469626932, 3749584724, 480.381000
qr, 32768, 2048, 2, 64351623712, 58244735720, 10687507179, 3756345702, 491.132000
qr, 32768, 2048, 3, 65098082800, 58725096185, 10701435396, 3923074928, 495.725000
qr, 32768, 2048, 4, 66074388161, 59007212039, 10892345384, 3822841690, 501.276000
qr, 32768, 2048, 5, 60684202741, 56680166116, 10123187885, 3728203189, 465.006000
qr, 32768, 2048, 6, 65142545637, 58407872692, 10686418676, 3887684773, 493.382000
qr, 32768, 2048, 7, 62755841420, 56710261499, 10367083639, 3806933623, 477.913000
qr, 32768, 2048, 8, 66884554849, 59378230132, 10879365997, 3973915512, 504.042000
qr, 32768, 2048, 9, 64523075787, 58031676817, 10642167113, 3768285287, 491.549000
qr, 32768, 2048, 10, 66218826023, 58845579884, 10851670625, 3889000497, 502.082000
qr, 32768, 2048, 11, 66474794668, 59102334782, 10888529610, 3831727746, 504.329000
qr, 32768, 2048, 12, 64879686019, 58337139109, 10640300177, 3869900083, 491.577000
qr, 32768, 2048, 13, 65187754933, 58888605470, 10664566389, 3968287590, 492.850000
qr, 32768, 2048, 14, 62572220124, 57791699282, 10330349120, 3839258422, 476.611000
qr, 32768, 2048, 15, 65377947805, 58399724276, 10726574750, 3860216347, 496.095000
qr, 32768, 2048, 16, 63223739392, 58014971232, 10450213848, 3821970569, 482.247000
