algorithm,task,matrix_size,tile_size,mem_boundness,arithm_intensity,bmr,ilp,l3_cache_ratio,case,PKG1,PKG2,DRAM1,DRAM2,time
qr,geqrt,16384,1024,0.716643,0.000715,0.004616,0.472726,0.299467,1,4935048524,4447827237,808860143,352080402,38.1831
qr,geqrt,16384,1024,0.716643,0.000715,0.004616,0.472726,0.299467,2,5120469741,4651961968,829382231,357136700,39.2562
qr,geqrt,16384,1024,0.716643,0.000715,0.004616,0.472726,0.299467,3,4582356799,4187221336,725243715,335939622,34.7745
qr,geqrt,16384,1024,0.716643,0.000715,0.004616,0.472726,0.299467,4,5014300335,4638156583,812610571,362966704,38.2683
qr,geqrt,16384,1024,0.716643,0.000715,0.004616,0.472726,0.299467,5,5134835365,4678160692,832402650,350944362,39.116
qr,geqrt,16384,1024,0.716643,0.000715,0.004616,0.472726,0.299467,6,4784048239,4435820431,770662071,352401182,36.2932
qr,geqrt,16384,1024,0.716643,0.000715,0.004616,0.472726,0.299467,7,5235265101,4710394618,832007619,374050621,39.5631
qr,geqrt,16384,1024,0.716643,0.000715,0.004616,0.472726,0.299467,8,4663418542,4720069398,486944853,633093238,36.6009
qr,geqrt,16384,1024,0.716643,0.000715,0.004616,0.472726,0.299467,9,5191496476,4744328491,838580867,352416267,39.6528
qr,geqrt,16384,1024,0.716643,0.000715,0.004616,0.472726,0.299467,10,5248931082,4650287045,835237327,353758276,39.5165
qr,geqrt,16384,1024,0.716643,0.000715,0.004616,0.472726,0.299467,11,5039131326,4574205636,806753103,364689209,38.1913
qr,geqrt,16384,1024,0.716643,0.000715,0.004616,0.472726,0.299467,12,5246297299,4692753855,813057789,372043108,39.267
qr,geqrt,16384,1024,0.716643,0.000715,0.004616,0.472726,0.299467,13,5275921552,4696807801,839541064,357160752,39.6474
qr,geqrt,16384,1024,0.716643,0.000715,0.004616,0.472726,0.299467,14,4848103433,4524171219,770669936,353647000,36.977
qr,geqrt,16384,1024,0.716643,0.000715,0.004616,0.472726,0.299467,15,4955095774,4553879516,802088868,367327342,38.1346
qr,geqrt,16384,1024,0.716643,0.000715,0.004616,0.472726,0.299467,16,4880310748,4452366227,781563520,350409245,36.9559
qr,ormqr,16384,1024,0.496128,0.00266,0.00461,1.942507,5.239917,1,4935048524,4447827237,808860143,352080402,38.1831
qr,ormqr,16384,1024,0.496128,0.00266,0.00461,1.942507,5.239917,2,5120469741,4651961968,829382231,357136700,39.2562
qr,ormqr,16384,1024,0.496128,0.00266,0.00461,1.942507,5.239917,3,4582356799,4187221336,725243715,335939622,34.7745
qr,ormqr,16384,1024,0.496128,0.00266,0.00461,1.942507,5.239917,4,5014300335,4638156583,812610571,362966704,38.2683
qr,ormqr,16384,1024,0.496128,0.00266,0.00461,1.942507,5.239917,5,5134835365,4678160692,832402650,350944362,39.116
qr,ormqr,16384,1024,0.496128,0.00266,0.00461,1.942507,5.239917,6,4784048239,4435820431,770662071,352401182,36.2932
qr,ormqr,16384,1024,0.496128,0.00266,0.00461,1.942507,5.239917,7,5235265101,4710394618,832007619,374050621,39.5631
qr,ormqr,16384,1024,0.496128,0.00266,0.00461,1.942507,5.239917,8,4663418542,4720069398,486944853,633093238,36.6009
qr,ormqr,16384,1024,0.496128,0.00266,0.00461,1.942507,5.239917,9,5191496476,4744328491,838580867,352416267,39.6528
qr,ormqr,16384,1024,0.496128,0.00266,0.00461,1.942507,5.239917,10,5248931082,4650287045,835237327,353758276,39.5165
qr,ormqr,16384,1024,0.496128,0.00266,0.00461,1.942507,5.239917,11,5039131326,4574205636,806753103,364689209,38.1913
qr,ormqr,16384,1024,0.496128,0.00266,0.00461,1.942507,5.239917,12,5246297299,4692753855,813057789,372043108,39.267
qr,ormqr,16384,1024,0.496128,0.00266,0.00461,1.942507,5.239917,13,5275921552,4696807801,839541064,357160752,39.6474
qr,ormqr,16384,1024,0.496128,0.00266,0.00461,1.942507,5.239917,14,4848103433,4524171219,770669936,353647000,36.977
qr,ormqr,16384,1024,0.496128,0.00266,0.00461,1.942507,5.239917,15,4955095774,4553879516,802088868,367327342,38.1346
qr,ormqr,16384,1024,0.496128,0.00266,0.00461,1.942507,5.239917,16,4880310748,4452366227,781563520,350409245,36.9559
