algorithm, matrix_size, tile_size, case, PKG1, PKG2, DRAM1, DRAM2, time
qr, 16384, 1024, 1, 5053631533, 4589456512, 806053404, 357669461, 38.083700
qr, 16384, 1024, 2, 4793037474, 4332938798, 784795049, 347545116, 36.891700
qr, 16384, 1024, 3, 5097030836, 4364194272, 873079751, 383001610, 41.931700
qr, 16384, 1024, 4, 4806222498, 4303410614, 857868170, 381356677, 41.549400
qr, 16384, 1024, 5, 3469925748, 3388275200, 760039847, 358996339, 36.109700
qr, 16384, 1024, 6, 3669625494, 3454121895, 810761841, 363781613, 38.661400
qr, 16384, 1024, 7, 3603543021, 3299925695, 841990733, 367785501, 40.880500
qr, 16384, 1024, 8, 3598580693, 3215246042, 885455691, 326986520, 42.471900
qr, 16384, 1024, 9, 5123396674, 4549427257, 820243404, 352442293, 38.798200
qr, 16384, 1024, 10, 4714328690, 4333979871, 791393143, 352715031, 37.307700
qr, 16384, 1024, 11, 4942234357, 4374903961, 884534907, 377633269, 42.441900
qr, 16384, 1024, 12, 4990077435, 4271327200, 890892531, 384768623, 43.149900
qr, 16384, 1024, 13, 3612469390, 3461614368, 797701501, 359644217, 37.807000
qr, 16384, 1024, 14, 3372697054, 3342891833, 495478168, 626531573, 36.657900
qr, 16384, 1024, 15, 3741265813, 3314446959, 889494096, 360214509, 43.115800
qr, 16384, 1024, 16, 3502404852, 3110919161, 859372358, 355080625, 41.678400
qr, 16384, 2048, 1, 16260932310, 14702154623, 2506796875, 870364383, 121.091000
qr, 16384, 2048, 2, 15413862823, 15042242131, 2669316214, 960124389, 129.551000
qr, 16384, 2048, 3, 15850674266, 14189209647, 2628932292, 937651734, 128.547000
qr, 16384, 2048, 4, 15018852909, 13252544198, 2670636971, 964673477, 132.158000
qr, 16384, 2048, 5, 12008697957, 10522357585, 2363427230, 832446852, 115.160000
qr, 16384, 2048, 6, 10935069967, 9682263970, 2363041349, 840660826, 114.451000
qr, 16384, 2048, 7, 12764040932, 11266736782, 2755760112, 875376556, 137.634000
qr, 16384, 2048, 8, 11497351060, 10313131313, 2718048733, 883884259, 136.821000
qr, 16384, 2048, 9, 17029736372, 15519599857, 2701539115, 961924250, 131.541000
qr, 16384, 2048, 10, 15850037854, 14525645371, 2698106882, 938840146, 130.613000
qr, 16384, 2048, 11, 16057381500, 13862108495, 2754683619, 985604840, 135.784000
qr, 16384, 2048, 12, 13942062697, 12802234926, 2586007714, 914433478, 126.291000
qr, 16384, 2048, 13, 12222455649, 11075521634, 2498831985, 890890037, 121.005000
qr, 16384, 2048, 14, 11001850619, 9945775626, 2412984543, 864740501, 116.844000
qr, 16384, 2048, 15, 13320524188, 11600344693, 2919979939, 960469036, 145.611000
qr, 16384, 2048, 16, 11041116755, 9543474348, 2626659477, 790294113, 131.357000
