algorithm, matrix_size, tile_size, case, PKG1, PKG2, DRAM1, DRAM2, time
qr, 16384, 1024, 1, 4549107800, 4233112332, 731793599, 334950017, 34.869100
qr, 16384, 1024, 2, 5239891982, 4690531815, 836043377, 346778355, 39.782900
qr, 16384, 1024, 3, 5087045937, 4560353255, 808359205, 359989921, 38.325200
qr, 16384, 1024, 4, 5243692936, 4696118960, 837654069, 361760039, 39.948600
qr, 16384, 1024, 5, 5082153554, 4569508627, 797747814, 362288196, 38.295900
qr, 16384, 1024, 6, 4771729605, 4453722302, 766702676, 348094186, 36.473900
qr, 16384, 1024, 7, 4973259485, 4547267412, 798381326, 354690169, 37.715000
qr, 16384, 1024, 8, 4942990337, 4492957981, 789255273, 354947577, 37.360900
qr, 16384, 1024, 9, 4990869304, 4558489185, 799354452, 352010007, 37.955900
qr, 16384, 1024, 10, 5050572031, 4496418543, 797609762, 354776125, 38.112600
qr, 16384, 1024, 11, 5035375110, 4571392594, 796278402, 357354236, 38.172900
qr, 16384, 1024, 12, 5138145355, 4690440752, 825655825, 356858776, 39.161100
qr, 16384, 1024, 13, 5095308000, 4659319554, 828270075, 340740823, 39.004500
qr, 16384, 1024, 14, 5172507449, 4639074672, 826783328, 349546126, 39.289400
qr, 16384, 1024, 15, 5056823053, 4561408367, 814476528, 347054322, 38.469900
qr, 16384, 1024, 16, 5328820892, 4765760871, 857016081, 338146294, 40.482100
qr, 16384, 2048, 1, 15341599275, 14216236617, 2400489078, 844598327, 114.538000
qr, 16384, 2048, 2, 14718869669, 14616949396, 1633783389, 1790957320, 111.003000
qr, 16384, 2048, 3, 16666385801, 15306463439, 2548565233, 914565961, 123.920000
qr, 16384, 2048, 4, 16658647540, 15267281778, 2557015636, 915334219, 123.564000
qr, 16384, 2048, 5, 16121152272, 14790275735, 2497355245, 879120221, 120.102000
qr, 16384, 2048, 6, 16622102956, 15232800664, 2550012689, 918587719, 123.310000
qr, 16384, 2048, 7, 16431586964, 15205193130, 2536362136, 901888044, 122.294000
qr, 16384, 2048, 8, 17333283263, 15706991101, 2658009514, 946614519, 127.839000
qr, 16384, 2048, 9, 16501129815, 15139435486, 2538601689, 905811515, 122.692000
qr, 16384, 2048, 10, 17825977620, 16154994898, 2714474439, 984749417, 131.927000
qr, 16384, 2048, 11, 16272474456, 14932385724, 2530032541, 903234291, 120.747000
qr, 16384, 2048, 12, 15888855504, 14515932749, 2460062276, 888520388, 117.827000
qr, 16384, 2048, 13, 18030098191, 16434476666, 2753015614, 967710817, 133.602000
qr, 16384, 2048, 14, 16974678713, 15533842924, 2608946192, 917491688, 126.016000
qr, 16384, 2048, 15, 17091973029, 15576091290, 2609433146, 952065986, 126.528000
qr, 16384, 2048, 16, 17221586100, 15668881152, 2624610165, 934172590, 128.064000
qr, 32768, 1024, 1, 30711900687, 27607618472, 5533645921, 2071860302, 250.717000
qr, 32768, 1024, 2, 30612432558, 27577997882, 5539700575, 2061627447, 250.443000
qr, 32768, 1024, 3, 30970702331, 27774359867, 5543809054, 2082978919, 251.440000
qr, 32768, 1024, 4, 30829008541, 27671161889, 5564153647, 2072880537, 251.949000
qr, 32768, 1024, 5, 30946158021, 27739269014, 5565533523, 2061173435, 252.099000
qr, 32768, 1024, 6, 30271791644, 27395978633, 5532673193, 2064206660, 250.908000
qr, 32768, 1024, 7, 30882805278, 27587035578, 5577371118, 2062547298, 252.949000
qr, 32768, 1024, 8, 30645012186, 27575374780, 5537206200, 2058133769, 250.606000
qr, 32768, 1024, 9, 30521065664, 27391282173, 5473925600, 2092321573, 248.219000
qr, 32768, 1024, 10, 30223989460, 27155867797, 5519011150, 2065390390, 249.883000
qr, 32768, 1024, 11, 30781075741, 27697602556, 5541097021, 2059510034, 250.904000
qr, 32768, 1024, 12, 30925005487, 27668409637, 5547801267, 2051092464, 251.337000
qr, 32768, 1024, 13, 27902059796, 29557042987, 2576460728, 4548412871, 246.110000
qr, 32768, 1024, 14, 30611607242, 27468659721, 5535126655, 2074211193, 251.011000
qr, 32768, 1024, 15, 30987741410, 27829530136, 5571228351, 2051394043, 252.446000
qr, 32768, 1024, 16, 30615304437, 27528675925, 5536125056, 2053747901, 251.139000
qr, 32768, 2048, 1, 64581237259, 58300356122, 10680408178, 3886471269, 491.814000
qr, 32768, 2048, 2, 65178944958, 58346298081, 10719683539, 3882866497, 494.462000
qr, 32768, 2048, 3, 64752811772, 58008697628, 10691927303, 3848658114, 491.423000
qr, 32768, 2048, 4, 67499950124, 59440977103, 11031370548, 3951717890, 510.797000
qr, 32768, 2048, 5, 65470039976, 58363358279, 10734702094, 3911777699, 495.250000
