algorithm,task,matrix_size,tile_size,frequency,mem_boundness,arithm_intensity,bmr,ilp,l3_cache_ratio,weight
cholesky,potrf,16384,512,2601000,0.214209,0.003376,inf,2.090376,0.090059,32
cholesky,trsm,16384,512,2601000,0.278610,0.001474,inf,1.981261,1.455868,496
cholesky,syrk,16384,512,2601000,0.310015,0.006350,inf,2.648686,2.758707,496
cholesky,gemm,16384,512,2601000,0.222089,0.003525,inf,3.038331,27.127494,4960
cholesky,potrf,16384,512,1000000,0.171948,0.003477,inf,2.209235,0.092757,32
cholesky,trsm,16384,512,1000000,0.263092,0.001488,inf,2.023045,1.469121,496
cholesky,syrk,16384,512,1000000,0.243082,0.006287,inf,2.908868,2.731286,496
cholesky,gemm,16384,512,1000000,0.190489,0.003545,inf,3.161687,27.284263,4960
cholesky,potrf,16384,1024,2601000,0.240190,0.002581,inf,2.187789,0.189249,16
cholesky,trsm,16384,1024,2601000,0.268815,0.001617,inf,2.188626,2.145489,120
cholesky,syrk,16384,1024,2601000,0.247230,0.003922,inf,2.938253,3.040281,120
cholesky,gemm,16384,1024,2601000,0.194179,0.003024,inf,3.169140,20.501187,560
cholesky,potrf,16384,1024,1000000,0.210799,0.002651,inf,2.271194,0.194381,16
cholesky,trsm,16384,1024,1000000,0.253954,0.001636,inf,2.232377,2.170620,120
cholesky,syrk,16384,1024,1000000,0.195346,0.003906,inf,3.142937,3.027450,120
cholesky,gemm,16384,1024,1000000,0.164630,0.003078,inf,3.286323,20.871378,560
cholesky,potrf,16384,2048,2601000,0.269499,0.002333,inf,2.291052,0.508709,8
cholesky,trsm,16384,2048,2601000,0.248842,0.002530,inf,2.455581,4.826481,28
cholesky,syrk,16384,2048,2601000,0.216690,0.003705,inf,3.081921,5.137014,28
cholesky,gemm,16384,2048,2601000,0.177145,0.003621,inf,3.250023,19.413696,56
cholesky,potrf,16384,2048,1000000,0.242991,0.002335,inf,2.374933,0.509145,8
cholesky,trsm,16384,2048,1000000,0.229326,0.002507,inf,2.521132,4.782459,28
cholesky,syrk,16384,2048,1000000,0.171564,0.003704,inf,3.264592,5.136112,28
cholesky,gemm,16384,2048,1000000,0.150610,0.003601,inf,3.360242,19.306751,56
cholesky,potrf,24576,512,2601000,0.213859,0.003386,inf,2.091525,0.135484,48
cholesky,trsm,24576,512,2601000,0.278244,0.001448,inf,1.983271,3.252263,1128
cholesky,syrk,24576,512,2601000,0.309006,0.006221,inf,2.652021,6.146338,1128
cholesky,gemm,24576,512,2601000,0.221895,0.003549,inf,3.038539,95.243988,17296
cholesky,potrf,24576,512,1000000,0.170043,0.003584,inf,2.211658,0.143436,48
cholesky,trsm,24576,512,1000000,0.262690,0.001466,inf,2.023859,3.291015,1128
cholesky,syrk,24576,512,1000000,0.242299,0.006372,inf,2.910073,6.295555,1128
cholesky,gemm,24576,512,1000000,0.190945,0.003568,inf,3.163221,95.762174,17296
cholesky,potrf,24576,1024,2601000,0.239559,0.002638,inf,2.189638,0.290148,24
cholesky,trsm,24576,1024,2601000,0.268364,0.001612,inf,2.190261,4.919992,276
cholesky,syrk,24576,1024,2601000,0.246664,0.003903,inf,2.940506,6.958094,276
cholesky,gemm,24576,1024,2601000,0.193104,0.002995,inf,3.173632,73.384056,2024
cholesky,potrf,24576,1024,1000000,0.211452,0.002799,inf,2.271765,0.307899,24
cholesky,trsm,24576,1024,1000000,0.253504,0.001561,inf,2.233491,4.763170,276
cholesky,syrk,24576,1024,1000000,0.195442,0.003945,inf,3.142013,7.033228,276
cholesky,gemm,24576,1024,1000000,0.164533,0.002948,inf,3.286621,72.250693,2024
cholesky,potrf,24576,2048,2601000,0.269420,0.002331,inf,2.291394,0.762457,12
cholesky,trsm,24576,2048,2601000,0.248383,0.002482,inf,2.456736,11.159292,66
cholesky,syrk,24576,2048,2601000,0.215351,0.003611,inf,3.087532,11.800661,66
cholesky,gemm,24576,2048,2601000,0.176410,0.003536,inf,3.253598,74.470925,220
cholesky,potrf,24576,2048,1000000,0.243711,0.002355,inf,2.374892,0.770447,12
cholesky,trsm,24576,2048,1000000,0.229246,0.002509,inf,2.521624,11.281417,66
cholesky,syrk,24576,2048,1000000,0.171744,0.003688,inf,3.264646,12.053990,66
cholesky,gemm,24576,2048,1000000,0.150746,0.003598,inf,3.361510,75.785754,220
cholesky,potrf,32768,512,2601000,0.215001,0.003485,inf,2.088676,0.185946,64
cholesky,trsm,32768,512,2601000,0.278025,0.001422,inf,1.983277,5.708496,2016
cholesky,syrk,32768,512,2601000,0.310726,0.006345,inf,2.645607,11.203889,2016
cholesky,gemm,32768,512,2601000,0.221653,0.003546,inf,3.040188,229.239655,41664
cholesky,potrf,32768,512,1000000,0.171298,0.003597,inf,2.211025,0.191924,64
cholesky,trsm,32768,512,1000000,0.262785,0.001469,inf,2.024004,5.897582,2016
