algorithm, matrix_size, tile_size, case, PKG1, PKG2, DRAM1, DRAM2, time
cholesky, 16384, 1024, 1, 153733066, 161232436, 14211787, 25575511, 1.275040
cholesky, 16384, 1024, 2, 156189969, 163881477, 14802444, 25804689, 1.297480
cholesky, 16384, 1024, 3, 191478758, 202446381, 23152450, 37090887, 2.199370
cholesky, 16384, 1024, 4, 191437621, 201962862, 23833300, 36726181, 2.209750
cholesky, 16384, 1024, 5, 164508306, 172183214, 16528070, 28307922, 1.523350
cholesky, 16384, 1024, 6, 165148075, 172501268, 16526724, 28437773, 1.536100
cholesky, 16384, 1024, 7, 200353125, 209987988, 25663073, 38770246, 2.463720
cholesky, 16384, 1024, 8, 205253381, 214740417, 26080716, 39354844, 2.507080
cholesky, 16384, 1024, 9, 155567961, 164979985, 15328382, 26534407, 1.371050
cholesky, 16384, 1024, 10, 158681722, 168484249, 15573625, 27191940, 1.400030
cholesky, 16384, 1024, 11, 194287345, 205115869, 24684424, 37735125, 2.300580
cholesky, 16384, 1024, 12, 197311751, 205769615, 24901132, 37600561, 2.325050
cholesky, 16384, 1024, 13, 164218635, 174224712, 17288235, 29099575, 1.617980
cholesky, 16384, 1024, 14, 168638423, 177216099, 17407086, 29635259, 1.650440
cholesky, 16384, 1024, 15, 206860799, 207605548, 25758253, 38694251, 2.446790
cholesky, 16384, 1024, 16, 204703761, 216903437, 26081420, 40529317, 2.595750
cholesky, 16384, 2048, 1, 182658712, 163826241, 26791937, 15572876, 1.391020
cholesky, 16384, 2048, 2, 180978907, 186298840, 16703362, 27288820, 1.517210
cholesky, 16384, 2048, 3, 188602117, 204685999, 23928114, 36034698, 2.274460
cholesky, 16384, 2048, 4, 225960665, 201099338, 37429889, 24075422, 2.405250
cholesky, 16384, 2048, 5, 209950390, 195390979, 32378870, 20063593, 1.928300
cholesky, 16384, 2048, 6, 229037438, 208913100, 33863322, 21239460, 2.082330
cholesky, 16384, 2048, 7, 261417543, 236701237, 44111935, 28562698, 3.100760
cholesky, 16384, 2048, 8, 238848388, 215856625, 41182872, 27061217, 2.725760
cholesky, 16384, 2048, 9, 181355920, 166290041, 27992345, 16545802, 1.528260
cholesky, 16384, 2048, 10, 205647301, 187247995, 30570593, 19130768, 1.746760
cholesky, 16384, 2048, 11, 227755276, 204477748, 39580351, 24450654, 2.515790
cholesky, 16384, 2048, 12, 227801235, 234041332, 27967299, 40598933, 2.771030
cholesky, 16384, 2048, 13, 225791536, 205732567, 35776250, 22589134, 2.118910
cholesky, 16384, 2048, 14, 235467537, 199502663, 34970338, 23157483, 2.235170
cholesky, 16384, 2048, 15, 236211920, 214222657, 43121015, 27440427, 2.807190
cholesky, 16384, 2048, 16, 215165343, 228583766, 28435800, 42012989, 2.857590
cholesky, 16384, 512, 1, 181945151, 158358847, 27368243, 13968456, 1.388040
cholesky, 16384, 512, 2, 182157981, 158091514, 27293073, 14018946, 1.389630
cholesky, 16384, 512, 3, 228061672, 203808683, 39660002, 24428363, 2.496460
cholesky, 16384, 512, 4, 228397731, 203755033, 39946663, 23875650, 2.494790
cholesky, 16384, 512, 5, 169986198, 183315937, 15558585, 29146209, 1.602440
cholesky, 16384, 512, 6, 191735532, 167419188, 29822500, 15880039, 1.610210
cholesky, 16384, 512, 7, 237703066, 212276495, 41904283, 25611986, 2.705470
cholesky, 16384, 512, 8, 237042728, 212477605, 41792700, 25586879, 2.711800
cholesky, 16384, 512, 9, 183326679, 158969320, 27470156, 14629814, 1.449370
cholesky, 16384, 512, 10, 186273266, 162241772, 28578166, 14914271, 1.476740
cholesky, 16384, 512, 11, 231635882, 206270469, 40790382, 24126294, 2.556810
cholesky, 16384, 512, 12, 231356463, 207222980, 40363481, 24944784, 2.566020
cholesky, 16384, 512, 13, 193085016, 168853877, 29972883, 16451539, 1.662690
cholesky, 16384, 512, 14, 191105895, 168660213, 29677671, 16369271, 1.663440
cholesky, 16384, 512, 15, 238191834, 213977662, 42450844, 25988442, 2.754320
cholesky, 16384, 512, 16, 237199893, 214062989, 42262257, 25941640, 2.764620
