algorithm,matrix_size,tile_size,case,PKG1,PKG2,DRAM1,DRAM2,time
cholesky,24576,512,1,540555623,487958956,80838667,40164030,4.277870
cholesky,24576,512,2,550970208,495156326,83358347,40741727,4.351060
cholesky,24576,512,3,704310270,648786547,126791956,57277891,8.257950
cholesky,24576,512,4,709729263,649954757,129121137,55288998,8.277500
cholesky,24576,512,5,570425053,516412801,89136240,38474268,4.874730
cholesky,24576,512,6,564453328,516473531,87339820,39739118,4.856080
cholesky,24576,512,7,725778721,668700559,132791316,59178855,8.790100
cholesky,24576,512,8,718068901,662223647,131314147,59342381,8.727770
cholesky,24576,512,9,557461830,502426326,85323418,40619082,4.510010
cholesky,24576,512,10,497864387,558561131,45347012,81510704,4.492510
cholesky,24576,512,11,705814721,651839884,127228741,57121815,8.389530
cholesky,24576,512,12,711693063,654243077,129796463,57520427,8.409920
cholesky,24576,512,13,566191910,520975595,89516735,38892064,4.983410
cholesky,24576,512,14,575550956,520577036,89877066,37728974,5.004980
cholesky,24576,512,15,722390851,667028688,131571325,59747174,8.839580
cholesky,24576,512,16,709313553,657623011,130019185,60087613,8.814460
cholesky,24576,1024,1,474115913,519373243,48128659,78625476,4.060130
cholesky,24576,1024,2,471893507,517056965,48183219,78034345,4.052670
cholesky,24576,1024,3,587997030,639628856,72755340,112789702,7.266440
cholesky,24576,1024,4,636621661,594664066,117400542,66843726,7.279870
cholesky,24576,1024,5,487694369,534401037,50431034,82855620,4.607130
cholesky,24576,1024,6,535319735,487974642,86564477,46618305,4.615080
cholesky,24576,1024,7,617457098,674728558,76952161,119513548,7.929190
cholesky,24576,1024,8,612035909,664322518,76757177,117145751,7.929560
cholesky,24576,1024,9,470964493,520643503,49053973,79986732,4.253570
cholesky,24576,1024,10,477108703,526155880,49158517,80091598,4.283540
cholesky,24576,1024,11,603370342,657886317,74308030,115615368,7.523310
cholesky,24576,1024,12,603591656,657084561,75016879,114883875,7.554760
cholesky,24576,1024,13,499426090,540519552,52460089,85126308,4.827230
cholesky,24576,1024,14,492726583,545754828,51894494,86737138,4.865110
cholesky,24576,1024,15,627358868,689369573,78627557,123415630,8.186230
cholesky,24576,1024,16,628410501,686019057,78639536,123318627,8.199640
cholesky,24576,2048,1,508263836,464337251,80419447,41966339,3.994200
cholesky,24576,2048,2,513164641,474829290,80069291,44114321,4.088360
cholesky,24576,2048,3,608980314,564258444,111851277,63649622,6.908040
cholesky,24576,2048,4,630193272,571744081,115045795,61228596,7.038800
cholesky,24576,2048,5,536383148,483075973,89197072,46139782,4.775780
cholesky,24576,2048,6,549865231,505704333,90644146,48114170,4.911370
cholesky,24576,2048,7,652822548,603097516,122470074,66839320,7.668690
cholesky,24576,2048,8,661651688,613461381,122954885,69754628,7.893150
cholesky,24576,2048,9,519885632,482392258,84421193,46348581,4.417280
cholesky,24576,2048,10,534805455,503573723,87514745,47860358,4.641360
cholesky,24576,2048,11,623531912,573900631,117395278,61092548,7.171010
cholesky,24576,2048,12,635649739,591965282,115755179,66516429,7.240970
cholesky,24576,2048,13,525343809,510692174,91885603,50607550,5.117180
cholesky,24576,2048,14,529381762,572257934,58606054,91786919,5.502520
cholesky,24576,2048,15,643636902,591506115,127568141,69455084,8.261860
cholesky,24576,2048,16,654016697,604916176,127314299,71098412,8.386070
