algorithm, task, matrix_size, tile_size, mem_boundness, arithm_intensity, bmr, ilp, l3_cache_ratio
cholesky, potrf, 16384, 512, 0.254494, 0.003071, inf, 2.567982, 0.092545
cholesky, trsm, 16384, 512, 0.326262, 0.001340, inf, 2.359581, 1.476206
cholesky, syrk, 16384, 512, 0.306942, 0.006095, inf, 2.655820, 2.708335
cholesky, gemm, 16384, 512, 0.220725, 0.003524, inf, 3.036889, 27.492218
cholesky, potrf, 16384, 1024, 0.279107, 0.002435, inf, 2.563078, 0.196094
cholesky, trsm, 16384, 1024, 0.305400, 0.001420, inf, 2.499598, 2.036320
cholesky, syrk, 16384, 1024, 0.248798, 0.003834, inf, 2.927617, 3.009590
cholesky, gemm, 16384, 1024, 0.195830, 0.002846, inf, 3.158273, 19.434983
cholesky, potrf, 16384, 2048, 0.302133, 0.002298, inf, 2.537344, 0.534130
cholesky, trsm, 16384, 2048, 0.277582, 0.002405, inf, 2.677237, 4.822800
cholesky, syrk, 16384, 2048, 0.223600, 0.003747, inf, 3.050212, 5.230451
cholesky, gemm, 16384, 2048, 0.184801, 0.003652, inf, 3.216046, 19.645977
cholesky, potrf, 32768, 512, 0.253584, 0.003033, inf, 2.569310, 0.182793
cholesky, trsm, 32768, 512, 0.325892, 0.001312, inf, 2.361316, 5.873523
cholesky, syrk, 32768, 512, 0.304817, 0.006156, inf, 2.663176, 11.118921
cholesky, gemm, 32768, 512, 0.219385, 0.003543, inf, 3.042050, 232.199976
cholesky, potrf, 32768, 1024, 0.281128, 0.002570, inf, 2.557894, 0.414088
cholesky, trsm, 32768, 1024, 0.305009, 0.001457, inf, 2.499039, 8.632803
cholesky, syrk, 32768, 1024, 0.247450, 0.003931, inf, 2.932937, 12.754476
cholesky, gemm, 32768, 1024, 0.194723, 0.002927, inf, 3.163188, 177.017429
cholesky, potrf, 32768, 2048, 0.300251, 0.002286, inf, 2.545929, 1.062584
cholesky, trsm, 32768, 2048, 0.274948, 0.002405, inf, 2.688297, 20.673188
cholesky, syrk, 32768, 2048, 0.217068, 0.003650, inf, 3.079307, 21.833128
cholesky, gemm, 32768, 2048, 0.178415, 0.003583, inf, 3.244042, 192.757845
