algorithm,task,matrix_size,tile_size,frequency,mem_boundness,arithm_intensity,bmr,ilp,l3_cache_ratio,weight
cholesky,potrf,16384,512,2601000,0.212461,0.003292,inf,2.093296,0.087829,32
cholesky,trsm,16384,512,2601000,0.278837,0.001483,inf,1.981478,1.464344,496
cholesky,syrk,16384,512,2601000,0.309025,0.006233,inf,2.652488,2.708033,496
cholesky,gemm,16384,512,2601000,0.222156,0.003538,inf,3.038192,27.226161,4960
cholesky,potrf,16384,512,1000000,0.171144,0.003461,inf,2.210769,0.092328,32
cholesky,trsm,16384,512,1000000,0.262656,0.001533,inf,2.022947,1.513483,496
cholesky,syrk,16384,512,1000000,0.242415,0.006281,inf,2.911364,2.728701,496
cholesky,gemm,16384,512,1000000,0.190319,0.003538,inf,3.162461,27.229297,4960
cholesky,potrf,16384,1024,2601000,0.240492,0.002726,inf,2.186658,0.199939,16
cholesky,trsm,16384,1024,2601000,0.267799,0.001539,inf,2.191438,2.042641,120
cholesky,syrk,16384,1024,2601000,0.247584,0.003983,inf,2.937029,3.087348,120
cholesky,gemm,16384,1024,2601000,0.193595,0.002932,inf,3.171884,19.877883,560
cholesky,potrf,16384,1024,1000000,0.211071,0.002689,inf,2.272034,0.197213,16
cholesky,trsm,16384,1024,1000000,0.254266,0.001668,inf,2.232195,2.213488,120
cholesky,syrk,16384,1024,1000000,0.195838,0.003973,inf,3.140866,3.079936,120
cholesky,gemm,16384,1024,1000000,0.164740,0.003125,inf,3.285572,21.186873,560
cholesky,potrf,16384,2048,2601000,0.269606,0.002360,inf,2.289539,0.514701,8
cholesky,trsm,16384,2048,2601000,0.248458,0.002498,inf,2.456742,4.764835,28
cholesky,syrk,16384,2048,2601000,0.216076,0.003664,inf,3.084025,5.079982,28
cholesky,gemm,16384,2048,2601000,0.176973,0.003549,inf,3.251088,19.026767,56
cholesky,potrf,16384,2048,1000000,0.243063,0.002323,inf,2.373242,0.506507,8
cholesky,trsm,16384,2048,1000000,0.229736,0.002547,inf,2.518638,4.859330,28
cholesky,syrk,16384,2048,1000000,0.171653,0.003697,inf,3.264623,5.125691,28
cholesky,gemm,16384,2048,1000000,0.150842,0.003623,inf,3.359927,19.423013,56
cholesky,potrf,24576,512,2601000,0.215341,0.003491,inf,2.088923,0.139711,48
cholesky,trsm,24576,512,2601000,0.277916,0.001438,inf,1.983275,3.230322,1128
cholesky,syrk,24576,512,2601000,0.311650,0.006333,inf,2.642425,6.257223,1128
cholesky,gemm,24576,512,2601000,0.221846,0.003541,inf,3.038341,95.017548,17296
cholesky,potrf,24576,512,1000000,0.170907,0.003461,inf,2.211254,0.138498,48
cholesky,trsm,24576,512,1000000,0.262753,0.001460,inf,2.023341,3.278719,1128
cholesky,syrk,24576,512,1000000,0.242416,0.006341,inf,2.910500,6.265343,1128
cholesky,gemm,24576,512,1000000,0.190353,0.003561,inf,3.161963,95.564193,17296
cholesky,potrf,24576,1024,2601000,0.241086,0.002716,inf,2.185809,0.298812,24
