algorithm, matrix_size, tile_size, case, PKG1, PKG2, DRAM1, DRAM2, time
cholesky, 16384, 1024, 1, 169250909, 148869858, 25904522, 14852964, 1.280380
cholesky, 16384, 1024, 2, 172575975, 150718853, 26794981, 14949599, 1.318890
cholesky, 16384, 1024, 3, 203890164, 182091575, 36911418, 23621732, 2.197540
cholesky, 16384, 1024, 4, 206909932, 185522962, 37638750, 23728816, 2.225280
cholesky, 16384, 1024, 5, 178331819, 155243377, 28480843, 16748711, 1.518130
cholesky, 16384, 1024, 6, 178171052, 157864220, 28777036, 16752627, 1.538700
cholesky, 16384, 1024, 7, 215497923, 194661306, 39090750, 25986056, 2.460480
cholesky, 16384, 1024, 8, 216189876, 194961781, 39121213, 25801292, 2.480250
cholesky, 16384, 1024, 9, 174689189, 154522492, 27407609, 16056906, 1.403410
cholesky, 16384, 1024, 10, 173641584, 153435520, 27535395, 15881385, 1.406420
cholesky, 16384, 1024, 11, 210501232, 190078493, 38121113, 24797124, 2.307930
cholesky, 16384, 1024, 12, 209225600, 189979433, 38295747, 24955662, 2.327470
cholesky, 16384, 1024, 13, 181847191, 159289265, 29397497, 17962537, 1.622430
cholesky, 16384, 1024, 14, 180385769, 161457533, 29605256, 17636218, 1.624120
cholesky, 16384, 1024, 15, 219079945, 199835365, 39927721, 26904224, 2.573570
cholesky, 16384, 1024, 16, 221776776, 201979403, 40129192, 27406783, 2.603940
cholesky, 16384, 2048, 1, 165823062, 172560105, 14973284, 25706570, 1.356010
cholesky, 16384, 2048, 2, 175769082, 184100969, 16630488, 26751010, 1.482640
cholesky, 16384, 2048, 3, 193790215, 206154074, 24510463, 35821737, 2.271060
cholesky, 16384, 2048, 4, 216862787, 227725675, 25290778, 37806285, 2.423080
cholesky, 16384, 2048, 5, 222154094, 228298426, 22701069, 33020322, 2.158250
cholesky, 16384, 2048, 6, 204328884, 218300284, 21598306, 32848305, 2.064210
cholesky, 16384, 2048, 7, 215757016, 223306008, 26721037, 39725884, 2.627020
cholesky, 16384, 2048, 8, 220503403, 229730002, 26406499, 40138525, 2.722830
cholesky, 16384, 2048, 9, 167158142, 180264187, 16867684, 27476612, 1.532330
cholesky, 16384, 2048, 10, 184941055, 196727158, 19674056, 29565261, 1.659050
cholesky, 16384, 2048, 11, 198618205, 209903272, 25083555, 37526983, 2.429880
cholesky, 16384, 2048, 12, 232990553, 239363401, 28404128, 40196787, 2.771670
cholesky, 16384, 2048, 13, 197323225, 214600098, 21641926, 33500604, 2.107380
cholesky, 16384, 2048, 14, 211752388, 226197541, 23523688, 34468345, 2.238800
cholesky, 16384, 2048, 15, 228333095, 241719047, 31255865, 44563300, 3.253460
cholesky, 16384, 2048, 16, 223522865, 235874946, 30574449, 42797068, 3.062910
cholesky, 16384, 512, 1, 179920865, 155924772, 26957942, 14046303, 1.380150
cholesky, 16384, 512, 2, 181118799, 156055569, 27087962, 13947312, 1.383420
cholesky, 16384, 512, 3, 206947407, 218361746, 23397005, 40162224, 2.487490
cholesky, 16384, 512, 4, 225202854, 199910194, 39381726, 23601704, 2.490160
cholesky, 16384, 512, 5, 187268747, 164967046, 28557327, 15755955, 1.589710
cholesky, 16384, 512, 6, 187706551, 164232246, 28802097, 15759137, 1.595940
cholesky, 16384, 512, 7, 234397532, 209651746, 41600976, 25343196, 2.707950
cholesky, 16384, 512, 8, 233447156, 200149878, 40223211, 24843911, 2.582570
cholesky, 16384, 512, 9, 183788531, 159744586, 27752502, 14699307, 1.465140
cholesky, 16384, 512, 10, 183657732, 159143636, 27876417, 14631436, 1.463590
cholesky, 16384, 512, 11, 229882407, 204255337, 40821624, 23929704, 2.560960
cholesky, 16384, 512, 12, 230020652, 204822412, 40561799, 24372151, 2.571190
cholesky, 16384, 512, 13, 190787354, 167554015, 29398751, 16395434, 1.658570
cholesky, 16384, 512, 14, 170795950, 182432699, 15950128, 29105481, 1.649410
cholesky, 16384, 512, 15, 237179385, 202635712, 41353804, 25330802, 2.626280
cholesky, 16384, 512, 16, 237717897, 212375982, 42933039, 26429618, 2.764000
