algorithm,matrix_size,tile_size,case,PKG1,PKG2,DRAM1,DRAM2,time
cholesky,32768,512,1,1275406708,1154820164,186756819,91717655,10.070600
cholesky,32768,512,2,1272160501,1159758445,186393092,91731792,10.064500
cholesky,32768,512,3,1498273935,1656219149,130793672,281720277,19.198700
cholesky,32768,512,4,1640436901,1512117589,278696707,128584459,19.367900
cholesky,32768,512,5,1348390103,1213215217,199945250,93312512,11.114900
cholesky,32768,512,6,1334407046,1195274283,197484261,92963718,10.992200
cholesky,32768,512,7,1655491490,1531011034,283869376,132173181,20.171200
cholesky,32768,512,8,1672922353,1542516131,288651054,131875596,20.289100
cholesky,32768,512,9,1283186474,1161593462,186418351,91211409,10.259200
cholesky,32768,512,10,1301885034,1178855991,189313617,93070267,10.399200
cholesky,32768,512,11,1654563086,1518383869,281653095,130354730,19.668800
cholesky,32768,512,12,1656119113,1520784864,283116938,128254653,19.649500
cholesky,32768,512,13,1178351476,1335302002,89945028,193970845,11.085800
cholesky,32768,512,14,1302084923,1202784640,190280393,90869025,11.096600
cholesky,32768,512,15,1684068687,1559292456,284735616,132562000,20.512800
cholesky,32768,512,16,1660674154,1548266117,279357789,133131175,20.520400
cholesky,32768,1024,1,1167007693,1096470521,172751443,98886134,9.187200
cholesky,32768,1024,2,1187706371,1116861887,175924250,99946730,9.372090
cholesky,32768,1024,3,1472302139,1390393779,242215616,152131036,17.206700
cholesky,32768,1024,4,1502281005,1403552559,249078599,152027440,17.340400
cholesky,32768,1024,5,1229979090,1134143825,180566178,103794894,10.234800
cholesky,32768,1024,6,1225044715,1134568628,179642594,103312546,10.240800
cholesky,32768,1024,7,1529413199,1437196089,257054167,158647368,18.377300
cholesky,32768,1024,8,1546372872,1443021636,265663462,158185752,18.451000
cholesky,32768,1024,9,1199853191,1111806419,176384474,100720221,9.623420
cholesky,32768,1024,10,1224263956,1128993570,181112985,103005154,9.817200
cholesky,32768,1024,11,1519708939,1418179353,258013508,155136064,17.710900
cholesky,32768,1024,12,1514999478,1414545573,253774169,155783039,17.714100
cholesky,32768,1024,13,1253715235,1152933389,185530646,106623941,10.695000
cholesky,32768,1024,14,1253498561,1154011633,185916282,106346720,10.740100
cholesky,32768,1024,15,1570291695,1461161482,270322374,160825338,18.906000
cholesky,32768,1024,16,1563856653,1457199883,270922899,161609325,18.885600
cholesky,32768,2048,1,1138131608,1070941228,171286208,95696129,8.960480
cholesky,32768,2048,2,1158606287,1098491023,174750648,97722951,9.205320
cholesky,32768,2048,3,1432834467,1327012289,245903925,138690767,16.101100
cholesky,32768,2048,4,1419621488,1348835536,241061950,146564514,16.179800
cholesky,32768,2048,5,1204372100,1113167804,186175647,104790343,10.312500
cholesky,32768,2048,6,1244416859,1122395137,188105819,107563162,10.534800
cholesky,32768,2048,7,1459072803,1355762460,257207153,146186207,17.552000
cholesky,32768,2048,8,1478328552,1388456589,258808328,151737642,17.769800
cholesky,32768,2048,9,1194475274,1106907689,184487645,98878071,9.826180
cholesky,32768,2048,10,1183697165,1107041538,182595555,100083910,9.764900
cholesky,32768,2048,11,1470299459,1366100995,257995577,141114715,17.039000
cholesky,32768,2048,12,1463669471,1366091351,256200137,141001358,17.043500
cholesky,32768,2048,13,1253683497,1126011156,196499445,104395051,11.082700
cholesky,32768,2048,14,1258177321,1133065336,199567646,104073552,11.229300
cholesky,32768,2048,15,1459265735,1363461475,266594560,151630956,18.501600
cholesky,32768,2048,16,1487696021,1390116497,264667310,157780302,18.613100
