algorithm,matrix_size,tile_size,case,PKG1,PKG2,DRAM1,DRAM2,time
cholesky,32768,512,1,1285469996.0,1164126659.0,197096548.0,100455123.0,10.071466666666668
cholesky,32768,512,2,1298868338.3333333,1173437812.0,201824411.66666666,102033415.0,10.193866666666667
cholesky,32768,512,3,1728403330.6666667,1541655884.3333333,300401842.3333333,146566263.0,19.4572
cholesky,32768,512,4,1734862278.3333333,1545721893.3333333,303554896.6666667,147487261.66666666,19.495933333333333
cholesky,32768,512,5,1358385784.6666667,1199830262.0,207783883.33333334,104556880.0,10.906733333333333
cholesky,32768,512,6,1362507071.3333333,1202777560.6666667,209234318.66666666,104972091.33333333,10.953000000000001
cholesky,32768,512,7,1767182426.6666667,1586031380.6666667,308290272.0,152057397.66666666,20.3409
cholesky,32768,512,8,1762833601.6666667,1578776984.6666667,310499021.3333333,152301040.0,20.374966666666666
cholesky,32768,512,9,1311813821.0,1175284182.0,200768910.66666666,102607915.0,10.3621
cholesky,32768,512,10,1318453696.6666667,1182984907.0,203036941.66666666,103009708.0,10.429733333333333
cholesky,32768,512,11,1748954222.3333333,1560807711.3333333,305436648.6666667,148532818.33333334,19.752333333333336
cholesky,32768,512,12,1747551922.6666667,1561627920.0,305238656.6666667,148952028.33333334,19.783
cholesky,32768,512,13,1379269825.0,1211749766.3333333,211384402.33333334,104874161.0,11.1731
cholesky,32768,512,14,1371997159.3333333,1212446338.6666667,209053182.0,103898893.33333333,11.156666666666666
cholesky,32768,512,15,1764421834.0,1595191514.0,307052257.3333333,154701242.33333334,20.604133333333333
cholesky,32768,512,16,1759609590.6666667,1593193797.3333333,310137517.6666667,153814010.66666666,20.588800000000003
cholesky,32768,1024,1,1185523942.3333333,1104690267.0,185245612.0,108306736.66666667,9.253943333333334
cholesky,32768,1024,2,1197507879.6666667,1116532603.3333333,186759638.66666666,108811993.66666667,9.3715
cholesky,32768,1024,3,1584339978.3333333,1438367900.0,273871509.3333333,169955256.0,17.4503
cholesky,32768,1024,4,1582286944.3333333,1436983890.6666667,275286280.0,170404979.0,17.4394
cholesky,32768,1024,5,1256459104.3333333,1137952938.3333333,194363815.33333334,114429174.33333333,10.185233333333334
cholesky,32768,1024,6,1260334989.3333333,1148301727.6666667,194610858.66666666,115418355.33333333,10.264033333333332
cholesky,32768,1024,7,1630309486.3333333,1483624456.6666667,284586227.3333333,177724932.66666666,18.491133333333334
cholesky,32768,1024,8,1630040911.6666667,1484683964.0,285291832.3333333,178144433.0,18.542666666666666
cholesky,32768,1024,9,1223548015.3333333,1127631207.6666667,190351115.0,111726898.33333333,9.701933333333335
cholesky,32768,1024,10,1225149492.6666667,1129980159.6666667,190449916.66666666,112257018.33333333,9.734006666666668
cholesky,32768,1024,11,1615851861.0,1464066320.0,283349512.6666667,174238700.0,17.920466666666666
cholesky,32768,1024,12,1596274396.6666667,1433462130.3333333,275495156.0,170890887.0,17.66156666666667
cholesky,32768,1024,13,1285244024.3333333,1158447717.6666667,199082631.33333334,118187088.66666667,10.654200000000001
cholesky,32768,1024,14,1291722076.0,1162708062.3333333,200930835.33333334,118143168.0,10.7059
cholesky,32768,1024,15,1599501642.6666667,1508491682.6666667,248980576.66666666,213265109.0,18.667533333333335
cholesky,32768,1024,16,1637461201.6666667,1482096995.6666667,288156609.6666667,178914599.66666666,18.727333333333334
cholesky,32768,2048,1,1152541503.3333333,1074459550.0,185893271.0,102926558.0,8.987906666666667
cholesky,32768,2048,2,1143942384.0,1068442719.6666666,183325661.0,103623386.33333333,8.968603333333334
cholesky,32768,2048,3,1475776129.3333333,1341662296.0,259942114.0,154807506.33333334,16.043066666666665
cholesky,32768,2048,4,1465221896.3333333,1377497185.6666667,226862524.66666666,190900691.33333334,16.172766666666668
cholesky,32768,2048,5,1231994547.0,1107371006.0,198626242.33333334,112128585.33333333,10.187166666666666
cholesky,32768,2048,6,1202276910.6666667,1139513969.6666667,168464521.0,143190426.0,10.254566666666667
cholesky,32768,2048,7,1512964653.0,1374346823.3333333,275268802.3333333,167454664.66666666,17.53833333333333
cholesky,32768,2048,8,1523077704.3333333,1391258808.3333333,275646681.6666667,168552837.33333334,17.6701
cholesky,32768,2048,9,1199619813.0,1096099774.0,191458411.33333334,109960707.0,9.625906666666667
cholesky,32768,2048,10,1187879527.3333333,1131777620.0,165628069.0,138734560.66666666,9.742433333333333
cholesky,32768,2048,11,1465915945.0,1332796352.0,268068230.0,158708476.0,16.938366666666667
cholesky,32768,2048,12,1536928885.6666667,1392192256.6666667,275110773.3333333,158862276.33333334,17.062766666666665
cholesky,32768,2048,13,1272620318.0,1131969575.3333333,206483980.33333334,120650980.33333333,10.989633333333332
cholesky,32768,2048,14,1285514816.3333333,1146436111.3333333,209610943.66666666,120154536.33333333,11.118766666666666
cholesky,32768,2048,15,1525168092.6666667,1377409702.3333333,276742559.6666667,168984496.33333334,18.029833333333332
cholesky,32768,2048,16,1542900367.3333333,1413491926.0,284211560.6666667,174096889.33333334,18.485233333333333
