algorithm,matrix_size,tile_size,case,PKG1,PKG2,DRAM1,DRAM2,time
invert,20480,512,1,808873479,784495001,129883123,59380509,6.254500
invert,20480,512,2,819160012,790922902,130908192,60548159,6.353510
invert,20480,512,3,951518071,851427508,175102304,71538776,10.021000
invert,20480,512,4,954329589,860070796,175219731,74098863,10.126100
invert,20480,512,5,847794155,790465810,133281283,62130959,6.698910
invert,20480,512,6,848183925,794702922,134048073,62313733,6.715200
invert,20480,512,7,970395831,876240432,179696266,73935796,10.624900
invert,20480,512,8,975015082,882338745,180084871,76640255,10.714600
invert,20480,512,9,811880428,790617361,130654044,61245150,6.250450
invert,20480,512,10,823446683,800623011,132474361,62138272,6.362090
invert,20480,512,11,957153860,859962825,175615251,72910238,10.040500
invert,20480,512,12,959915267,867350319,176121682,76091964,10.129300
invert,20480,512,13,852096452,798034334,134726047,63501411,6.714610
invert,20480,512,14,856195684,804636673,135610417,64012017,6.760630
invert,20480,512,15,978640622,884130732,181530568,76121309,10.664400
invert,20480,512,16,980280450,890535623,181420683,77984712,10.765600
invert,20480,1024,1,780818557,769334762,118792489,65082605,6.093870
invert,20480,1024,2,814335562,802844319,121764453,68799357,6.450310
invert,20480,1024,3,923335954,845591341,157760549,89575624,9.772430
invert,20480,1024,4,938331338,867203835,163302714,86993567,10.074200
invert,20480,1024,5,852757339,815084705,127063684,71862402,7.038150
invert,20480,1024,6,889491985,854714914,133000804,75107944,7.388630
invert,20480,1024,7,956305596,886552662,169634665,91234329,10.790900
invert,20480,1024,8,981003043,908548395,173017908,93508138,11.193400
invert,20480,1024,9,774939301,765137751,117486482,65869331,6.103910
invert,20480,1024,10,824214259,808810124,123257656,68671633,6.568130
invert,20480,1024,11,910615162,848924401,157062961,90369450,9.752370
invert,20480,1024,12,942520414,863025989,163637478,87480595,10.175500
invert,20480,1024,13,818910135,854429209,79949278,123211436,7.046650
invert,20480,1024,14,893715974,851344134,133901209,76436092,7.516140
invert,20480,1024,15,959696029,887638169,170141768,91471509,10.934100
invert,20480,1024,16,980294487,913053448,173300897,96096148,11.417300
invert,20480,2048,1,1140577707,1113639178,152332568,90152343,9.422300
invert,20480,2048,2,1392681798,1347037568,181770487,110289514,11.962500
invert,20480,2048,3,1203157321,1116992868,196939963,108075911,13.759600
invert,20480,2048,4,1300342008,1227668793,212578491,121011280,15.452100
invert,20480,2048,5,1281793838,1275414032,179859425,115638333,12.125000
invert,20480,2048,6,1512275853,1484424789,207967239,134941471,14.701800
invert,20480,2048,7,1298940339,1220943407,219700427,123458301,16.376400
invert,20480,2048,8,1382794861,1299459686,229912962,131157965,17.964600
invert,20480,2048,9,1180578337,1147745658,157323550,94180435,9.945700
invert,20480,2048,10,1431539914,1395374785,185998306,116755004,12.477300
invert,20480,2048,11,1239398927,1147852164,196791553,115222204,13.966100
invert,20480,2048,12,1368032569,1305472305,221308977,135360355,16.441800
invert,20480,2048,13,1364991562,1280084369,181994831,116695120,12.522000
invert,20480,2048,14,1537982574,1474491770,209565569,136163099,14.988400
invert,20480,2048,15,1293113389,1202479343,217191517,125600194,16.482400
invert,20480,2048,16,1429237857,1328527666,237907197,136516928,19.135500
