algorithm,matrix_size,tile_size,case,PKG1,PKG2,DRAM1,DRAM2,time
lu,12288,512,1,354968269,373035422,35135945,47103926,3.102440
lu,12288,512,2,352227797,373518148,34960913,48177497,3.173650
lu,12288,512,3,467147974,488991057,55969038,71961178,5.955260
lu,12288,512,4,473685921,493659686,57088401,72400901,5.978190
lu,12288,512,5,315227708,330096628,36759718,49947279,3.419250
lu,12288,512,6,312608574,334508543,34058748,51420546,3.446680
lu,12288,512,7,437645853,454938288,54113713,70481501,6.246080
lu,12288,512,8,440814057,461988746,55096631,71403157,6.345870
lu,12288,512,9,332392582,367739354,34680984,48639129,3.080200
lu,12288,512,10,332099247,351309220,34515606,49311410,3.122190
lu,12288,512,11,447352309,464280915,53715455,68882773,6.000120
lu,12288,512,12,450681769,486791234,54984482,73502103,5.988700
lu,12288,512,13,304058670,316282821,34851518,49963206,3.419680
lu,12288,512,14,310142517,324410425,33845176,50671871,3.491380
lu,12288,512,15,427856510,443338831,54369193,70442546,6.238030
lu,12288,512,16,437946205,450791082,54672775,72016610,6.364250
lu,12288,1024,1,595616456,607032260,62195265,66266839,5.356430
lu,12288,1024,2,583620027,601372789,64489852,68475471,5.651260
lu,12288,1024,3,829250807,834546264,111985198,109473046,10.400700
lu,12288,1024,4,845113132,810360108,130136950,88619467,10.664700
lu,12288,1024,5,524795715,573678707,67990477,74290267,6.144380
lu,12288,1024,6,530867903,575795767,68245176,75876556,6.340170
lu,12288,1024,7,779566242,786736878,109776720,109725816,11.155800
lu,12288,1024,8,787906491,808498540,113201518,112209802,11.499800
lu,12288,1024,9,582974521,594764834,62115949,68452016,5.395640
lu,12288,1024,10,597874751,566610549,66164590,69382440,5.761710
lu,12288,1024,11,801137720,838651113,110594077,108897750,10.347000
lu,12288,1024,12,795994362,812237728,112566552,111293240,10.676300
lu,12288,1024,13,521981085,532642924,67760441,74479742,6.139120
lu,12288,1024,14,531685346,572409301,70269917,77482688,6.454770
lu,12288,1024,15,760119148,759736397,104138425,100745803,11.196400
lu,12288,1024,16,766275015,761582828,106522884,102616993,11.518700
lu,12288,2048,1,1050317075,1051207697,111629305,103857058,9.702810
lu,12288,2048,2,1014958461,1164298106,123714255,114683047,10.824200
lu,12288,2048,3,1537280488,1639895460,195390822,173651710,17.716400
lu,12288,2048,4,1639330642,1652652751,206783539,182391040,18.925200
lu,12288,2048,5,1150986006,1074876154,127409771,121508837,11.423900
lu,12288,2048,6,1178444981,1066866531,138837754,130781783,12.598000
lu,12288,2048,7,1613375204,1504119806,209321305,189505616,19.513300
lu,12288,2048,8,1572547488,1497949047,241626979,170268116,20.749400
lu,12288,2048,9,1006661242,1069129953,109660684,105799944,9.679370
lu,12288,2048,10,1090020403,1114926772,123530624,115371425,10.878700
lu,12288,2048,11,1596869630,1553476492,195358509,175275851,17.821100
lu,12288,2048,12,1504007380,1581491191,205779890,182838259,18.838900
lu,12288,2048,13,992082361,1129539405,127068550,120200671,11.336900
lu,12288,2048,14,1084733673,1083297763,138447803,130093391,12.555800
lu,12288,2048,15,1506296926,1480931877,210110937,190186528,19.628700
lu,12288,2048,16,1516328272,1517568014,218980133,199578524,20.715100
