algorithm,matrix_size,tile_size,case,PKG1,PKG2,DRAM1,DRAM2,time
qr,12288,512,1,571105167,553555406,84722832,60355960,4.526260
qr,12288,512,2,549503598,574657892,65276608,82363006,4.646730
qr,12288,512,3,597080991,628836158,73046453,92026333,5.518610
qr,12288,512,4,725453771,746326642,91933064,107890872,7.223780
qr,12288,512,5,590893934,626116134,80027017,102255408,6.444070
qr,12288,512,6,608553068,639837229,84842967,104548358,6.894350
qr,12288,512,7,648429370,680728665,94476612,114791141,7.949120
qr,12288,512,8,672913072,709097062,94564878,115887708,8.155650
qr,12288,512,9,566980360,583815339,64508135,80842446,4.635250
qr,12288,512,10,571917481,583605500,66135673,82255294,4.719420
qr,12288,512,11,639363354,673204698,73407916,97690041,5.883500
qr,12288,512,12,623172477,650878827,75518107,94054593,5.762850
qr,12288,512,13,598318171,624424183,83610063,100636423,6.558010
qr,12288,512,14,597236264,636916033,82222399,104596920,6.766560
qr,12288,512,15,638228407,682238976,85163273,117384813,7.709480
qr,12288,512,16,700778052,737682742,99823137,126533510,9.099340
qr,12288,1024,1,1419735868,1557427531,152580168,212307008,12.986700
qr,12288,1024,2,1454864439,1586307889,159850605,216397019,13.699900
qr,12288,1024,3,1769525439,1903187388,204065479,266189094,18.204500
qr,12288,1024,4,1859557739,1991988491,214888256,279119200,19.374700
qr,12288,1024,5,1154460606,1269646835,149363603,215013670,13.249300
qr,12288,1024,6,1295719218,1357723087,171588674,237459917,16.017800
qr,12288,1024,7,1432278316,1545754222,189153732,261395696,19.136400
qr,12288,1024,8,1399949358,1512103551,188818509,265234619,19.310800
qr,12288,1024,9,1505293876,1630825354,164274876,223105931,13.964700
qr,12288,1024,10,1455053343,1563415065,163159415,225953292,14.008500
qr,12288,1024,11,1987952430,1857639349,301006830,188562509,19.217900
qr,12288,1024,12,2556122668,2628677353,299428252,350619527,27.666400
qr,12288,1024,13,1154583348,1293674666,148122682,222648935,13.602700
qr,12288,1024,14,1174769881,1297803441,155712797,226661008,14.242800
qr,12288,1024,15,1556486311,1394814605,293869487,152493310,18.945500
qr,12288,1024,16,1426355235,1532352766,196879895,266790873,19.682100
qr,12288,2048,1,6179962817,6651294008,651291211,843520059,58.766600
qr,12288,2048,2,5910215460,6273803946,647900103,831333716,58.378400
qr,12288,2048,3,7614335061,8144248560,882073657,1014129655,78.629700
qr,12288,2048,4,6946342447,6471483433,798016345,964749808,73.559700
qr,12288,2048,5,4883461681,5409516120,617633751,802865847,57.353400
qr,12288,2048,6,4688826680,5065383029,639689435,819723923,59.324000
qr,12288,2048,7,6088153421,6640895780,812115937,989443473,80.701800
qr,12288,2048,8,5482953920,5876866608,770466813,989453326,78.036100
qr,12288,2048,9,5910546270,6589466652,671900984,851181198,59.873700
qr,12288,2048,10,5432059702,5796744803,634903932,796721842,57.412700
qr,12288,2048,11,6849149397,7566334878,844189954,994516417,77.171300
qr,12288,2048,12,6558453242,6404927024,777588290,933213433,72.151500
qr,12288,2048,13,5399170321,5793668701,691257748,870003609,64.264000
qr,12288,2048,14,4477987316,4861466803,592000513,794919196,55.699100
qr,12288,2048,15,5943221846,6704007923,822800263,1008901798,82.478100
qr,12288,2048,16,5701051323,5846008716,795235707,987773355,81.239900
